순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김태근	두산	0.500	2	6	4	0	2	1	0	0	3	2	0	0
2	강현구	두산	0.333	3	5	3	0	1	0	0	0	1	0	0	0
2	안승한	두산	0.333	30	39	36	5	12	3	0	0	15	8	1	0
4	페르난데스	두산	0.309	139	550	508	52	157	28	0	6	203	77	0	5
5	안권수	두산	0.297	76	267	239	43	71	7	2	0	82	20	1	0
6	허경민	두산	0.289	121	493	432	59	125	23	0	8	172	60	2	7
7	전민재	두산	0.289	35	46	45	11	13	1	0	0	14	0	1	0
8	김민혁	두산	0.284	38	97	88	11	25	2	0	5	42	16	0	0
9	강승호	두산	0.264	134	487	444	54	117	28	1	10	177	62	6	5
10	정수빈	두산	0.259	127	455	405	58	105	12	4	3	134	41	6	4
11	송승환	두산	0.250	11	28	28	3	7	1	0	1	11	4	0	0
12	박세혁	두산	0.248	128	402	351	33	87	13	1	3	111	41	8	4
13	김재환	두산	0.248	128	517	448	64	111	24	1	23	206	72	0	4
14	김인태	두산	0.247	83	279	235	25	58	6	0	5	79	25	0	0
15	양석환	두산	0.244	107	446	405	58	99	14	1	20	175	51	0	2
16	양찬열	두산	0.244	41	94	82	15	20	4	0	3	33	12	1	0
17	이유찬	두산	0.241	13	31	29	3	7	0	0	1	10	2	1	1
18	김대한	두산	0.240	51	110	96	13	23	6	1	4	43	11	2	1
19	박유연	두산	0.235	13	19	17	0	4	0	0	0	4	2	0	0
19	조수행	두산	0.235	117	134	119	36	28	4	1	1	37	9	2	2
21	박계범	두산	0.221	77	168	145	21	32	8	0	2	46	14	6	2
22	김재호	두산	0.215	102	264	223	26	48	7	0	1	58	21	7	4
23	안재석	두산	0.213	99	264	235	22	50	10	0	3	69	17	4	2
24	장승현	두산	0.208	60	109	96	6	20	3	0	0	23	9	3	1
25	오재원	두산	0.172	18	31	29	2	5	2	0	0	7	4	0	1
26	홍성호	두산	0.167	12	19	18	3	3	0	0	0	3	0	0	0
27	강진성	두산	0.163	40	94	80	7	13	2	0	1	18	8	1	0
28	서예일	두산	0.160	35	27	25	2	4	1	0	0	5	2	1	0
29	신성현	두산	0.087	17	25	23	3	2	0	0	1	5	2	0	0
30	권민석	두산	0.000	16	3	3	3	0	0	0	0	0	0	0	0
1	이대호	롯데	0.331	142	591	540	53	179	23	0	23	271	101	0	6
2	렉스	롯데	0.330	56	251	218	32	72	10	1	8	108	34	0	2
3	고승민	롯데	0.316	92	262	234	31	74	15	1	5	106	30	2	1
4	한동희	롯데	0.307	129	499	456	43	140	27	0	14	209	65	0	4
5	전준우	롯데	0.304	120	517	470	73	143	31	1	11	209	68	0	9
6	황성빈	롯데	0.294	102	353	320	62	94	12	4	1	117	16	7	2
7	안치홍	롯데	0.284	132	562	493	71	140	27	3	14	215	58	8	5
8	김민수	롯데	0.257	57	156	140	9	36	6	0	0	42	11	3	0
9	정훈	롯데	0.245	91	340	294	39	72	8	0	3	89	32	6	6
10	이호연	롯데	0.244	88	222	205	20	50	10	1	2	68	16	4	0
11	신용수	롯데	0.235	49	73	68	8	16	4	2	2	30	7	0	0
12	피터스	롯데	0.228	85	354	316	32	72	16	0	13	127	48	0	4
13	박승욱	롯데	0.227	100	228	198	29	45	7	2	1	59	16	12	0
14	추재현	롯데	0.224	33	66	58	10	13	4	0	0	17	5	0	0
15	지시완	롯데	0.213	75	199	174	16	37	7	0	3	53	17	2	1
16	이학주	롯데	0.207	91	260	232	29	48	11	1	3	70	15	9	1
17	정보근	롯데	0.191	95	226	199	8	38	2	0	1	43	15	10	1
18	조세진	롯데	0.186	39	88	86	6	16	3	0	0	19	6	1	0
19	장두성	롯데	0.174	53	28	23	7	4	0	0	0	4	0	0	0
20	안중열	롯데	0.155	33	84	71	8	11	0	0	2	17	2	0	0
21	윤동희	롯데	0.154	4	13	13	1	2	1	0	0	3	1	0	0
22	한태양	롯데	0.148	38	72	61	14	9	1	0	0	10	3	4	0
23	김민수	롯데	0.143	5	7	7	0	1	0	0	0	1	1	0	0
24	배성근	롯데	0.128	22	41	39	3	5	1	0	0	6	0	0	0
25	강태율	롯데	0.094	19	38	32	0	3	1	0	0	4	3	3	0
26	강로한	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
26	강윤구	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
26	구승민	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
26	김세민	롯데	0.000	4	4	1	1	0	0	0	0	0	0	2	0
26	김원중	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
1	이병헌	삼성	0.750	3	4	4	1	3	1	0	0	4	1	0	0
2	피렐라	삼성	0.342	141	630	561	102	192	33	4	28	317	109	0	2
3	김재성	삼성	0.335	63	185	161	16	54	10	0	3	73	26	1	3
4	강한울	삼성	0.323	94	252	226	31	73	12	1	1	90	26	4	2
5	조민성	삼성	0.308	12	16	13	3	4	0	0	1	7	3	0	0
6	김태군	삼성	0.298	102	235	205	20	61	11	0	2	78	25	6	3
7	구자욱	삼성	0.293	99	442	409	69	120	23	3	5	164	38	1	2
8	김지찬	삼성	0.280	113	429	361	62	101	7	6	0	120	25	19	2
9	오선진	삼성	0.276	100	306	268	30	74	8	0	3	91	24	16	1
10	김현준	삼성	0.275	118	422	363	57	100	19	4	0	127	22	8	0
11	오재일	삼성	0.268	135	536	470	57	126	42	0	21	231	94	0	7
12	이원석	삼성	0.267	88	335	288	31	77	13	0	10	120	60	3	6
13	강민호	삼성	0.258	130	444	396	38	102	19	1	13	162	66	1	3
14	김상수	삼성	0.251	72	260	235	30	59	11	0	2	76	29	4	2
15	김동진	삼성	0.250	5	4	4	0	1	1	0	0	2	0	0	0
16	김재혁	삼성	0.242	15	39	33	5	8	1	0	0	9	3	0	1
17	이재현	삼성	0.235	75	239	230	23	54	4	0	7	79	23	3	0
18	이해승	삼성	0.232	46	106	99	11	23	3	0	0	26	5	6	0
19	김동엽	삼성	0.221	30	100	95	9	21	5	0	2	32	4	0	1
20	박승규	삼성	0.216	62	83	74	10	16	2	0	0	18	4	5	1
21	김헌곤	삼성	0.192	80	239	224	18	43	8	0	1	54	20	2	3
22	김성윤	삼성	0.190	48	49	42	14	8	3	0	1	14	2	1	0
23	최영진	삼성	0.188	43	91	80	5	15	4	0	2	25	10	1	0
24	이태훈	삼성	0.176	10	18	17	2	3	0	0	0	3	0	0	0
25	공민규	삼성	0.158	15	22	19	0	3	0	0	0	3	2	0	1
26	안주형	삼성	0.150	18	23	20	2	3	0	0	0	3	2	1	1
27	김호재	삼성	0.143	21	29	28	1	4	1	0	0	5	1	0	0
28	송준석	삼성	0.138	17	32	29	3	4	0	0	0	4	1	1	0
29	김영웅	삼성	0.133	13	15	15	2	2	0	0	1	5	1	0	0
