순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김경태	두산	0.00	3	0	0	0	0	-	2/3	1	0	1	1	0	0	0	3.00
1	김상현	두산	-	1	0	0	0	0	-	0	0	0	1	0	0	0	0	-
1	전병두	두산	0.00	6	0	0	0	0	-	2	2	0	1	0	0	0	0	1.50
4	정성훈	두산	2.62	48	1	0	2	5	1.000	58 1/3	55	6	14	6	17	17	17	1.18
5	김유봉	두산	2.70	4	0	0	0	0	-	3 1/3	3	0	2	1	1	1	1	1.50
6	이재영	두산	3.65	52	6	2	5	10	0.750	116	105	12	78	3	83	55	47	1.58
7	손혁	두산	3.65	12	4	6	0	0	0.400	61 2/3	60	9	9	5	27	29	25	1.12
8	이리키	두산	3.74	39	7	11	5	0	0.389	159	155	17	53	9	87	68	66	1.31
9	키퍼	두산	3.79	29	8	7	0	0	0.533	168 2/3	160	15	46	17	77	78	71	1.22
10	이혜천	두산	3.93	83	5	3	0	11	0.625	55	46	4	37	5	36	27	24	1.51
11	노경은	두산	4.12	5	3	1	0	0	0.750	19 2/3	12	2	12	2	8	9	9	1.22
12	구자운	두산	4.17	48	4	9	18	0	0.308	95	98	7	30	3	64	48	44	1.35
13	권명철	두산	4.20	40	3	3	0	1	0.500	79 1/3	89	8	23	4	45	40	37	1.41
14	이재우	두산	4.30	25	3	0	0	1	1.000	46	47	6	20	2	29	25	22	1.46
15	차명주	두산	4.35	77	1	1	0	16	0.500	31	28	0	16	1	14	18	15	1.42
16	김승회	두산	4.38	34	1	3	0	6	0.250	51 1/3	47	3	20	4	40	27	25	1.31
17	이경필	두산	4.50	26	8	13	0	1	0.381	106	122	4	43	12	47	71	53	1.56
18	김태구	두산	4.74	15	0	0	0	0	-	24 2/3	26	0	10	1	6	13	13	1.46
19	박명환	두산	5.19	19	5	10	0	0	0.333	100 2/3	113	13	46	3	76	65	58	1.58
20	곽채진	두산	5.86	11	1	4	0	0	0.200	35 1/3	43	4	4	5	11	25	23	1.33
21	한태균	두산	7.71	3	0	0	0	1	-	2 1/3	6	1	2	0	4	2	2	3.43
22	이상훈	두산	9.72	12	1	1	0	1	0.500	16 2/3	26	3	5	1	9	22	18	1.86
23	정재훈	두산	10.80	5	0	1	0	0	0.000	3 1/3	2	1	4	0	3	4	4	1.80
1	김휘곤	롯데	0.00	1	0	0	0	0	-	1/3	0	0	0	0	0	0	0	0.00
2	이석만	롯데	3.00	4	0	0	0	0	-	3	1	0	2	0	1	1	1	1.00
3	박석진	롯데	3.38	5	0	0	0	0	-	2 2/3	7	0	0	0	2	1	1	2.63
4	이명우	롯데	3.60	25	0	0	0	1	-	10	12	2	4	1	7	6	4	1.60
4	이명호	롯데	3.60	11	0	0	0	0	-	5	6	0	4	1	1	2	2	2.00
6	박지철	롯데	3.89	28	8	7	0	0	0.533	129 2/3	128	16	57	9	78	64	56	1.43
7	노승욱	롯데	4.48	78	2	2	1	13	0.500	94 1/3	113	13	17	11	45	49	47	1.38
8	주형광	롯데	4.58	62	0	9	1	13	0.000	74 2/3	85	13	21	8	49	42	38	1.42
9	변인재	롯데	4.62	26	0	2	1	1	0.000	37	42	6	8	5	17	25	19	1.35
10	임경완	롯데	4.71	59	3	14	11	4	0.176	93 2/3	97	10	30	11	45	52	49	1.36
11	손민한	롯데	4.86	18	3	11	0	0	0.214	109 1/3	115	17	38	5	54	67	59	1.40
12	양성제	롯데	4.89	50	1	6	0	6	0.143	99 1/3	121	12	37	9	42	65	54	1.59
13	염종석	롯데	5.17	24	7	14	0	0	0.333	123 2/3	132	21	47	11	85	74	71	1.45
14	이정훈	롯데	5.20	44	7	8	1	5	0.467	110 2/3	126	13	51	8	67	65	64	1.60
15	김사율	롯데	5.45	20	1	2	0	1	0.333	36 1/3	42	5	15	1	15	23	22	1.57
16	강상수	롯데	5.50	33	2	3	6	1	0.400	54	54	15	29	2	47	35	33	1.54
17	가득염	롯데	5.80	81	1	1	1	13	0.500	35 2/3	32	3	9	4	29	23	23	1.15
18	이정민	롯데	6.00	2	1	0	0	0	1.000	9	10	3	2	1	1	6	6	1.33
19	김장현	롯데	6.75	28	3	9	0	0	0.250	92	119	15	29	3	32	70	69	1.61
20	김주용	롯데	7.11	3	0	0	0	0	-	6 1/3	9	0	3	1	2	5	5	1.89
21	이용훈	롯데	11.08	8	0	1	0	0	0.000	13	25	5	14	2	9	17	16	3.00
1	김현욱	삼성	2.00	63	8	2	0	13	0.800	85 2/3	63	7	19	5	73	23	19	0.96
2	오상민	삼성	2.79	47	4	1	3	9	0.800	58	49	6	14	2	45	19	18	1.09
3	권오준	삼성	3.13	13	0	1	0	1	0.000	23	22	2	5	1	10	9	8	1.17
4	임창용	삼성	3.55	28	13	3	1	0	0.813	147	141	15	44	15	85	63	58	1.26
5	권오원	삼성	3.68	4	0	0	0	0	-	7 1/3	7	1	2	0	6	3	3	1.23
6	김진웅	삼성	4.05	32	9	11	1	0	0.450	153 1/3	151	19	70	5	99	75	69	1.44
7	노장진	삼성	4.12	53	9	10	21	1	0.474	83	73	8	48	5	87	40	38	1.46
8	강영식	삼성	4.22	38	1	2	0	6	0.333	42 2/3	40	3	25	0	40	20	20	1.52
9	배영수	삼성	4.51	30	13	5	0	0	0.722	163 2/3	174	11	77	7	99	85	82	1.53
10	정현욱	삼성	4.59	43	4	5	1	3	0.444	86 1/3	91	6	32	2	77	47	44	1.42
11	라이언	삼성	5.02	15	1	3	1	0	0.250	57 1/3	65	5	16	3	28	33	32	1.41
12	전병호	삼성	5.03	45	8	4	1	6	0.667	102	110	13	37	2	54	59	57	1.44
13	권혁	삼성	5.26	23	3	2	0	2	0.600	39 1/3	40	5	21	0	26	26	23	1.55
14	이준	삼성	5.40	1	0	0	0	0	-	1 2/3	3	0	0	0	1	1	1	1.80
15	라형진	삼성	5.98	46	0	2	1	0	0.000	64 2/3	76	14	49	5	30	44	43	1.93
16	이정호	삼성	6.23	6	1	0	0	0	1.000	4 1/3	8	2	3	1	3	3	3	2.54
16	지승민	삼성	6.23	12	0	0	0	0	-	13	22	4	4	2	10	9	9	2.00
18	노병오	삼성	6.52	9	0	1	0	0	0.000	9 2/3	10	2	9	0	4	7	7	1.97
19	엘비라	삼성	7.06	6	1	1	0	0	0.500	21 2/3	20	3	13	3	21	17	17	1.52
20	안지만	삼성	7.89	14	1	0	0	0	1.000	21 2/3	31	6	6	3	11	19	19	1.71
21	문남열	삼성	9.00	1	0	0	0	0	-	1	2	1	0	0	1	1	1	2.00
22	임동규	삼성	13.50	2	0	0	0	0	-	2	4	2	1	0	2	3	3	2.50
23	김문수	삼성	15.43	2	0	0	0	0	-	2 1/3	9	0	1	0	1	11	4	4.29
1	문용민	한화	2.19	19	0	0	0	0	-	12 1/3	7	0	11	0	3	3	3	1.46
2	송진우	한화	3.12	42	9	7	7	2	0.563	129 2/3	111	9	40	6	93	48	45	1.16
3	이상목	한화	3.54	33	15	7	1	1	0.682	185 1/3	203	18	29	4	118	78	73	1.25
4	유혜정	한화	3.68	7	0	2	0	0	0.000	14 2/3	9	3	8	1	10	6	6	1.16
5	피코타	한화	3.86	41	3	6	15	0	0.333	56	62	5	19	2	43	26	24	1.45
6	안영명	한화	3.89	34	3	0	2	1	1.000	44	44	6	15	2	26	19	19	1.34
7	정민철	한화	4.00	26	11	10	0	0	0.524	139 2/3	132	18	51	4	73	65	62	1.31
8	마정길	한화	4.06	63	3	2	2	8	0.600	68 2/3	56	6	30	11	57	34	31	1.25
9	박정진	한화	4.31	57	6	7	3	11	0.462	100 1/3	82	8	50	3	73	52	48	1.32
10	기론	한화	4.59	15	3	3	1	0	0.500	64 2/3	62	8	31	3	49	35	33	1.44
11	에스트라다	한화	4.71	7	1	3	0	0	0.250	36 1/3	30	9	13	7	26	22	19	1.18
12	한용덕	한화	4.91	32	2	1	1	3	0.667	55	59	5	9	5	42	31	30	1.24
13	지연규	한화	5.20	12	2	3	0	0	0.400	45	51	6	16	2	8	32	26	1.49
14	김백만	한화	5.23	19	0	0	0	0	-	32 2/3	38	6	6	4	21	19	19	1.35
15	조규수	한화	5.28	32	4	10	2	1	0.286	121	121	18	60	4	80	74	71	1.50
16	고상천	한화	5.40	12	0	0	0	0	-	6 2/3	3	0	12	2	6	4	4	2.25
17	윤규진	한화	6.43	8	0	1	1	0	0.000	14	20	2	3	0	5	10	10	1.64
18	최영필	한화	6.86	13	1	3	0	0	0.250	42	50	6	20	4	26	33	32	1.67
