순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	서건창	넥센	0.332	139	615	539	87	179	28	3	6	231	76	2	6
2	이정후	넥센	0.324	144	622	552	111	179	29	8	2	230	47	2	2
3	채태인	넥센	0.322	109	384	342	46	110	23	1	12	171	62	0	3
4	박윤	넥센	0.313	9	18	16	2	5	1	0	0	6	0	0	0
5	고종욱	넥센	0.312	123	453	426	70	133	24	8	8	197	54	0	2
6	김태완	넥센	0.311	46	100	90	14	28	5	0	4	45	7	0	0
7	초이스	넥센	0.307	46	201	176	37	54	8	1	17	115	42	0	1
8	김하성	넥센	0.302	141	601	526	90	159	36	3	23	270	114	2	7
9	채상현	넥센	0.300	5	12	10	0	3	0	0	0	3	0	1	0
10	김민성	넥센	0.282	133	530	472	59	133	26	1	15	206	78	0	8
11	이택근	넥센	0.278	100	269	241	27	67	15	1	3	93	29	1	1
12	송성문	넥센	0.273	38	90	77	11	21	0	1	1	26	8	1	1
13	박동원	넥센	0.270	103	284	256	33	69	9	0	11	111	39	6	2
14	장영석	넥센	0.269	60	212	186	30	50	14	0	12	100	38	0	0
15	김웅빈	넥센	0.252	67	142	135	18	34	8	0	3	51	19	0	0
16	박정음	넥센	0.243	81	162	140	26	34	4	1	2	46	15	4	1
17	김규민	넥센	0.238	14	23	21	5	5	0	1	0	7	2	0	0
17	임병욱	넥센	0.238	21	46	42	10	10	3	0	1	16	7	0	1
19	허정협	넥센	0.237	83	266	228	35	54	9	0	9	90	39	1	1
20	주효상	넥센	0.195	64	129	118	10	23	5	0	1	31	9	0	0
21	김혜성	넥센	0.188	16	17	16	1	3	2	0	0	5	2	0	0
22	김지수	넥센	0.171	64	40	35	7	6	0	0	1	9	5	1	2
23	김재현	넥센	0.167	70	88	84	6	14	2	0	2	22	6	0	0
24	홍성갑	넥센	0.143	7	8	7	0	1	0	0	0	1	0	0	0
25	대니돈	넥센	0.140	20	57	50	5	7	2	0	1	12	2	0	0
26	강지광	넥센	0.000	1	2	2	0	0	0	0	0	0	0	0	0
26	김민준	넥센	0.000	12	5	4	2	0	0	0	0	0	0	0	0
26	김상수	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
26	하영민	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
26	한현희	넥센	-	1	0	0	0	0	0	0	0	0	0	0	
1	김강률	두산	1.000	3	1	1	0	1	0	0	0	1	1	0	0
2	박건우	두산	0.366	131	543	483	91	177	40	2	20	281	78	5	4
3	김재환	두산	0.340	144	636	544	110	185	34	2	35	328	115	0	4
4	박유연	두산	0.333	3	3	3	0	1	0	0	0	1	0	0	0
5	오재일	두산	0.306	128	466	412	62	126	27	0	26	231	89	1	3
6	민병헌	두산	0.304	123	520	447	73	136	21	0	14	199	71	1	6
7	최주환	두산	0.301	129	452	399	65	120	16	6	7	169	57	1	5
8	에반스	두산	0.296	138	581	514	82	152	19	0	27	252	90	0	3
9	김재호	두산	0.293	91	331	283	34	83	18	1	7	124	50	2	7
10	박세혁	두산	0.284	97	237	201	41	57	8	0	5	80	26	8	4
11	정진호	두산	0.283	97	224	198	43	56	11	2	5	86	31	4	2
12	양의지	두산	0.277	111	406	347	47	96	15	0	14	153	67	1	3
13	조수행	두산	0.277	80	52	47	17	13	2	0	0	15	2	0	0
14	서예일	두산	0.261	22	25	23	5	6	2	0	0	8	2	1	0
15	류지혁	두산	0.259	125	330	297	60	77	13	4	3	107	26	8	0
16	허경민	두산	0.257	130	422	369	50	95	22	1	3	128	40	12	2
17	오재원	두산	0.237	127	390	334	43	79	16	1	7	118	40	4	3
18	국해성	두산	0.209	57	96	86	15	18	3	0	3	30	17	0	1
19	이성곤	두산	0.200	4	5	5	1	1	0	0	0	1	0	0	0
20	김민혁	두산	0.190	18	21	21	1	4	2	0	0	6	2	0	0
21	김인태	두산	0.186	31	44	43	5	8	1	0	2	15	4	0	0
22	신성현	두산	0.164	34	72	67	5	11	2	1	1	18	7	1	1
23	김명신	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
23	이용찬	두산	-	4	0	0	0	0	0	0	0	0	0	0	0
23	이우성	두산	0.000	2	2	2	0	0	0	0	0	0	0	0	0
23	황경태	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
1	손아섭	롯데	0.335	144	667	576	113	193	35	4	20	296	80	1	3
2	전준우	롯데	0.321	110	496	455	76	146	27	1	18	229	69	2	2
3	이대호	롯데	0.320	142	608	540	73	173	13	0	34	288	111	0	3
4	번즈	롯데	0.303	116	468	423	71	128	38	0	15	211	57	2	3
5	김문호	롯데	0.292	131	448	390	49	114	17	1	2	139	35	7	1
6	최준석	롯데	0.291	125	464	409	43	119	15	0	14	176	82	0	5
7	황진수	롯데	0.291	60	133	117	18	34	6	2	1	47	16	2	1
8	강민호	롯데	0.285	130	515	456	62	130	22	1	22	220	68	0	3
9	문규현	롯데	0.270	110	337	304	38	82	15	2	6	119	42	18	3
10	박헌도	롯데	0.257	56	130	113	19	29	4	0	4	45	13	0	0
11	나경민	롯데	0.256	97	129	117	37	30	5	2	1	42	11	2	1
12	이우민	롯데	0.254	104	215	185	35	47	5	1	4	66	21	5	0
13	정훈	롯데	0.248	68	136	109	16	27	8	2	1	42	6	3	1
14	신본기	롯데	0.237	128	381	325	49	77	11	0	5	103	47	13	5
15	김동한	롯데	0.236	81	205	178	26	42	19	0	3	70	14	13	0
16	김상호	롯데	0.228	80	114	101	7	23	3	1	0	28	7	0	0
17	김대우	롯데	0.200	12	22	20	1	4	2	0	0	6	4	1	0
18	김사훈	롯데	0.184	57	89	76	1	14	3	0	0	17	8	5	1
19	김민수	롯데	0.176	10	19	17	0	3	0	0	0	3	0	1	0
20	김대륙	롯데	0.151	50	58	53	4	8	2	0	0	10	2	1	0
21	강동관	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
21	김재유	롯데	0.000	1	1	1	0	0	0	0	0	0	0	0	0
21	김주현	롯데	0.000	2	4	4	0	0	0	0	0	0	0	0	0
21	나종덕	롯데	0.000	5	4	4	0	0	0	0	0	0	0	0	0
21	노경은	롯데	0.000	2	2	2	0	0	0	0	0	0	0	0	0
21	박시영	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
21	손승락	롯데	-	4	0	0	0	0	0	0	0	0	0	0	0
