순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이원희	두산	-	1	0	1	0	0	0.000	0	3	1	1	0	0	4	4	-
2	원용묵	두산	1.59	16	0	0	0	0	-	11 1/3	10	0	6	1	8	3	2	1.41
3	리오스	두산	2.07	33	22	5	0	0	0.815	234 2/3	191	8	58	16	147	69	54	1.06
4	구자운	두산	2.08	6	2	1	0	0	0.667	17 1/3	13	0	8	2	11	4	4	1.21
5	이승학	두산	2.17	33	7	1	0	3	0.875	62 1/3	53	3	18	4	38	15	15	1.14
6	임태훈	두산	2.40	64	7	3	1	20	0.700	101 1/3	77	2	36	5	93	28	27	1.12
7	정재훈	두산	2.44	52	5	3	25	0	0.625	59	54	2	32	5	54	22	16	1.46
8	랜들	두산	3.12	28	12	8	0	0	0.600	164 1/3	142	16	55	10	113	60	57	1.20
9	금민철	두산	3.97	53	1	4	0	6	0.200	59	57	2	29	5	43	30	26	1.46
10	정성훈	두산	4.00	9	1	1	1	1	0.500	9	11	0	4	1	5	4	4	1.67
11	김상현	두산	4.33	28	4	9	0	2	0.308	72 2/3	78	7	19	1	52	41	35	1.33
12	김승회	두산	4.54	42	2	6	0	8	0.250	83 1/3	93	12	32	4	36	45	42	1.50
13	노경은	두산	4.67	29	1	2	0	1	0.333	44 1/3	45	2	25	3	21	25	23	1.58
14	정재훈	두산	5.03	32	1	1	2	0	0.500	34	36	4	11	2	12	20	19	1.38
15	김명제	두산	5.05	30	4	7	1	0	0.364	117 2/3	133	11	40	12	63	70	66	1.47
16	이경필	두산	5.19	15	1	2	0	1	0.333	34 2/3	43	0	16	3	14	20	20	1.70
17	서동환	두산	6.00	3	0	0	0	0	-	3	4	0	0	0	1	2	2	1.33
18	김덕윤	두산	6.20	21	0	0	0	0	-	20 1/3	16	4	8	1	7	14	14	1.18
19	김건국	두산	9.00	1	0	0	0	0	-	1	2	0	1	0	0	1	1	3.00
20	이원재	두산	13.50	1	0	0	0	0	-	2	6	0	0	0	3	3	3	3.00
1	김유신	롯데	0.00	1	0	0	0	0	-	1	0	0	0	0	1	0	0	0.00
2	김정환	롯데	2.08	5	0	0	0	0	-	4 1/3	8	0	0	0	1	1	1	1.85
3	이정훈	롯데	2.45	7	0	0	0	0	-	7 1/3	9	0	4	0	8	3	2	1.77
4	최대성	롯데	2.67	41	3	2	0	7	0.600	57 1/3	39	0	26	5	53	17	17	1.13
5	김이슬	롯데	2.70	7	0	0	0	0	-	3 1/3	2	0	1	0	1	1	1	0.90
6	임경완	롯데	3.25	65	7	1	0	6	0.875	74 2/3	73	2	35	12	52	28	27	1.45
7	손민한	롯데	3.34	30	13	10	0	0	0.565	194	191	17	48	2	95	74	72	1.23
8	배장호	롯데	3.42	34	4	0	0	4	1.000	47 1/3	41	4	14	4	33	20	18	1.16
9	카브레라	롯데	3.65	56	3	4	22	0	0.429	56 2/3	49	5	19	1	60	30	23	1.20
10	송승준	롯데	3.85	25	5	5	0	0	0.500	117	115	13	49	6	76	52	50	1.40
11	강영식	롯데	3.86	58	0	0	0	5	-	35	27	5	13	1	39	15	15	1.14
12	나승현	롯데	4.07	26	1	2	0	0	0.333	42	37	3	25	7	31	20	19	1.48
13	주형광	롯데	4.15	33	0	2	0	1	0.000	21 2/3	24	3	6	0	12	10	10	1.38
14	허준혁	롯데	4.41	10	1	1	0	0	0.500	16 1/3	26	1	4	3	4	10	8	1.84
15	장원준	롯데	4.67	32	8	12	0	0	0.400	156	171	14	69	9	103	87	81	1.54
16	염종석	롯데	4.94	14	4	8	0	0	0.333	71	81	4	24	2	30	43	39	1.48
17	최향남	롯데	5.00	24	5	12	0	0	0.294	122 1/3	139	13	39	10	66	74	68	1.46
18	김사율	롯데	5.40	2	0	0	0	0	-	1 2/3	3	0	1	0	0	1	1	2.40
19	이왕기	롯데	5.91	7	0	1	0	0	0.000	10 2/3	13	2	6	2	3	7	7	1.78
20	박지철	롯데	6.14	6	0	1	0	0	0.000	7 1/3	9	0	5	1	5	6	5	1.91
21	조정훈	롯데	6.65	17	0	2	0	1	0.000	23	35	3	10	3	12	17	17	1.96
22	이상목	롯데	6.69	11	1	4	0	0	0.200	37 2/3	56	4	13	1	14	30	28	1.83
1	윤성환	삼성	1.04	36	3	0	0	8	1.000	43 1/3	24	2	17	1	43	6	5	0.95
2	오상민	삼성	1.23	12	1	0	0	0	1.000	7 1/3	8	0	2	0	5	1	1	1.36
3	오승환	삼성	1.40	60	4	4	40	0	0.500	64 1/3	41	6	17	2	69	12	10	0.90
4	김문수	삼성	2.25	11	0	1	0	0	0.000	12	8	1	2	3	5	3	3	0.83
5	김기태	삼성	2.57	3	0	0	0	0	-	7	9	0	3	0	4	2	2	1.71
