순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	페르난데스	두산	0.340	144	668	586	104	199	29	0	21	291	105	0	11
2	허경민	두산	0.332	117	487	437	70	145	25	1	7	193	58	3	7
3	오재일	두산	0.312	127	534	471	62	147	32	0	16	227	89	0	2
4	최주환	두산	0.306	140	574	509	63	156	29	4	16	241	88	1	10
5	박건우	두산	0.304	129	551	487	103	148	40	0	14	230	70	3	7
6	정수빈	두산	0.298	141	559	490	84	146	17	8	5	194	59	7	5
7	최용제	두산	0.295	28	49	44	9	13	0	1	0	15	9	1	0
8	김재호	두산	0.289	120	458	402	48	116	15	1	2	139	39	2	5
9	안권수	두산	0.270	68	41	37	10	10	0	0	0	10	3	1	1
10	박세혁	두산	0.269	124	423	360	47	97	18	2	4	131	51	9	7
11	김재환	두산	0.266	140	614	516	82	137	26	1	30	255	113	0	6
12	조수행	두산	0.263	44	40	38	12	10	0	0	0	10	4	0	0
13	권민석	두산	0.260	55	57	50	6	13	2	0	0	15	7	2	2
14	이유찬	두산	0.258	101	108	89	30	23	2	1	0	27	6	2	1
15	신성현	두산	0.250	9	7	4	2	1	1	0	0	2	0	0	0
15	장승현	두산	0.250	23	22	20	5	5	3	0	0	8	3	0	0
17	서예일	두산	0.240	40	29	25	4	6	2	0	0	8	1	0	1
18	국해성	두산	0.233	46	94	86	10	20	1	0	3	30	17	0	1
19	오재원	두산	0.232	85	174	155	25	36	7	1	5	60	27	1	2
20	양찬열	두산	0.227	17	26	22	5	5	0	0	0	5	3	0	0
21	김인태	두산	0.202	77	110	84	15	17	5	0	1	25	13	2	1
22	백동훈	두산	0.188	27	19	16	5	3	1	0	0	4	0	0	0
23	정상호	두산	0.163	42	92	86	3	14	6	0	0	20	8	3	1
24	권휘	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
24	김강률	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
24	김민규	두산	-	3	0	0	0	0	0	0	0	0	0	0	0
24	박지훈	두산	0.000	10	2	2	1	0	0	0	0	0	0	0	0
24	오명진	두산	0.000	5	4	4	0	0	0	0	0	0	0	0	0
24	윤명준	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
24	이승민	두산	0.000	3	1	1	1	0	0	0	0	0	0	0	0
1	강태율	롯데	0.455	14	18	11	2	5	0	0	2	11	2	0	0
2	신용수	롯데	0.429	5	8	7	2	3	0	0	0	3	2	0	0
3	손아섭	롯데	0.352	141	611	540	98	190	43	0	11	266	85	1	7
4	오윤석	롯데	0.298	63	197	168	31	50	7	1	4	71	32	1	2
5	정훈	롯데	0.295	111	476	410	72	121	19	1	11	175	58	2	4
6	이대호	롯데	0.292	144	611	542	67	158	27	0	20	245	110	0	11
7	안치홍	롯데	0.286	124	460	412	49	118	28	0	8	170	54	4	2
8	마차도	롯데	0.280	144	560	486	79	136	31	1	12	205	67	4	8
9	전준우	롯데	0.279	143	628	562	95	157	34	1	26	271	96	3	3
10	한동희	롯데	0.278	135	531	461	62	128	22	0	17	201	67	5	3
11	이병규	롯데	0.274	53	194	164	28	45	4	0	9	76	32	0	1
12	김재유	롯데	0.259	68	133	116	20	30	1	0	1	34	9	2	0
13	김민수	롯데	0.250	3	10	8	1	2	0	0	0	2	0	0	0
13	지성준	롯데	0.250	3	11	8	0	2	0	0	0	2	2	0	0
15	민병헌	롯데	0.233	109	342	309	42	72	12	0	2	90	23	5	2
16	김준태	롯데	0.225	128	369	306	38	69	12	2	5	100	43	3	3
17	김동한	롯데	0.221	82	73	68	23	15	5	0	0	20	5	0	0
18	신본기	롯데	0.217	81	123	106	18	23	1	0	2	30	12	1	1
19	강로한	롯데	0.190	16	26	21	6	4	0	0	0	4	1	0	0
20	허일	롯데	0.179	60	95	84	5	15	4	0	1	22	6	2	0
21	정보근	롯데	0.150	85	152	133	9	20	2	0	0	22	5	6	1
22	추재현	롯데	0.125	13	28	24	3	3	0	0	0	3	0	0	0
23	고효준	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
23	구승민	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
23	김강현	롯데	0.000	5	4	3	0	0	0	0	0	0	0	0	0
23	김대우	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
23	김원중	롯데	-	3	0	0	0	0	0	0	0	0	0	0	0
23	배성근	롯데	0.000	4	7	7	0	0	0	0	0	0	0	0	0
23	오현택	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
23	이인복	롯데	-	2	0	0	0	0	0	0	0	0	0	0	0
1	김호재	삼성	0.322	65	138	118	19	38	5	0	1	46	10	1	0
2	김동엽	삼성	0.312	115	451	413	60	129	21	0	20	210	74	1	4
3	구자욱	삼성	0.307	118	510	446	70	137	27	2	15	213	78	1	4
4	강한울	삼성	0.305	34	122	105	13	32	3	0	1	38	10	5	1
5	김상수	삼성	0.304	120	471	404	71	123	18	3	5	162	47	2	2
6	최영진	삼성	0.297	58	118	101	15	30	3	0	1	36	11	1	1
7	박해민	삼성	0.290	132	541	489	84	142	18	5	11	203	55	7	3
8	강민호	삼성	0.287	119	393	355	46	102	14	0	19	173	61	0	3
9	김성윤	삼성	0.286	9	9	7	1	2	1	0	0	3	0	0	0
