순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	용덕한	두산	1.000	5	3	2	1	2	0	0	0	2	1	0	1
2	홍성흔	두산	0.329	133	552	501	62	165	27	2	14	238	86	3	2
3	나주환	두산	0.305	64	63	59	14	18	6	0	1	27	9	0	1
4	김동주	두산	0.286	124	517	430	72	123	19	1	19	201	76	0	2
5	장원진	두산	0.284	130	486	429	51	122	15	4	5	160	49	5	3
6	안경현	두산	0.280	125	525	447	57	125	20	1	10	177	51	9	2
7	최경환	두산	0.278	126	480	436	49	121	16	4	5	160	58	0	6
8	김창희	두산	0.276	110	344	301	37	83	17	1	4	114	31	6	0
9	전상렬	두산	0.274	128	542	486	76	133	18	2	5	170	42	10	4
10	윤재국	두산	0.250	28	101	92	13	23	3	0	2	32	15	2	2
11	강인권	두산	0.238	79	182	160	13	38	7	0	0	45	23	6	3
12	강봉규	두산	0.236	40	85	72	14	17	2	1	1	24	5	2	0
13	알칸트라	두산	0.231	37	151	130	19	30	4	0	6	52	25	0	2
13	이승준	두산	0.231	64	152	130	17	30	5	0	8	59	19	1	1
15	손시헌	두산	0.231	122	395	347	45	80	20	2	2	110	39	6	6
16	유재웅	두산	0.222	76	172	153	20	34	12	1	5	63	16	0	0
17	채상병	두산	0.214	15	18	14	0	3	1	0	0	4	2	0	0
18	홍원기	두산	0.213	101	190	160	16	34	5	0	2	45	18	5	3
19	임재철	두산	0.175	51	115	103	13	18	2	0	0	20	5	4	1
20	문희성	두산	0.167	28	47	42	6	7	2	0	0	9	2	0	0
21	정원석	두산	0.146	54	48	41	13	6	1	0	0	7	5	0	1
22	구자운	두산	-	4	0	0	0	0	0	0	0	0	0	0	0
22	김재호	두산	0.000	36	9	9	4	0	0	0	0	0	0	0	0
22	레스	두산	0.000	1	1	1	0	0	0	0	0	0	0	0	0
22	방승재	두산	0.000	10	7	7	1	0	0	0	0	0	0	0	0
22	백승훈	두산	0.000	5	1	1	0	0	0	0	0	0	0	0	0
22	윤상무	두산	0.000	3	1	1	2	0	0	0	0	0	0	0	0
22	윤석민	두산	0.000	3	1	1	1	0	0	0	0	0	0	0	0
22	이재영	두산	-	3	0	0	0	0	0	0	0	0	0	0	0
22	이혜천	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
1	페레즈	롯데	0.314	125	532	490	60	154	17	0	18	225	86	1	3
2	김만윤	롯데	0.300	7	11	10	1	3	0	0	0	3	0	0	0
3	라이온	롯데	0.300	102	438	404	52	121	28	0	12	185	55	1	3
4	손인호	롯데	0.284	122	480	408	54	116	21	2	5	156	42	1	4
5	박정태	롯데	0.278	26	27	18	2	5	0	0	0	5	3	0	0
6	최기문	롯데	0.272	108	372	327	39	89	16	2	2	115	32	8	2
7	신명철	롯데	0.264	54	157	140	18	37	6	2	0	47	9	5	0
8	조성환	롯데	0.257	19	87	70	6	18	4	0	0	22	1	5	0
9	정수근	롯데	0.257	92	340	292	37	75	11	1	3	97	29	6	1
10	이대호	롯데	0.248	132	514	444	52	110	26	0	20	196	68	6	6
11	박연수	롯데	0.244	74	143	123	10	30	9	1	3	50	17	1	1
12	김태균	롯데	0.244	40	83	78	9	19	2	0	3	30	10	1	1
13	김주찬	롯데	0.242	120	503	450	53	109	20	5	7	160	42	6	2
14	박남섭	롯데	0.242	86	182	157	26	38	10	3	3	63	18	7	1
15	김승관	롯데	0.222	59	145	126	13	28	4	0	2	38	14	2	3
16	박현승	롯데	0.219	61	174	146	18	32	6	0	1	41	11	3	1
17	서정호	롯데	0.212	15	37	33	5	7	0	0	2	13	4	0	0
18	최준석	롯데	0.211	10	20	19	3	4	0	0	2	10	2	0	0
19	박기혁	롯데	0.203	131	386	340	35	69	7	2	6	98	35	12	1
20	허일상	롯데	0.194	27	42	36	4	7	2	0	0	9	3	0	1
21	박진환	롯데	0.194	23	36	31	2	6	1	0	0	7	4	2	1
22	이계성	롯데	0.179	54	70	56	3	10	0	0	0	10	5	0	0
23	박경진	롯데	0.164	35	69	61	5	10	2	1	0	14	3	1	0
24	이인구	롯데	0.121	41	69	58	10	7	0	0	0	7	0	4	0
25	박정준	롯데	0.088	16	37	34	1	3	0	0	0	3	2	1	0
26	이시온	롯데	0.083	4	14	12	1	1	0	0	0	1	1	0	0
27	가득염	롯데	-	3	0	0	0	0	0	0	0	0	0	0	0
27	강민호	롯데	0.000	3	6	5	0	0	0	0	0	0	0	1	0
27	강상수	롯데	-	4	0	0	0	0	0	0	0	0	0	0	0
27	김종성	롯데	-	2	0	0	0	0	0	0	0	0	0	0	0
1	양준혁	삼성	0.315	133	584	479	95	151	30	0	28	265	103	1	2
2	박한이	삼성	0.310	132	587	503	81	156	26	2	16	234	63	7	3
3	강동우	삼성	0.295	132	497	438	59	129	22	1	3	162	49	7	1
4	김대익	삼성	0.290	93	233	210	32	61	10	2	2	81	25	3	3
5	박종호	삼성	0.282	132	587	514	78	145	25	0	8	194	59	13	4
6	진갑용	삼성	0.278	129	491	439	60	122	20	0	24	214	71	2	4
7	강명구	삼성	0.273	15	11	11	2	3	0	0	0	3	1	0	0
8	김한수	삼성	0.271	133	558	498	60	135	30	1	16	215	84	6	4
9	오리어리	삼성	0.265	63	240	211	30	56	14	2	10	104	28	0	2
10	김종훈	삼성	0.264	127	392	341	40	90	14	2	5	123	36	10	1
11	이태호	삼성	0.250	11	8	8	1	2	0	0	0	2	0	0	0
12	조동찬	삼성	0.222	123	394	342	44	76	18	0	7	115	29	16	4
13	신동주	삼성	0.219	73	118	105	11	23	5	1	2	36	9	1	1
14	현재윤	삼성	0.214	77	234	210	29	45	10	0	4	67	20	10	1
