순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김동주	두산	0.342	118	504	401	61	137	23	2	23	233	89	0	13
2	윤태수	두산	0.333	6	6	6	1	2	0	0	1	5	1	0	0
3	안경현	두산	0.333	128	539	475	65	158	28	3	10	222	72	6	5
4	정수근	두산	0.321	89	294	262	32	84	11	3	0	101	17	2	2
5	최경환	두산	0.297	115	344	313	44	93	16	2	4	125	28	6	4
6	강인권	두산	0.291	67	207	179	17	52	9	0	0	61	17	7	2
7	홍성흔	두산	0.290	73	263	241	20	70	12	0	7	103	36	2	5
8	장원진	두산	0.290	124	429	386	46	112	23	1	5	152	48	4	4
9	김창희	두산	0.274	121	328	288	36	79	12	2	3	104	36	8	3
10	홍원기	두산	0.273	124	453	384	43	105	13	1	8	144	42	9	3
11	전상렬	두산	0.262	125	436	386	58	101	15	4	1	127	29	4	2
12	이승준	두산	0.258	24	31	31	2	8	2	0	2	16	3	0	0
13	심재학	두산	0.236	111	322	276	28	65	16	0	5	96	27	0	4
14	강봉규	두산	0.231	6	15	13	3	3	0	0	1	6	3	0	0
14	고영민	두산	0.231	32	13	13	2	3	0	0	0	3	0	0	0
16	문희성	두산	0.229	71	205	188	19	43	5	1	9	77	38	0	0
17	손시헌	두산	0.220	59	154	141	16	31	4	0	1	38	6	6	0
18	김민호	두산	0.218	77	218	193	23	42	7	0	0	49	15	5	5
19	쿨바	두산	0.215	44	162	149	15	32	6	0	10	68	24	0	0
20	이동수	두산	0.192	34	59	52	5	10	1	0	0	11	6	0	0
21	이경환	두산	0.182	21	23	22	1	4	0	0	0	4	0	0	0
22	나주환	두산	0.152	96	118	99	21	15	1	2	0	20	3	4	0
23	백대운	두산	0.067	9	16	15	2	1	1	0	0	2	0	0	0
24	정종수	두산	0.050	17	23	20	1	1	0	0	0	1	1	0	0
25	구자운	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
25	백승훈	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
25	이리키	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
25	이민택	두산	0.000	9	3	3	2	0	0	0	0	0	0	0	0
25	이재영	두산	-	3	0	0	0	0	0	0	0	0	0	0	0
25	키퍼	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
1	페레즈	롯데	0.314	50	204	194	32	61	14	0	9	102	30	0	1
2	조성환	롯데	0.307	129	543	486	73	149	25	2	6	196	38	7	1
3	최기문	롯데	0.294	119	392	347	33	102	20	2	2	132	41	6	1
4	이시온	롯데	0.290	90	377	338	45	98	19	1	13	158	45	0	0
5	신종길	롯데	0.284	40	75	67	11	19	6	1	0	27	6	1	0
6	손인호	롯데	0.278	103	371	334	29	93	21	2	4	130	42	0	4
7	박정태	롯데	0.278	50	86	72	5	20	2	0	2	28	17	0	4
7	이인구	롯데	0.278	9	20	18	1	5	2	0	0	7	1	2	0
9	윤재국	롯데	0.263	63	192	167	18	44	7	1	1	56	13	6	2
10	이계성	롯데	0.259	59	154	135	8	35	10	0	3	54	18	3	2
11	박연수	롯데	0.249	72	218	193	22	48	11	0	6	77	26	1	1
12	신명철	롯데	0.247	101	296	271	31	67	11	3	6	102	33	10	1
