순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	강병우	넥센	0.500	11	2	2	2	1	0	0	0	1	0	0	0
2	강정호	넥센	0.301	133	522	449	60	135	30	2	12	205	58	3	2
3	유한준	넥센	0.291	131	543	481	52	140	27	0	9	194	79	8	4
4	송지만	넥센	0.291	127	432	375	52	109	15	1	17	177	63	2	6
5	강병식	넥센	0.287	107	300	251	32	72	9	1	9	110	30	1	3
6	장기영	넥센	0.283	119	493	435	60	123	16	10	1	162	47	12	4
7	이숭용	넥센	0.274	124	374	328	37	90	15	0	2	111	30	5	2
8	클락	넥센	0.265	92	397	347	58	92	16	2	12	148	50	0	6
9	김민우	넥센	0.257	128	536	447	64	115	20	3	9	168	44	16	3
10	유선정	넥센	0.252	53	160	135	16	34	6	0	0	40	14	4	3
11	김일경	넥센	0.251	104	220	195	30	49	13	1	4	76	21	12	1
12	권도영	넥센	0.246	37	72	61	7	15	3	0	0	18	4	4	0
13	정수성	넥센	0.238	8	24	21	3	5	0	0	0	5	0	2	0
14	장영석	넥센	0.232	64	163	138	16	32	6	0	5	53	19	3	1
15	강귀태	넥센	0.230	97	300	269	24	62	9	0	3	80	34	9	3
16	조중근	넥센	0.207	21	31	29	2	6	0	0	0	6	3	0	0
17	김민성	넥센	0.200	80	223	180	26	36	4	0	2	46	12	13	1
18	오윤	넥센	0.180	37	69	61	6	11	3	0	1	17	4	0	0
19	이창섭	넥센	0.167	8	12	12	1	2	0	0	0	2	0	0	0
20	허준	넥센	0.163	73	57	49	5	8	1	0	0	9	1	3	0
21	오재일	넥센	0.133	39	67	60	1	8	4	0	1	15	9	2	0
22	조재호	넥센	0.121	46	36	33	6	4	0	0	0	4	4	0	0
23	고원준	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
23	김성현	넥센	0.000	1	1	1	0	0	0	0	0	0	0	0	0
23	김정훈	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
23	김지수	넥센	0.000	8	6	5	1	0	0	0	0	0	0	0	0
23	박동원	넥센	0.000	7	2	2	0	0	0	0	0	0	0	0	0
23	박성훈	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
23	박준수	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
23	배힘찬	넥센	-	1	0	0	0	0	0	0	0	0	0	0	
1	김동길	두산	0.400	8	5	5	2	2	1	1	0	5	1	0	0
2	정수빈	두산	0.322	76	156	143	35	46	8	6	1	69	19	1	2
3	최준석	두산	0.321	127	482	424	63	136	26	1	22	230	82	1	2
4	이두환	두산	0.320	13	30	25	2	8	1	0	1	12	6	0	2
5	김현수	두산	0.317	132	565	473	88	150	29	0	24	251	89	0	8
6	이종욱	두산	0.312	114	471	413	66	129	16	2	5	164	45	6	3
7	김동주	두산	0.295	110	470	387	60	114	22	0	20	196	67	1	5
8	임재철	두산	0.292	96	173	130	27	38	5	2	3	56	18	3	1
9	민병헌	두산	0.286	64	80	70	23	20	2	1	0	24	4	1	0
10	오재원	두산	0.276	123	421	384	59	106	17	3	0	129	37	2	2
11	손시헌	두산	0.273	128	499	433	51	118	19	1	8	163	62	10	3
12	이원석	두산	0.268	104	330	291	36	78	14	4	8	124	49	7	2
13	양의지	두산	0.267	127	430	374	48	100	14	1	20	176	68	5	3
14	이성열	두산	0.263	129	484	419	77	110	27	1	24	211	86	9	3
15	유재웅	두산	0.258	53	105	97	17	25	6	0	7	52	25	1	0
16	최승환	두산	0.250	42	49	44	5	11	2	0	0	13	5	1	1
17	김재호	두산	0.224	83	102	85	11	19	3	1	0	24	8	2	0
18	고영민	두산	0.205	100	344	293	53	60	10	1	6	90	35	2	1
19	용덕한	두산	0.136	43	52	44	7	6	2	0	0	8	0	2	0
20	고창성	두산	-	3	0	0	0	0	0	0	0	0	0	0	0
20	김승회	두산	0.000	2	1	1	0	0	0	0	0	0	0	0	0
20	노경은	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	박정배	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
20	성영훈	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	오현근	두산	0.000	3	2	2	1	0	0	0	0	0	0	0	0
20	오현택	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	유희관	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	이용찬	두산	0.000	3	1	1	0	0	0	0	0	0	0	0	0
20	이재학	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	임태훈	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
1	이대호	롯데	0.364	127	552	478	99	174	13	0	44	319	133	0	3
2	홍성흔	롯데	0.350	111	498	431	88	151	28	1	26	259	116	1	5
3	조성환	롯데	0.336	111	458	414	83	139	31	0	8	194	52	2	3
4	변용선	롯데	0.333	3	3	3	1	1	0	0	0	1	1	0	0
5	손아섭	롯데	0.306	121	487	422	85	129	23	0	11	185	47	9	5
6	강민호	롯데	0.305	117	465	410	66	125	19	1	23	215	72	0	5
7	정보명	롯데	0.289	30	86	76	6	22	5	1	0	29	9	1	1
8	전준우	롯데	0.289	114	394	350	56	101	14	2	19	176	57	5	5
9	김주찬	롯데	0.276	118	535	485	89	134	18	4	9	187	40	11	3
10	박종윤	롯데	0.257	110	322	307	32	79	17	2	8	124	51	1	2
11	가르시아	롯데	0.252	118	485	429	73	108	16	1	26	204	83	0	5
12	이승화	롯데	0.244	92	90	82	13	20	4	1	0	26	9	2	0
13	문규현	롯데	0.237	80	201	173	18	41	8	0	3	58	16	6	3
14	황재균	롯데	0.225	94	353	306	41	69	14	3	6	107	40	6	4
15	박기혁	롯데	0.216	48	166	153	10	33	3	0	0	36	13	5	1
16	장성우	롯데	0.180	61	108	100	5	18	4	0	1	25	7	2	0
17	정훈	롯데	0.156	29	50	45	6	7	1	0	1	11	2	2	0
18	박준서	롯데	0.122	22	56	49	4	6	2	0	0	8	1	3	0
19	양종민	롯데	0.111	7	10	9	0	1	1	0	0	2	3	0	0
20	황성용	롯데	0.097	44	33	31	6	3	1	0	0	4	0	0	0
21	강영식	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
21	김사율	롯데	-	2	0	0	0	0	0	0	0	0	0	0	0
21	박정준	롯데	0.000	2	1	1	0	0	0	0	0	0	0	0	0
21	배장호	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
21	이인구	롯데	0.000	5	2	2	1	0	0	0	0	0	0	0	0
21	이정민	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
21	이정훈	롯데	-	4	0	0	0	0	0	0	0	0	0	0	0
21	허준혁	롯데	-	3	0	0	0	0	0	0	0	0	0	0	0
1	채상병	삼성	0.355	17	34	31	5	11	2	0	1	16	5	0	1
2	박석민	삼성	0.303	112	457	356	58	108	18	0	15	171	64	5	5
3	박한이	삼성	0.301	128	470	379	64	114	21	2	11	172	63	10	5
4	조동찬	삼성	0.292	95	377	332	61	97	20	2	9	148	51	9	1
5	채태인	삼성	0.292	102	396	356	48	104	13	0	14	159	54	2	3
6	배영섭	삼성	0.292	11	26	24	5	7	2	0	0	9	3	0	0
7	신명철	삼성	0.280	125	476	397	56	111	22	1	9	162	57	13	6
8	최형우	삼성	0.279	121	506	420	71	117	29	1	24	220	97	2	5
9	조영훈	삼성	0.275	67	159	138	22	38	6	1	6	64	17	3	2
10	이영욱	삼성	0.272	120	479	408	68	111	19	2	4	146	42	9	4
11	오정복	삼성	0.271	100	263	221	39	60	10	1	7	93	36	9	4
12	강명구	삼성	0.270	55	70	63	17	17	5	0	0	22	9	4	0
13	진갑용	삼성	0.263	100	320	259	36	68	8	0	10	106	28	13	1
14	이정식	삼성	0.258	50	104	93	12	24	3	0	1	30	7	5	0
15	김상수	삼성	0.245	101	338	282	37	69	7	3	0	82	22	12	1
16	양준혁	삼성	0.239	64	175	142	10	34	6	0	1	43	20	0	2
17	강봉규	삼성	0.237	89	279	232	38	55	12	0	4	79	26	4	1
18	박진만	삼성	0.237	46	161	131	14	31	5	1	1	41	14	3	2
19	손주인	삼성	0.192	27	32	26	2	5	3	0	0	8	3	2	0
19	현재윤	삼성	0.192	53	92	78	4	15	1	0	1	19	7	3	0
21	임익준	삼성	0.175	64	67	63	10	11	0	0	0	11	5	3	1
22	권오준	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
22	권혁	삼성	-	2	0	0	0	0	0	0	0	0	0	0	0
