순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	안태영	넥센	0.353	12	37	34	3	12	2	0	1	17	3	0	0
2	박병호	넥센	0.318	128	556	450	91	143	17	0	37	271	117	0	6
3	문우람	넥센	0.305	69	291	256	41	78	19	0	4	109	28	4	2
4	조중근	넥센	0.300	10	10	10	0	3	0	0	0	3	2	0	0
5	김민우	넥센	0.292	33	55	48	5	14	1	1	0	17	11	0	1
6	강정호	넥센	0.291	126	532	450	67	131	21	1	22	220	96	2	6
7	오윤	넥센	0.291	67	143	117	14	34	5	0	0	39	17	1	2
8	이택근	넥센	0.287	123	536	477	73	137	31	1	9	197	66	6	7
9	김민성	넥센	0.282	128	523	458	60	129	24	2	15	202	72	3	4
10	송지만	넥센	0.275	34	56	51	6	14	1	0	2	21	8	0	0
11	유한준	넥센	0.272	97	344	298	37	81	13	0	7	115	40	3	2
12	김지수	넥센	0.271	37	60	48	9	13	2	0	0	15	3	4	1
13	서건창	넥센	0.266	86	372	316	53	84	13	2	0	101	18	8	4
14	서동욱	넥센	0.261	104	265	218	27	57	12	1	6	89	21	12	2
15	장기영	넥센	0.242	115	407	360	54	87	16	2	2	113	30	9	3
16	이성열	넥센	0.236	92	329	284	42	67	12	0	18	133	48	3	2
17	허도환	넥센	0.215	116	323	260	29	56	12	1	1	73	19	20	0
18	유재신	넥센	0.200	75	23	20	22	4	0	0	0	4	2	0	0
19	박동원	넥센	0.194	69	106	98	5	19	6	0	1	28	6	0	0
20	신현철	넥센	0.111	6	11	9	2	1	0	0	0	1	0	0	0
20	정수성	넥센	0.111	37	20	18	8	2	1	0	0	3	0	1	0
22	박헌도	넥센	0.083	9	13	12	0	1	1	0	0	2	0	0	0
23	박종윤	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
23	손승락	넥센	-	2	0	0	0	0	0	0	0	0	0	0	0
23	지재옥	넥센	0.000	18	12	10	1	0	0	0	0	0	0	0	0
23	한현희	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
1	김동한	두산	0.350	26	22	20	9	7	2	1	1	14	4	0	0
2	민병헌	두산	0.319	119	449	383	71	122	21	7	9	184	65	12	7
3	김재호	두산	0.315	91	286	248	42	78	10	3	1	97	32	10	2
