
순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	조현근	두산	1.000	4	1	1	1	1	0	1	0	3	2	0	0
2	임재철	두산	0.310	109	401	336	41	104	13	3	3	132	30	22	4
3	김동주	두산	0.302	94	338	268	51	81	13	1	10	126	50	0	1
4	안경현	두산	0.293	105	415	355	54	104	19	0	4	135	62	4	3
5	장원진	두산	0.286	123	478	423	58	121	16	0	3	146	42	2	2
6	강인권	두산	0.286	18	34	28	5	8	1	0	0	9	5	0	0
7	손시헌	두산	0.276	126	480	416	59	115	18	5	4	155	60	6	6
8	문희성	두산	0.273	114	369	322	45	88	15	0	10	133	50	1	4
9	홍성흔	두산	0.272	115	433	394	41	107	17	0	11	157	74	4	3
10	김창희	두산	0.271	84	270	221	26	60	9	0	3	78	35	6	3
11	나주환	두산	0.270	99	200	174	21	47	9	0	1	59	19	10	2
12	최경환	두산	0.262	102	379	332	41	87	17	2	3	117	38	4	5
13	김주호	두산	0.250	5	4	4	0	1	0	0	0	1	0	0	0
14	황윤성	두산	0.244	55	137	119	16	29	4	1	3	44	9	0	0
15	전상렬	두산	0.241	92	355	311	44	75	15	1	1	95	25	10	0
16	용덕한	두산	0.238	59	141	130	13	31	5	0	0	36	10	1	0
17	강봉규	두산	0.235	48	124	102	12	24	3	1	1	32	10	2	0
18	홍원기	두산	0.230	92	162	139	17	32	6	1	3	49	22	4	1
19	김재호	두산	0.222	47	31	27	6	6	1	1	1	12	4	1	0
20	윤승균	두산	0.189	116	99	90	34	17	2	0	1	22	6	4	0
21	이승준	두산	0.182	24	36	33	2	6	0	0	1	9	4	0	1
22	정원석	두산	0.154	15	15	13	2	2	0	0	0	2	1	0	0
23	고영민	두산	0.118	16	18	17	2	2	0	0	0	2	0	0	0
24	금민철	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
24	김명제	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
24	김성배	두산	-	5	0	0	0	0	0	0	0	0	0	0	0
24	김승회	두산	0.000	1	1	1	0	0	0	0	0	0	0	0	0
24	김혜겸	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
24	리오스	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
24	박정배	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
1	이동훈	롯데	0.667	2	3	3	0	2	1	0	0	3	0	0	0
2	정수근	롯데	0.286	109	431	370	63	106	21	2	0	131	29	6	2
3	펠로우	롯데	0.284	109	443	398	56	113	15	1	23	199	69	0	4
4	박연수	롯데	0.281	71	193	171	15	48	9	0	5	72	20	3	0
5	박기혁	롯데	0.278	114	382	335	44	93	13	3	3	121	27	9	1
6	라이온	롯데	0.268	125	534	492	65	132	40	3	11	211	73	2	1
7	이대호	롯데	0.266	126	512	447	53	119	16	2	21	202	80	0	3
8	신명철	롯데	0.256	116	398	344	47	88	16	3	5	125	33	25	1
9	최준석	롯데	0.246	100	309	280	19	69	8	0	8	101	42	1	1
10	강민호	롯데	0.243	104	230	214	20	52	11	2	2	73	18	9	0
11	손인호	롯데	0.241	114	387	345	25	83	16	3	2	111	27	5	1
12	황준영	롯데	0.235	17	21	17	7	4	1	0	1	8	1	0	0
13	권민성	롯데	0.231	10	14	13	0	3	2	0	0	5	3	0	0
14	조인신	롯데	0.222	27	29	27	4	6	2	0	0	8	2	0	1
15	박진환	롯데	0.213	31	64	61	7	13	5	0	1	21	2	0	0
16	박현승	롯데	0.211	24	44	38	3	8	1	0	0	9	1	1	0
17	박정준	롯데	0.205	91	130	117	18	24	4	1	0	30	7	2	2
18	이원석	롯데	0.202	72	200	163	21	33	10	1	1	48	18	13	2
19	박남섭	롯데	0.195	68	94	82	9	16	2	1	0	20	5	8	0
20	최기문	롯데	0.192	94	209	177	15	34	7	1	0	43	10	9	1
21	조효상	롯데	0.179	38	44	39	6	7	2	0	0	9	2	1	0
22	박경진	롯데	0.167	12	12	12	0	2	0	0	0	2	0	0	0
23	김승관	롯데	0.143	14	19	14	1	2	0	0	0	2	0	0	0
24	이계성	롯데	0.091	13	12	11	1	1	0	0	0	1	1	0	0
25	가득염	롯데	-	2	0	0	0	0	0	0	0	0	0	0	0
25	강상수	롯데	-	2	0	0	0	0	0	0	0	0	0	0	0
25	노장진	롯데	-	2	0	0	0	0	0	0	0	0	0	0	0
25	박종윤	롯데	0.000	6	8	7	1	0	0	0	0	0	0	0	0
