순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	박준수	넥센	2.34	42	3	3	0	8	0.500	42 1/3	30	4	16	4	25	11	11	1.09
2	오재영	넥센	2.38	69	1	1	0	9	0.500	45 1/3	39	4	15	2	28	15	12	1.19
3	손승락	넥센	2.56	53	2	3	26	1	0.400	63 1/3	47	2	17	2	64	20	18	1.01
4	마정길	넥센	3.04	58	3	2	0	2	0.600	56 1/3	51	6	28	6	43	23	19	1.40
5	김성태	넥센	3.95	15	2	4	0	0	0.333	66	60	9	22	2	45	35	29	1.24
6	고원준	넥센	4.12	30	5	7	0	0	0.417	131	123	15	61	12	87	64	60	1.40
7	송신영	넥센	4.21	65	5	5	1	14	0.500	77	75	5	40	3	63	38	36	1.49
8	이보근	넥센	4.32	52	1	2	0	4	0.333	75	71	5	45	5	35	38	36	1.55
9	금민철	넥센	4.40	24	6	11	0	0	0.353	120 2/3	118	10	71	15	86	63	59	1.57
10	박성훈	넥센	4.76	32	0	1	0	0	0.000	34	35	2	27	8	25	20	18	1.82
11	김성현	넥센	4.90	24	7	8	0	0	0.467	90	91	10	41	1	60	51	49	1.47
12	이대환	넥센	4.91	9	0	0	0	0	-	11	11	3	3	0	9	6	6	1.27
13	문성현	넥센	4.93	32	1	5	0	0	0.167	69 1/3	63	9	46	1	57	43	38	1.57
14	번사이드	넥센	5.34	29	10	10	0	0	0.500	140	150	16	82	18	98	91	83	1.66
15	이정호	넥센	5.59	4	0	0	0	1	-	9 2/3	9	2	8	1	7	6	6	1.76
16	김상수	넥센	6.20	17	1	2	0	0	0.333	45	52	5	26	2	35	33	31	1.73
17	니코스키	넥센	6.68	9	2	6	0	0	0.250	32 1/3	38	3	17	5	25	24	24	1.70
18	배힘찬	넥센	6.94	14	2	5	0	0	0.286	35	40	7	21	5	11	28	27	1.74
19	이동학	넥센	7.16	8	0	1	0	0	0.000	16 1/3	25	1	8	1	9	17	13	2.02
20	강윤구	넥센	7.20	5	1	1	0	0	0.500	15	15	2	13	1	11	13	12	1.87
21	김정훈	넥센	9.39	5	0	0	0	0	-	7 2/3	10	1	4	1	5	8	8	1.83
22	김수경	넥센	13.50	1	0	1	0	0	0.000	3 1/3	9	1	3	0	4	5	5	3.60
1	조규수	두산	0.00	2	0	0	0	0	-	1 1/3	1	0	0	0	0	0	0	0.75
1	진야곱	두산	-	1	0	0	0	0	-	0	0	0	1	0	0	0	0	-
3	이재우	두산	1.35	2	1	0	0	0	1.000	6 2/3	2	0	0	0	4	1	1	0.30
4	정재훈	두산	1.73	63	8	4	2	23	0.667	78	52	2	28	4	89	16	15	1.03
5	이용찬	두산	3.24	47	2	1	25	0	0.667	41 2/3	34	7	10	1	28	16	15	1.06
6	히메네스	두산	3.32	27	14	5	0	0	0.737	152	139	7	62	9	87	65	56	1.32
7	김창훈	두산	3.52	9	0	0	0	0	-	7 2/3	4	2	3	0	8	3	3	0.91
8	고창성	두산	3.62	73	6	4	0	22	0.600	82	68	7	16	11	67	37	33	1.02
9	김선우	두산	4.02	28	13	6	0	0	0.684	154 2/3	163	12	50	8	128	77	69	1.38
10	지승민	두산	4.05	12	0	0	0	1	-	6 2/3	9	2	7	1	2	3	3	2.40
11	김승회	두산	4.24	25	0	1	0	2	0.000	40 1/3	38	6	10	2	26	20	19	1.19
12	이현승	두산	4.75	46	3	6	2	4	0.333	77 2/3	80	8	25	3	50	45	41	1.35
13	원용묵	두산	4.91	9	0	0	0	0	-	7 1/3	7	0	4	0	4	5	4	1.50
14	왈론드	두산	4.95	29	7	9	0	0	0.438	129	143	13	54	10	100	84	71	1.53
15	성영훈	두산	4.96	15	0	1	0	0	0.000	16 1/3	19	0	4	3	12	10	9	1.41
16	이재학	두산	5.01	16	1	1	0	0	0.500	23 1/3	21	3	13	6	18	14	13	1.46
17	임태훈	두산	5.30	36	9	11	1	1	0.450	130 2/3	134	27	47	12	103	83	77	1.39
18	김성배	두산	5.59	9	2	2	0	0	0.500	19 1/3	21	2	5	2	9	13	12	1.34
19	박정배	두산	6.14	10	1	1	0	0	0.500	14 2/3	17	4	5	2	11	10	10	1.50
20	홍상삼	두산	6.42	30	4	3	0	1	0.571	96 2/3	102	17	49	5	86	74	69	1.56
21	오현택	두산	6.46	12	1	0	0	0	1.000	15 1/3	18	2	6	0	11	12	11	1.57
22	조승수	두산	6.87	23	1	2	0	1	0.333	36 2/3	51	8	9	3	23	31	28	1.64
23	정대현	두산	6.91	14	0	0	0	1	-	14 1/3	16	1	11	1	6	13	11	1.88
24	장민익	두산	10.54	9	0	0	0	0	-	13 2/3	25	2	15	0	6	16	16	2.93
25	유희관	두산	10.80	5	0	0	0	0	-	3 1/3	5	0	1	1	1	4	4	1.80
26	노경은	두산	13.50	6	0	0	0	0	-	9 1/3	17	1	1	1	8	14	14	1.93
27	이원재	두산	27.00	1	0	0	0	0	-	1	4	2	1	0	1	3	3	5.00
1	임경완	롯데	3.30	47	3	4	7	1	0.429	43 2/3	46	4	16	4	19	24	16	1.42
2	김사율	롯데	3.75	52	1	4	5	5	0.200	57 2/3	59	4	25	5	38	28	24	1.46
3	사도스키	롯데	3.87	27	10	8	0	0	0.556	169 2/3	153	17	54	8	120	83	73	1.22
4	김수완	롯데	3.96	13	5	2	0	0	0.714	63 2/3	61	9	16	5	44	32	28	1.21
5	이재곤	롯데	4.14	22	8	3	0	0	0.727	124	126	11	31	10	44	63	57	1.27
6	허준혁	롯데	4.28	57	1	0	1	9	1.000	40	43	5	22	3	30	22	19	1.63
7	송승준	롯데	4.39	27	14	6	0	0	0.700	168	156	20	60	9	113	90	82	1.29
8	장원준	롯데	4.43	26	12	6	0	0	0.667	144 1/3	158	24	48	8	113	77	71	1.43
9	강영식	롯데	4.44	63	3	3	2	7	0.500	52 2/3	50	6	24	1	58	28	26	1.41
10	배장호	롯데	4.55	51	0	1	1	5	0.000	55 1/3	75	3	16	8	23	34	28	1.64
11	김일엽	롯데	4.87	36	2	1	3	3	0.667	44 1/3	46	9	12	3	33	24	24	1.31
12	조정훈	롯데	4.94	11	5	3	0	0	0.625	62	59	7	22	3	50	34	34	1.31
13	허준혁	롯데	6.43	19	0	1	1	0	0.000	21	29	2	7	1	14	16	15	1.71
14	이정민	롯데	6.67	20	1	0	0	1	1.000	29 2/3	42	3	14	1	11	24	22	1.89
15	이명우	롯데	6.75	6	1	3	0	0	0.250	33 1/3	50	4	8	1	18	25	25	1.74
16	이정훈	롯데	6.85	43	3	9	1	5	0.250	46	56	4	19	4	27	39	35	1.63
17	이용훈	롯데	8.27	7	0	2	0	0	0.000	16 1/3	27	3	4	1	8	15	15	1.90
18	김대우	롯데	14.09	3	0	2	0	0	0.000	7 2/3	15	2	3	0	4	12	12	2.35
19	진명호	롯데	19.64	3	0	2	0	0	0.000	7 1/3	14	6	8	0	5	16	16	3.00
20	박시영	롯데	22.50	2	0	0	0	0	-	2	5	2	3	1	3	5	5	4.00
21	하준호	롯데	24.00	5	0	1	0	1	0.000	3	9	2	5	1	2	9	8	4.67
22	나승현	롯데	38.57	2	0	0	0	0	-	2 1/3	12	2	2	1	2	10	10	6.00
1	권혁	삼성	2.09	60	7	1	4	10	0.875	73 1/3	54	6	19	2	73	18	17	1.00
2	차우찬	삼성	2.14	37	10	2	0	2	0.833	126 1/3	106	5	51	5	112	35	30	1.24
3	임진우	삼성	2.65	15	2	1	0	1	0.667	17	11	2	9	2	10	5	5	1.18
4	안지만	삼성	2.74	67	9	3	9	8	0.750	92	74	6	25	7	95	32	28	1.08
5	정현욱	삼성	3.20	61	9	1	12	11	0.900	70 1/3	66	3	26	4	61	31	25	1.31
6	장원삼	삼성	3.46	29	13	5	0	0	0.722	151	139	13	44	5	115	62	58	1.21
7	권오준	삼성	3.58	42	1	0	2	3	1.000	32 2/3	39	1	5	4	32	15	13	1.35
8	김효남	삼성	4.13	22	0	0	0	2	-	24	24	2	13	1	16	15	11	1.54
