
순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김현수	두산	0.357	126	558	470	83	168	34	5	9	239	89	0	2
2	홍성흔	두산	0.331	114	460	423	45	140	19	2	8	187	63	3	5
3	김동주	두산	0.309	109	451	363	55	112	12	2	18	182	104	0	13
4	이종욱	두산	0.301	122	522	458	98	138	14	5	0	162	28	6	2
5	이대수	두산	0.282	90	237	213	22	60	9	3	2	81	23	2	1
6	유재웅	두산	0.276	104	293	261	24	72	10	0	4	94	32	1	4
7	고영민	두산	0.267	126	528	427	84	114	15	3	9	162	70	7	6
8	최주환	두산	0.267	16	16	15	3	4	2	1	0	8	6	0	0
9	안경현	두산	0.257	51	134	113	9	29	5	0	1	37	12	1	2
10	김재호	두산	0.249	112	292	261	48	65	8	5	1	86	21	3	1
11	오재원	두산	0.248	117	311	282	45	70	10	3	0	86	28	3	2
12	최준석	두산	0.225	67	195	169	16	38	5	0	6	61	23	0	2
13	정원석	두산	0.224	90	114	107	23	24	1	1	2	33	15	0	1
14	이성열	두산	0.218	84	254	216	23	47	7	2	1	61	29	1	1
15	채상병	두산	0.215	112	369	339	33	73	13	4	5	109	42	8	1
16	최승환	두산	0.210	63	109	100	7	21	7	0	1	31	13	0	1
17	전상렬	두산	0.197	59	79	71	11	14	0	1	1	19	7	1	0
18	민병헌	두산	0.194	87	101	93	26	18	0	1	0	20	0	1	0
19	김재환	두산	0.143	14	21	21	0	3	0	0	0	3	0	0	0
20	금민철	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	김강률	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	김덕윤	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	김상현	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
20	김진수	두산	0.000	5	3	3	0	0	0	0	0	0	0	0	0
20	레이어	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
20	박민석	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
20	이경환	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	이용찬	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	이원재	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	이재우	두산	0.000	4	1	1	0	0	0	0	0	0	0	0	0
1	김문호	롯데	0.375	3	9	8	0	3	0	1	0	5	1	1	0
2	조성환	롯데	0.327	123	525	462	79	151	27	3	10	214	81	4	11
3	김주찬	롯데	0.313	104	458	412	75	129	16	7	1	162	42	9	5
4	손광민	롯데	0.303	80	250	218	31	66	11	1	3	88	17	2	0
5	이대호	롯데	0.301	122	527	435	73	131	23	0	18	208	94	0	12
6	강민호	롯데	0.292	122	501	435	51	127	25	1	19	211	82	0	10
7	정수근	롯데	0.291	80	362	309	51	90	16	0	0	106	25	2	0
8	박기혁	롯데	0.291	113	404	351	47	102	13	1	1	120	36	8	3
9	이인구	롯데	0.289	42	174	149	23	43	5	0	2	54	14	8	0
10	가르시아	롯데	0.283	125	513	460	68	130	25	2	30	249	111	0	2
11	정보명	롯데	0.277	96	319	285	30	79	18	1	3	108	26	1	2
12	이원석	롯데	0.275	53	134	120	14	33	7	0	0	40	5	6	0
13	최기문	롯데	0.225	29	44	40	2	9	0	1	0	11	3	1	0
14	박현승	롯데	0.218	73	242	206	27	45	5	1	1	55	22	2	3
15	이승화	롯데	0.214	87	172	145	27	31	1	3	1	41	13	13	1
16	박종윤	롯데	0.206	15	35	34	5	7	1	0	2	14	4	0	0
17	김민성	롯데	0.200	20	28	25	6	5	1	0	0	6	1	1	0
18	마해영	롯데	0.153	32	87	72	3	11	0	0	2	17	8	0	1
