순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이용찬	두산	1.23	8	1	0	0	0	1.000	14 2/3	7	1	2	0	12	2	2	0.61
2	이재우	두산	1.55	65	11	3	2	17	0.786	87 1/3	54	2	28	4	68	20	15	0.94
3	박민석	두산	1.63	15	0	1	0	0	0.000	27 2/3	18	1	8	7	24	8	5	0.94
4	금민철	두산	2.28	44	2	0	0	3	1.000	59 1/3	54	1	29	4	49	20	15	1.40
5	김상현	두산	2.40	44	6	2	0	0	0.750	86 1/3	65	5	11	4	82	23	23	0.88
6	고창성	두산	2.45	5	0	0	0	0	-	3 2/3	5	0	3	0	2	1	1	2.18
7	레스	두산	2.84	6	3	2	0	0	0.600	31 2/3	36	2	13	3	21	13	10	1.55
8	정재훈	두산	3.23	42	3	3	18	0	0.500	53	44	2	16	4	39	22	19	1.13
9	임태훈	두산	3.41	57	6	5	6	14	0.545	87	69	6	28	0	83	34	33	1.11
10	김명제	두산	3.81	22	7	3	0	1	0.700	111	100	13	33	6	59	52	47	1.20
11	김선우	두산	4.25	21	6	7	0	0	0.462	101 2/3	126	3	23	1	46	62	48	1.47
12	진야곱	두산	4.45	33	2	0	0	1	1.000	32 1/3	27	1	20	1	19	19	16	1.45
13	랜들	두산	4.48	29	9	9	0	0	0.500	150 2/3	171	15	49	9	101	78	75	1.46
14	원용묵	두산	4.50	1	0	0	0	0	-	2	2	0	1	0	1	1	1	1.50
15	이혜천	두산	4.69	34	7	5	0	0	0.583	109 1/3	110	14	43	13	83	59	57	1.40
16	이승학	두산	4.98	16	6	5	0	1	0.545	59 2/3	75	6	18	3	25	34	33	1.56
17	김덕윤	두산	5.40	2	0	0	0	0	-	1 2/3	3	0	0	0	3	1	1	1.80
18	레이어	두산	5.66	12	0	6	0	0	0.000	35	49	0	10	3	20	23	22	1.69
19	노경은	두산	6.23	3	0	1	0	0	0.000	8 2/3	12	0	5	1	7	8	6	1.96
20	이원재	두산	6.94	18	1	4	0	0	0.200	48	57	2	24	4	23	38	37	1.69
21	서동환	두산	9.00	3	0	0	0	0	-	3	4	1	3	0	1	3	3	2.33
22	이윤학	두산	12.00	4	0	0	0	0	-	3	3	0	2	1	3	4	4	1.67
23	김강률	두산	36.00	1	0	0	0	0	-	1	3	0	1	0	1	4	4	4.00
1	김유신	롯데	0.00	1	0	0	0	0	-	2/3	1	0	1	0	1	0	0	3.00
1	김이슬	롯데	0.00	13	0	0	0	3	-	8	4	0	1	2	5	1	0	0.63
3	코르테스	롯데	2.84	13	2	1	8	0	0.667	12 2/3	14	1	3	0	10	4	4	1.34
4	강영식	롯데	2.88	64	6	2	2	16	0.750	56 1/3	35	6	13	1	41	21	18	0.85
5	손민한	롯데	2.97	26	12	4	0	0	0.750	179	183	12	40	1	80	66	59	1.25
6	조정훈	롯데	3.15	14	5	3	0	1	0.625	80	84	6	18	3	54	35	28	1.28
7	김일엽	롯데	3.21	32	2	1	1	5	0.667	47 2/3	45	6	21	3	18	20	17	1.38
8	배장호	롯데	3.41	31	2	2	0	5	0.500	37	44	0	17	4	18	17	14	1.65
9	장원준	롯데	3.53	26	12	10	0	0	0.545	155 2/3	162	12	54	4	102	75	61	1.39
10	최향남	롯데	3.58	37	2	4	9	3	0.333	50 1/3	36	6	14	1	48	20	20	0.99
11	염종석	롯데	3.65	21	0	1	0	3	0.000	24 2/3	28	1	8	2	16	11	10	1.46
12	김사율	롯데	3.74	19	1	0	0	1	1.000	21 2/3	16	1	11	3	8	9	9	1.25
13	송승준	롯데	3.76	26	12	7	0	0	0.632	153 1/3	154	7	70	6	114	78	64	1.46
14	이용훈	롯데	4.09	21	6	7	0	1	0.462	99	117	2	41	2	60	47	45	1.60
15	임경완	롯데	4.19	38	2	5	7	0	0.286	38 2/3	36	2	17	5	25	19	18	1.37
