순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김종덕	넥센	0.500	3	2	2	0	1	0	0	0	1	0	0	0
2	이정후	넥센	0.355	109	520	459	81	163	34	2	6	219	57	3	8
3	박병호	넥센	0.345	113	488	400	88	138	20	0	43	287	112	0	3
4	서건창	넥센	0.340	37	160	141	28	48	12	0	0	60	15	2	2
5	샌즈	넥센	0.314	25	93	86	17	27	1	1	12	66	37	0	1
6	송성문	넥센	0.313	78	238	211	35	66	19	0	7	106	45	2	1
7	이택근	넥센	0.308	104	356	308	40	95	25	1	4	134	52	3	4
8	김규민	넥센	0.295	104	336	298	47	88	9	2	3	110	40	1	4
9	임병욱	넥센	0.293	134	447	423	76	124	29	3	13	198	60	0	2
10	김하성	넥센	0.288	129	576	511	95	147	27	4	20	242	84	1	5
11	김민성	넥센	0.283	128	465	413	46	117	24	0	10	171	45	1	5
12	고종욱	넥센	0.279	102	351	330	47	92	22	0	6	132	54	1	4
13	김혜성	넥센	0.270	136	473	430	79	116	15	6	5	158	45	3	2
14	초이스	넥센	0.258	96	397	349	55	90	19	0	17	160	61	0	5
15	허정협	넥센	0.250	25	24	24	4	6	2	0	0	8	2	0	0
16	박동원	넥센	0.248	39	128	117	19	29	3	0	6	50	17	2	0
17	김재현	넥센	0.228	116	234	202	22	46	7	0	3	62	18	9	3
18	장영석	넥센	0.224	93	221	196	24	44	15	0	7	80	25	0	0
19	주효상	넥센	0.218	80	126	110	9	24	3	0	1	30	12	4	0
20	김태완	넥센	0.197	29	74	66	5	13	2	0	1	18	5	0	1
21	김지수	넥센	0.147	47	39	34	4	5	0	0	0	5	0	0	0
22	예진원	넥센	0.143	5	7	7	2	1	0	0	0	1	0	0	0
23	박정음	넥센	0.063	16	17	16	1	1	0	0	1	4	1	0	0
24	김성민	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
24	브리검	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
24	조상우	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
24	홍성갑	넥센	0.000	6	8	8	1	0	0	0	0	0	0	0	0
1	장승현	두산	0.385	20	16	13	2	5	0	0	0	5	1	2	0
2	전민재	두산	0.375	12	8	8	2	3	1	0	0	4	3	0	0
3	정수빈	두산	0.367	26	112	98	20	36	2	1	2	46	23	0	2
4	양의지	두산	0.358	133	503	439	84	157	29	1	23	257	77	0	6
5	김재환	두산	0.334	139	602	527	104	176	36	1	44	346	133	0	7
6	국해성	두산	0.333	14	28	24	4	8	3	0	0	11	1	0	0
6	최주환	두산	0.333	138	590	519	87	173	39	6	26	302	108	0	10
8	박건우	두산	0.326	125	529	488	79	159	24	6	12	231	84	1	2
9	허경민	두산	0.324	133	577	516	85	167	30	5	10	237	79	5	8
10	오재원	두산	0.313	132	521	473	78	148	24	1	15	219	81	3	2
11	김재호	두산	0.311	131	467	402	78	125	20	0	16	193	75	3	6
12	정진호	두산	0.301	111	299	269	53	81	12	1	2	101	37	9	1
13	양종민	두산	0.286	21	15	14	5	4	0	1	0	6	1	0	0
14	박세혁	두산	0.282	89	194	170	37	48	12	0	3	69	22	3	1
15	오재일	두산	0.279	123	477	401	69	112	19	2	27	216	80	0	10
16	조수행	두산	0.279	119	198	183	35	51	6	4	1	68	17	5	1
17	이병휘	두산	0.273	28	24	22	5	6	1	0	0	7	2	0	0
18	류지혁	두산	0.268	128	280	228	52	61	7	0	1	71	29	11	2
19	김인태	두산	0.263	46	109	95	16	25	7	0	1	35	10	1	1
20	황경태	두산	0.231	27	13	13	9	3	2	0	0	5	0	0	0
21	김민혁	두산	0.226	22	58	53	7	12	2	0	2	20	10	0	0
22	백민기	두산	0.222	23	34	27	7	6	2	0	1	11	4	0	1
23	신성현	두산	0.167	16	27	24	5	4	0	0	1	7	2	0	1
24	파레디스	두산	0.138	21	71	65	7	9	2	1	1	16	4	0	1
25	반슬라이크	두산	0.128	12	44	39	1	5	1	0	1	9	4	0	1
26	김정후	두산	0.000	2	1	1	0	0	0	0	0	0	0	0	0
26	박성모	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
26	변진수	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
26	유재유	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
26	이영하	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
1	전병우	롯데	0.364	27	77	66	18	24	7	0	3	40	13	0	1
2	허일	롯데	0.357	9	15	14	1	5	0	0	0	5	0	0	0
3	전준우	롯데	0.342	144	614	556	118	190	36	2	33	329	90	1	2
4	이대호	롯데	0.333	144	604	543	81	181	30	0	37	322	125	0	4
5	손아섭	롯데	0.329	141	625	553	109	182	32	5	26	302	93	1	1
6	민병헌	롯데	0.318	118	494	443	74	141	21	0	17	213	66	2	6
7	정훈	롯데	0.305	91	194	174	33	53	10	1	7	86	26	0	3
8	신본기	롯데	0.294	139	479	425	55	125	28	1	11	188	71	5	5
9	채태인	롯데	0.293	130	420	376	44	110	18	0	15	173	75	1	4
10	문규현	롯데	0.275	122	349	316	42	87	19	1	6	126	41	9	6
11	이병규	롯데	0.273	103	257	198	31	54	11	1	10	97	39	0	2
12	번즈	롯데	0.268	133	505	462	80	124	34	5	23	237	64	1	0
13	나경민	롯데	0.263	87	71	57	23	15	2	0	0	17	1	1	0
14	김문호	롯데	0.250	46	115	100	12	25	7	0	2	38	16	2	0
15	안중열	롯데	0.247	60	176	154	19	38	11	0	4	61	18	7	0
16	한동희	롯데	0.232	87	226	211	24	49	13	1	4	76	25	0	1
17	김사훈	롯데	0.230	56	79	74	7	17	3	0	0	20	6	3	0
18	조홍석	롯데	0.226	39	71	62	14	14	1	0	0	15	1	1	0
19	김동한	롯데	0.193	55	96	83	11	16	1	0	2	23	9	2	2
20	오윤석	롯데	0.167	13	13	12	3	2	0	0	0	2	0	0	0
20	황진수	롯데	0.167	18	26	24	6	4	1	0	1	8	1	0	0
22	나원탁	롯데	0.125	20	24	24	0	3	0	0	0	3	1	0	0
23	나종덕	롯데	0.124	106	203	177	15	22	3	0	2	31	11	9	0
24	박헌도	롯데	0.115	15	31	26	1	3	1	0	0	4	0	0	0
25	구승민	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
25	노경은	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
25	손승락	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
25	윤성빈	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
25	장시환	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
25	조정훈	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
1	백상원	삼성	0.500	4	8	6	1	3	0	0	0	3	2	0	0
2	이지영	삼성	0.343	90	203	178	31	61	10	0	2	77	19	6	0
3	송준석	삼성	0.333	4	3	3	1	1	0	0	0	1	0	0	0
4	구자욱	삼성	0.333	116	529	478	100	159	26	5	20	255	84	1	2
5	러프	삼성	0.330	137	597	506	97	167	32	4	33	306	125	0	8
6	이원석	삼성	0.301	128	543	479	74	144	30	1	20	236	93	0	5
7	김헌곤	삼성	0.300	141	586	513	77	154	26	2	11	217	71	5	4
8	박해민	삼성	0.299	144	649	576	114	172	30	10	9	249	68	8	6
9	최영진	삼성	0.294	61	140	126	13	37	7	0	4	56	18	2	2
10	박한이	삼성	0.284	114	392	342	47	97	16	0	10	143	43	6	1
11	최원제	삼성	0.273	8	13	11	1	3	0	0	0	3	0	0	0
12	강민호	삼성	0.269	129	477	427	46	115	14	0	22	195	71	0	7
13	김상수	삼성	0.263	122	499	453	63	119	13	1	10	164	50	8	3
14	강한울	삼성	0.259	83	209	193	20	50	5	2	0	59	8	3	0
15	백승민	삼성	0.258	14	32	31	3	8	2	0	0	10	5	0	0
16	안주형	삼성	0.250	15	8	8	2	2	0	0	0	2	1	0	0
17	배영섭	삼성	0.245	69	168	147	15	36	6	0	0	42	13	2	0
18	김성훈	삼성	0.243	110	212	185	24	45	9	3	0	60	24	3	2
19	손주인	삼성	0.238	98	297	265	26	63	10	0	4	85	28	10	4
20	박찬도	삼성	0.233	54	82	73	13	17	4	1	0	23	5	1	0
21	조동찬	삼성	0.222	28	59	54	5	12	1	0	1	16	2	1	0
22	이성곤	삼성	0.188	9	19	16	1	3	0	0	0	3	0	0	0
23	김민수	삼성	0.167	8	6	6	0	1	0	0	0	1	0	0	0
23	김호재	삼성	0.167	10	7	6	1	1	0	0	0	1	0	1	0
25	정병곤	삼성	0.067	6	16	15	1	1	0	0	0	1	2	0	1
26	권정웅	삼성	0.000	6	8	8	0	0	0	0	0	0	0	0	0
26	김성윤	삼성	0.000	1	2	2	0	0	0	0	0	0	0	0	0
26	김응민	삼성	0.000	1	1	1	0	0	0	0	0	0	0	0	0
26	김재현	삼성	0.000	5	1	1	0	0	0	0	0	0	0	0	0
26	장필준	삼성	-	1	0	0	0	0	0	0	0	0	0	0	
1	김태균	한화	0.315	73	271	254	25	80	11	0	10	121	34	0	0
2	호잉	한화	0.306	142	590	529	85	162	47	2	30	303	110	0	5
3	정근우	한화	0.304	102	425	375	63	114	24	1	11	173	57	1	3
4	송광민	한화	0.297	113	460	434	63	129	24	0	18	207	79	0	4
5	이성열	한화	0.295	131	528	485	76	143	21	1	34	268	102	1	2
6	이용규	한화	0.293	134	575	491	82	144	14	1	1	163	36	8	5
7	강경학	한화	0.278	77	289	245	42	68	11	1	5	96	27	1	1
8	지성준	한화	0.275	99	224	207	22	57	7	0	7	85	29	2	1
9	최재훈	한화	0.262	128	341	298	36	78	17	0	1	98	27	6	2
10	김회성	한화	0.259	58	102	85	15	22	5	0	4	39	17	3	0
11	하주석	한화	0.254	141	517	484	67	123	20	3	9	176	52	1	0
12	양성우	한화	0.254	73	236	209	32	53	9	0	2	68	13	0	1
13	정은원	한화	0.249	98	227	201	33	50	5	3	4	73	20	2	1
14	백창수	한화	0.243	70	169	152	21	37	15	1	3	63	18	0	1
15	이동훈	한화	0.239	28	50	46	6	11	1	0	1	15	2	0	0
16	오선진	한화	0.226	56	148	133	14	30	4	0	1	37	9	3	0
17	김민하	한화	0.216	59	108	97	13	21	4	0	3	34	17	2	1
18	장진혁	한화	0.214	50	48	42	9	9	4	1	0	15	2	0	0
19	최진행	한화	0.213	57	154	136	14	29	3	0	7	53	13	0	0
20	김창혁	한화	0.200	6	10	10	1	2	1	0	0	3	0	0	0
20	박준혁	한화	0.200	4	5	5	0	1	1	0	0	2	0	0	0
22	김태연	한화	0.192	24	30	26	7	5	1	0	0	6	2	1	0
23	정경운	한화	0.067	22	16	15	1	1	0	0	0	1	2	0	1
24	강상원	한화	0.000	6	7	6	0	0	0	0	0	0	0	0	0
24	김인환	한화	0.000	4	6	6	0	0	0	0	0	0	0	0	0
24	송창식	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
24	안영명	한화	-	2	0	0	0	0	0	0	0	0	0	0	0
24	이도윤	한화	0.000	2	1	1	1	0	0	0	0	0	0	0	0
24	이동걸	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
24	장민재	한화	-	1	0	0	0	0	0	0	0	0	0	0	
