순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김민규	두산	0.00	1	0	0	0	0	-	1	1	0	0	0	0	0	0	1.00
1	백승우	두산	0.00	6	0	0	0	0	-	4	3	0	3	1	1	0	0	1.50
1	이승진	두산	0.00	1	0	0	0	0	-	2/3	1	0	1	1	1	4	0	3.00
4	브랜든	두산	1.50	1	0	1	0	0	0.000	6	6	0	1	0	6	2	1	1.17
5	홍건희	두산	1.84	29	0	2	15	0	0.000	29 1/3	28	0	9	0	21	9	6	1.26
6	알칸타라	두산	1.90	15	8	3	0	0	0.727	94 2/3	70	7	17	1	96	26	20	0.92
7	곽빈	두산	2.50	10	6	2	0	0	0.750	54	35	1	27	1	43	18	15	1.15
8	김동주	두산	3.23	10	2	4	0	0	0.333	47 1/3	51	3	13	3	41	18	17	1.35
9	박치국	두산	3.49	33	2	0	2	7	1.000	28 1/3	32	1	11	3	24	11	11	1.52
10	정철원	두산	3.90	30	4	2	0	8	0.667	32 1/3	26	4	15	1	28	17	14	1.27
11	김명신	두산	3.98	26	1	2	0	3	0.333	31 2/3	33	1	11	3	25	16	14	1.39
12	박정수	두산	4.63	14	1	0	0	0	1.000	23 1/3	23	1	9	6	22	15	12	1.37
13	이형범	두산	4.91	18	1	0	0	1	1.000	22	31	1	9	1	11	14	12	1.82
14	이병헌	두산	5.14	24	0	0	0	5	-	14	14	1	14	0	14	10	8	2.00
15	최원준	두산	5.59	11	1	7	0	0	0.125	58	66	5	17	9	42	37	36	1.43
16	장원준	두산	5.60	4	3	1	0	0	0.750	17 2/3	22	0	3	1	11	12	11	1.42
17	최승용	두산	5.85	14	2	6	0	0	0.250	60	75	8	20	3	45	44	39	1.58
18	박신지	두산	6.23	6	0	0	0	0	-	8 2/3	13	1	7	1	4	6	6	2.31
19	고봉재	두산	6.35	10	0	0	0	0	-	11 1/3	12	0	7	1	7	8	8	1.68
20	최지강	두산	6.91	17	1	1	0	2	0.500	14 1/3	11	0	14	1	9	11	11	1.74
21	김정우	두산	7.71	5	0	0	0	0	-	4 2/3	5	1	3	0	5	4	4	1.71
22	딜런	두산	8.00	2	0	1	0	0	0.000	9	10	2	5	0	2	9	8	1.67
23	이영하	두산	9.00	11	0	2	0	4	0.000	9	13	2	7	2	7	9	9	2.22
24	김호준	두산	12.00	3	0	0	0	0	-	3	3	1	4	0	2	4	4	2.33
25	김유성	두산	13.50	4	0	0	0	0	-	4	4	2	11	0	4	6	6	3.75
26	김강률	두산	20.25	4	0	0	0	0	-	2 2/3	6	1	1	0	0	6	6	2.63
27	이원재	두산	27.00	1	0	0	0	0	-	1	3	0	3	0	0	3	3	6.00
1	문경찬	롯데	-	1	0	1	0	0	0.000	0	3	1	0	0	0	3	3	-
1	박영완	롯데	0.00	1	0	0	0	0	-	1	0	0	1	0	1	0	0	1.00
1	이민석	롯데	0.00	1	0	0	0	0	-	1 1/3	0	0	1	0	1	0	0	0.75
1	최준용	롯데	0.00	9	0	0	0	2	-	7	10	0	1	0	2	0	0	1.57
5	박세웅	롯데	2.74	13	4	2	0	0	0.667	75 2/3	67	2	27	2	62	26	23	1.24
6	나균안	롯데	3.14	14	6	2	0	0	0.750	83	80	3	25	3	70	29	29	1.27
7	김원중	롯데	3.41	30	3	1	13	0	0.750	29	27	1	13	3	35	12	11	1.38
8	정성종	롯데	3.52	6	0	0	0	1	-	7 2/3	8	1	2	0	5	3	3	1.30
9	최이준	롯데	4.05	19	1	0	0	1	1.000	20	23	0	12	0	14	9	9	1.75
10	신정락	롯데	4.11	17	2	0	0	0	1.000	15 1/3	16	2	3	3	12	7	7	1.24
11	김진욱	롯데	4.13	30	2	1	0	5	0.667	24	21	1	17	1	26	12	11	1.58
12	구승민	롯데	4.15	33	0	3	3	11	0.000	30 1/3	34	3	21	2	31	17	14	1.81
13	스트레일리	롯데	4.16	14	3	5	0	0	0.375	71 1/3	70	6	31	10	67	37	33	1.42
14	김상수	롯데	4.26	34	3	1	1	8	0.750	25 1/3	25	0	11	2	17	12	12	1.42
15	반즈	롯데	4.35	13	4	4	0	0	0.500	68 1/3	69	4	29	7	57	36	33	1.43
16	김강현	롯데	4.50	1	0	0	0	0	-	2	1	0	1	0	0	1	1	1.00
17	진승현	롯데	4.85	10	1	0	0	0	1.000	13	14	0	3	0	13	8	7	1.31
18	한현희	롯데	5.59	14	4	8	0	0	0.333	58	72	5	29	6	42	39	36	1.74
19	이인복	롯데	6.23	1	0	1	0	0	0.000	4 1/3	8	0	1	1	1	4	3	2.08
