순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	배창현	두산	0.00	1	0	0	0	0	-	1/3	0	0	2	0	0	0	0	6.00
1	이동원	두산	-	1	0	0	0	0	-	0	0	0	2	0	0	2	2	-
3	알칸타라	두산	2.54	31	20	2	0	0	0.909	198 2/3	174	12	30	9	182	58	56	1.03
4	박치국	두산	2.89	63	4	4	0	7	0.500	71 2/3	65	5	34	5	66	34	23	1.38
5	최세창	두산	3.00	3	0	0	0	0	-	3	5	1	0	0	1	2	1	1.67
6	플렉센	두산	3.01	21	8	4	0	0	0.667	116 2/3	97	6	30	2	132	43	39	1.09
7	김명신	두산	3.52	16	0	1	0	0	0.000	15 1/3	20	3	4	3	11	6	6	1.57
8	김강률	두산	3.54	30	2	2	0	0	0.500	28	36	1	20	4	28	22	11	2.00
9	최원준	두산	3.80	42	10	2	0	0	0.833	123	134	15	35	7	94	52	52	1.37
10	함덕주	두산	3.90	36	5	1	10	2	0.833	55 1/3	55	2	21	0	55	25	24	1.37
11	이영하	두산	4.64	42	5	11	6	0	0.313	132	148	9	66	5	85	78	68	1.62
12	윤명준	두산	4.83	42	1	0	2	7	1.000	41	51	4	13	1	20	24	22	1.56
13	김민규	두산	4.89	29	1	2	1	0	0.333	53 1/3	47	3	22	3	54	30	29	1.29
14	채지선	두산	4.91	37	1	0	0	2	1.000	33	34	3	24	5	34	18	18	1.76
15	홍건희	두산	4.98	60	3	4	1	8	0.429	68 2/3	74	8	22	5	60	39	38	1.40
16	유희관	두산	5.02	27	10	11	0	0	0.476	136 1/3	190	14	39	3	56	91	76	1.68
17	권휘	두산	5.27	14	0	1	0	1	0.000	13 2/3	16	1	6	2	10	8	8	1.61
18	이현승	두산	5.31	62	2	1	2	10	0.667	42 1/3	48	2	21	2	42	27	25	1.63
19	박종기	두산	5.54	8	1	2	0	0	0.333	26	30	3	14	0	20	16	16	1.69
20	이승진	두산	5.61	33	2	4	0	5	0.333	51 1/3	55	3	22	2	54	33	32	1.50
21	이형범	두산	7.71	27	1	2	1	1	0.333	25 2/3	30	5	16	2	13	22	22	1.79
22	이주엽	두산	8.10	4	0	0	0	0	-	3 1/3	3	0	7	0	2	3	3	3.00
23	이용찬	두산	8.44	5	1	3	0	0	0.250	26 2/3	41	7	6	0	15	25	25	1.76
24	권혁	두산	9.39	15	2	2	0	2	0.500	7 2/3	11	0	4	0	7	9	8	1.96
25	문대원	두산	9.53	4	0	0	0	0	-	5 2/3	12	2	2	0	0	9	6	2.47
26	이교훈	두산	10.38	5	0	0	0	0	-	4 1/3	6	1	4	0	3	6	5	2.31
27	조제영	두산	10.50	4	0	1	0	0	0.000	6	6	1	7	1	6	7	7	2.17
28	장원준	두산	12.71	2	0	1	0	0	0.000	5 2/3	9	1	6	0	2	8	8	2.65
29	박신지	두산	18.00	2	0	0	0	0	-	3	9	0	1	0	3	6	6	3.33
1	스트레일리	롯데	2.50	31	15	4	0	0	0.789	194 2/3	148	10	51	7	205	61	54	1.02
2	김대우	롯데	3.10	46	0	1	0	0	0.000	49 1/3	48	1	26	2	43	22	17	1.50
3	구승민	롯데	3.58	57	5	2	0	20	0.714	60 1/3	40	8	26	0	58	25	24	1.09
4	오현택	롯데	3.75	48	3	1	0	7	0.750	36	37	5	8	2	17	15	15	1.25
5	김원중	롯데	3.94	58	5	4	25	0	0.556	59 1/3	52	8	23	0	57	29	26	1.26
6	이인복	롯데	3.97	47	1	4	0	2	0.200	45 1/3	57	2	12	1	21	22	20	1.52
7	김건국	롯데	3.98	32	3	2	0	1	0.600	31 2/3	30	2	9	3	31	14	14	1.23
8	이승헌	롯데	4.66	8	3	2	0	0	0.600	36 2/3	34	1	11	2	34	25	19	1.23
9	박세웅	롯데	4.70	28	8	10	0	0	0.444	147 1/3	177	20	47	8	108	85	77	1.52
10	최준용	롯데	4.85	31	0	2	0	8	0.000	29 2/3	31	3	11	2	26	16	16	1.42
11	노경은	롯데	4.87	25	5	10	0	0	0.333	133	139	19	40	3	77	76	72	1.35
12	김유영	롯데	4.91	12	0	0	0	0	-	7 1/3	4	0	7	0	5	4	4	1.50
13	한승혁	롯데	5.14	9	1	0	0	0	1.000	7	8	0	4	0	3	4	4	1.71
14	서준원	롯데	5.18	31	7	6	0	0	0.538	107 2/3	130	16	31	5	60	71	62	1.50
15	샘슨	롯데	5.40	25	9	12	0	0	0.429	130	167	14	36	6	87	87	78	1.56
16	박진형	롯데	5.70	53	1	4	0	17	0.200	42 2/3	56	7	13	4	50	27	27	1.62
17	고효준	롯데	5.74	24	1	0	0	0	1.000	15 2/3	14	3	11	3	11	10	10	1.60
18	송승준	롯데	6.20	22	2	2	0	1	0.500	24 2/3	30	2	14	3	25	17	17	1.78
19	최영환	롯데	6.30	6	0	1	0	0	0.000	10	19	4	3	1	7	11	7	2.20
20	진명호	롯데	7.18	37	0	1	0	2	0.000	31 1/3	29	3	22	2	32	25	25	1.63
21	강동호	롯데	7.36	7	1	0	0	0	1.000	11	13	3	6	0	8	9	9	1.73
22	장원삼	롯데	7.68	13	0	3	0	0	0.000	34	49	6	10	3	15	32	29	1.74
23	박시영	롯데	8.01	36	1	1	0	1	0.500	30 1/3	32	5	23	1	21	27	27	1.81
24	정태승	롯데	21.60	1	0	0	0	0	-	1 2/3	4	1	2	0	1	4	4	3.60
25	박명현	롯데	27.00	2	0	0	0	0	-	2/3	3	0	1	0	0	2	2	6.00
1	홍원표	삼성	0.00	1	0	0	0	0	-	1	1	0	1	1	0	0	0	2.00
2	임현준	삼성	1.78	51	1	1	0	5	0.500	25 1/3	24	2	7	6	18	7	5	1.22
3	오승환	삼성	2.64	45	3	2	18	2	0.600	47 2/3	44	2	15	2	39	14	14	1.24
4	양창섭	삼성	2.70	7	0	0	0	0	-	6 2/3	6	1	3	0	4	2	2	1.35
5	뷰캐넌	삼성	3.45	27	15	7	0	0	0.682	174 2/3	172	16	50	7	121	71	67	1.27
6	이승현	삼성	3.48	65	1	2	0	14	0.333	54 1/3	45	11	25	0	52	22	21	1.29
7	최채흥	삼성	3.58	26	11	6	0	0	0.647	146	131	12	51	7	123	67	58	1.25
8	라이블리	삼성	4.26	21	6	7	0	0	0.462	112	98	11	39	12	95	54	53	1.22
9	노성호	삼성	4.46	45	2	3	0	10	0.400	36 1/3	28	3	29	2	34	23	18	1.57
10	김윤수	삼성	4.66	61	3	5	0	12	0.375	58	66	6	31	1	41	34	30	1.67
11	허윤동	삼성	4.80	11	2	1	0	0	0.667	45	43	4	31	2	18	26	24	1.64
12	최지광	삼성	4.87	51	1	3	0	15	0.250	44 1/3	34	2	31	3	45	24	24	1.47
13	원태인	삼성	4.89	27	6	10	0	0	0.375	140	162	19	56	5	78	84	76	1.56
14	김대우	삼성	5.10	28	3	7	0	1	0.300	77 2/3	95	9	26	6	37	49	44	1.56
15	백정현	삼성	5.19	11	4	4	0	0	0.500	59	67	13	17	1	46	43	34	1.42
16	장필준	삼성	5.75	31	0	3	0	4	0.000	36	46	6	16	0	26	24	23	1.72
17	윤성환	삼성	5.79	5	0	2	0	0	0.000	18 2/3	19	0	11	3	4	14	12	1.61
18	우규민	삼성	6.19	52	3	3	7	11	0.500	48	61	3	9	1	30	34	33	1.46
19	이상민	삼성	6.43	17	0	1	0	1	0.000	14	17	4	11	1	13	10	10	2.00
20	홍정우	삼성	6.60	30	0	0	0	1	-	30	37	5	12	1	29	23	22	1.63
21	이승민	삼성	6.84	7	1	3	0	0	0.250	26 1/3	34	5	19	0	16	21	20	2.01
22	심창민	삼성	7.52	23	2	2	0	3	0.500	20 1/3	18	3	18	2	21	20	17	1.77
23	권오준	삼성	8.44	17	0	2	0	1	0.000	16	22	3	3	0	10	18	15	1.56
23	정인욱	삼성	8.44	5	0	0	0	0	-	5 1/3	5	1	4	1	3	5	5	1.69
25	장지훈	삼성	10.08	29	0	1	0	0	0.000	27 2/3	39	7	21	3	24	37	31	2.17
26	황동재	삼성	54.00	1	0	0	0	0	-	1 1/3	8	1	4	0	3	8	8	9.00
27	이재익	삼성	135.00	4	0	0	0	0	-	2/3	8	2	2	0	1	11	10	15.00
1	차재용	키움	0.00	1	0	0	0	0	-	1	0	0	0	0	0	0	0	0.00
2	김선기	키움	2.05	25	0	0	0	3	-	22	17	1	8	4	11	8	5	1.14
3	요키시	키움	2.14	27	12	7	0	0	0.632	159 2/3	144	6	25	6	115	53	38	1.06
4	조상우	키움	2.15	53	5	3	33	0	0.625	54 1/3	50	3	18	2	64	15	13	1.25
5	안우진	키움	3.00	42	2	3	2	13	0.400	36	20	3	17	0	41	12	12	1.03
6	양현	키움	3.30	58	8	3	2	11	0.727	60	58	4	17	3	33	23	22	1.25
7	브리검	키움	3.62	21	9	5	0	0	0.643	107	98	6	42	5	105	45	43	1.31
8	양기현	키움	3.86	24	0	1	0	1	0.000	23 1/3	24	3	10	1	12	10	10	1.46
9	문성현	키움	4.20	10	1	1	0	0	0.500	15	13	1	11	0	13	7	7	1.60
10	김태훈	키움	4.22	53	7	0	0	10	1.000	64	70	1	22	5	40	34	30	1.44
11	박주성	키움	4.50	3	0	0	0	0	-	2	2	0	3	0	1	1	1	2.50
12	임규빈	키움	4.54	33	2	0	0	2	1.000	37 2/3	46	11	10	2	20	20	19	1.49
13	김재웅	키움	4.68	43	1	4	0	2	0.200	59 2/3	64	7	23	2	51	36	31	1.46
14	이영준	키움	4.73	52	2	3	0	25	0.400	40	41	5	19	2	32	21	21	1.50
15	김상수	키움	4.73	60	3	3	5	11	0.500	51 1/3	52	3	21	3	48	33	27	1.42
