순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	페르난데스	두산	0.344	144	645	572	87	197	34	0	15	276	88	0	6
2	박건우	두산	0.319	127	537	458	83	146	27	5	10	213	64	1	11
3	이흥련	두산	0.310	27	44	42	3	13	2	1	0	17	5	0	0
4	오재일	두산	0.293	130	529	467	76	137	29	1	21	231	102	0	4
5	허경민	두산	0.288	133	540	475	71	137	25	1	4	176	60	3	11
6	김재환	두산	0.283	136	574	495	76	140	20	5	15	215	91	0	11
7	박세혁	두산	0.279	137	505	441	58	123	19	9	4	172	63	10	6
8	최주환	두산	0.277	87	325	285	27	79	13	0	4	104	47	0	11
9	김재호	두산	0.268	130	470	377	51	101	22	0	4	135	48	8	11
10	정수빈	두산	0.265	123	513	441	75	117	19	5	0	146	41	4	5
11	류지혁	두산	0.250	118	316	276	36	69	6	2	0	79	34	6	3
12	김인태	두산	0.233	26	70	60	6	14	2	1	2	24	7	1	1
13	이유찬	두산	0.231	25	13	13	6	3	0	0	0	3	1	0	0
14	정진호	두산	0.208	66	110	96	13	20	0	0	1	23	3	3	0
15	신성현	두산	0.195	35	54	41	9	8	0	0	1	11	6	0	2
16	김경호	두산	0.192	32	27	26	4	5	1	0	0	6	2	1	0
17	정병곤	두산	0.185	20	31	27	6	5	1	0	0	6	4	0	0
18	국해성	두산	0.171	21	41	35	2	6	3	0	0	9	2	0	0
19	장승현	두산	0.171	35	46	41	3	7	2	0	0	9	3	0	1
20	백동훈	두산	0.170	41	52	47	8	8	2	0	0	10	2	0	0
21	오재원	두산	0.164	98	204	177	30	29	8	1	3	48	18	2	0
22	권혁	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
22	김대한	두산	0.000	19	18	15	4	0	0	0	0	0	0	0	0
22	김승회	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
22	김태근	두산	-	9	0	0	2	0	0	0	0	0	0	0	0
22	박유연	두산	0.000	2	1	1	0	0	0	0	0	0	0	0	0
22	배영수	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
22	서예일	두산	0.000	7	3	3	0	0	0	0	0	0	0	0	0
22	송승환	두산	0.000	2	2	2	0	0	0	0	0	0	0	0	0
22	이영하	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
1	민병헌	롯데	0.304	101	420	369	52	112	24	2	9	167	43	1	3
2	전준우	롯데	0.301	141	606	545	85	164	30	1	22	262	83	1	7
3	손아섭	롯데	0.295	134	568	512	78	151	22	1	10	205	63	1	2
4	이대호	롯데	0.285	135	549	485	48	138	23	1	16	211	88	0	7
5	김동한	롯데	0.282	42	85	78	9	22	4	0	0	26	2	1	0
6	정준혁	롯데	0.273	6	11	11	1	3	0	0	0	3	1	0	0
7	신본기	롯데	0.256	121	413	375	43	96	9	0	1	108	26	5	1
8	허일	롯데	0.255	71	162	149	14	38	4	0	1	45	17	0	0
9	고승민	롯데	0.253	30	89	83	7	21	6	2	0	31	6	1	1
10	아수아헤	롯데	0.252	49	194	163	34	41	5	4	2	60	21	3	1
11	채태인	롯데	0.251	59	182	167	11	42	11	0	5	68	29	0	2
12	윌슨	롯데	0.251	68	268	231	21	58	15	0	9	100	37	0	1
13	문규현	롯데	0.250	40	72	64	7	16	2	0	0	18	10	2	3
14	김문호	롯데	0.243	51	109	103	6	25	7	0	0	32	4	1	1
15	강로한	롯데	0.240	104	306	288	38	69	15	6	4	108	25	1	1
16	김민수	롯데	0.235	11	37	34	0	8	3	0	0	11	1	0	0
17	정훈	롯데	0.226	88	222	190	26	43	4	1	2	55	17	3	1
18	오윤석	롯데	0.222	76	228	198	21	44	2	0	1	49	21	4	4
19	배성근	롯데	0.205	36	48	44	4	9	1	0	0	10	2	0	0
20	한동희	롯데	0.203	59	207	187	12	38	9	0	2	53	9	0	2
21	나경민	롯데	0.200	45	49	45	10	9	0	2	0	13	7	0	0
22	안중열	롯데	0.191	73	145	136	10	26	6	1	2	40	4	1	0
23	김준태	롯데	0.159	43	104	88	10	14	3	0	0	17	8	2	0
24	이병규	롯데	0.158	8	22	19	1	3	2	0	0	5	0	0	0
25	정보근	롯데	0.125	15	35	32	3	4	0	0	0	4	1	0	0
26	나종덕	롯데	0.124	104	209	185	12	23	4	0	3	36	13	7	2
27	조홍석	롯데	0.117	42	65	60	8	7	2	1	0	11	5	0	1
28	신용수	롯데	0.100	17	20	20	4	2	0	0	1	5	2	0	0
29	전병우	롯데	0.098	29	55	51	2	5	1	0	0	6	0	1	0
30	고효준	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
1	김헌곤	삼성	0.297	114	467	411	57	122	20	1	5	159	46	5	6
2	러프	삼성	0.292	133	568	472	80	138	35	2	22	243	101	0	9
3	박찬도	삼성	0.281	30	34	32	10	9	1	0	0	10	2	0	0
4	윌리엄슨	삼성	0.273	40	168	154	19	42	7	1	4	63	15	0	1
5	김상수	삼성	0.271	129	543	468	76	127	20	2	5	166	38	6	4
6	구자욱	삼성	0.267	122	526	475	66	127	27	6	15	211	71	0	6
7	이학주	삼성	0.262	118	436	385	43	101	14	3	7	142	36	5	4
8	박한이	삼성	0.257	30	85	74	6	19	3	0	2	28	13	1	1
9	박계범	삼성	0.256	58	204	168	26	43	8	1	4	65	25	6	3
10	이성규	삼성	0.256	16	46	43	3	11	2	0	2	19	7	0	0
11	최영진	삼성	0.251	96	275	251	29	63	15	1	5	95	20	8	0
12	이원석	삼성	0.246	111	455	395	44	97	20	0	19	174	76	2	7
13	공민규	삼성	0.245	28	60	53	4	13	1	0	3	23	6	0	0
14	박해민	삼성	0.239	144	581	506	64	121	16	7	5	166	44	12	3
15	백승민	삼성	0.238	19	45	42	4	10	1	0	0	11	4	0	1
16	송준석	삼성	0.235	26	56	51	6	12	3	0	1	18	4	1	1
17	강민호	삼성	0.234	112	393	346	36	81	20	0	13	140	45	2	3
18	김응민	삼성	0.231	8	13	13	0	3	1	0	0	4	0	0	0
19	김호재	삼성	0.219	28	33	32	1	7	1	0	0	8	0	0	0
20	김동엽	삼성	0.215	60	211	195	15	42	4	1	6	66	25	0	2
21	김민수	삼성	0.205	29	41	39	5	8	1	0	0	9	2	0	1
22	김도환	삼성	0.204	61	106	93	7	19	6	0	2	31	7	4	1
23	손주인	삼성	0.194	20	35	31	2	6	0	0	1	9	4	2	0
24	박승규	삼성	0.190	14	23	21	2	4	0	0	0	4	2	0	0
25	김성훈	삼성	0.182	65	88	77	14	14	1	1	1	20	5	4	0
26	이성곤	삼성	0.179	13	28	28	1	5	3	0	0	8	0	0	0
27	최선호	삼성	0.167	17	8	6	1	1	0	0	0	1	0	0	0
28	권오준	삼성	-	2	0	0	0	0	0	0	0	0	0	0	0
28	김재현	삼성	0.000	6	2	2	1	0	0	0	0	0	0	0	0
28	양우현	삼성	0.000	1	1	1	0	0	0	0	0	0	0	0	0
1	이정후	키움	0.336	140	630	574	91	193	31	10	6	262	68	3	4
2	김하성	키움	0.307	139	625	540	112	166	38	2	19	265	104	1	7
3	샌즈	키움	0.305	139	613	525	100	160	39	1	28	285	113	0	5
4	서건창	키움	0.300	113	486	426	67	128	23	3	2	163	41	3	5
5	박동원	키움	0.297	112	361	317	50	94	15	1	10	141	55	7	1
6	이지영	키움	0.282	106	331	308	40	87	5	1	1	97	39	6	1
7	박병호	키움	0.280	122	532	432	92	121	22	0	33	242	98	0	9
8	김혜성	키움	0.276	122	387	348	57	96	16	7	0	126	32	4	4
9	김웅빈	키움	0.273	4	11	11	1	3	1	0	0	4	3	0	0
10	김지수	키움	0.267	69	32	30	3	8	2	0	0	10	3	0	0
11	김규민	키움	0.248	94	250	222	33	55	8	1	3	74	24	0	2
12	장영석	키움	0.247	119	413	372	41	92	15	0	7	128	62	0	5
13	임병욱	키움	0.243	117	419	379	39	92	17	5	0	119	41	6	0
14	허정협	키움	0.235	37	77	68	3	16	1	0	0	17	8	0	1
15	송성문	키움	0.227	103	335	308	33	70	12	5	3	101	34	4	4
16	주효상	키움	0.207	18	30	29	3	6	2	1	0	10	5	0	0
17	박정음	키움	0.197	60	88	71	13	14	2	1	0	18	7	1	0
18	예진원	키움	0.167	2	8	6	1	1	1	0	0	2	1	0	0
19	임지열	키움	0.133	11	18	15	0	2	1	0	0	3	3	1	0
20	김은성	키움	0.125	5	10	8	1	1	0	0	0	1	0	0	0
21	김주형	키움	0.000	3	1	1	0	0	0	0	0	0	0	0	0
21	윤영삼	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
21	추재현	키움	0.000	1	1	1	0	0	0	0	0	0	0	0	0
1	김태균	한화	0.305	127	500	433	47	132	21	0	6	171	62	0	8
2	이동훈	한화	0.290	14	31	31	3	9	1	0	0	10	4	0	0
3	최재훈	한화	0.290	135	451	373	47	108	18	0	3	135	31	4	4
4	호잉	한화	0.284	124	525	476	74	135	26	2	18	219	73	1	5
5	정근우	한화	0.278	88	305	277	37	77	10	1	3	98	30	3	1
6	송광민	한화	0.264	122	486	454	50	120	21	0	7	162	51	3	5
7	하주석	한화	0.263	5	20	19	3	5	2	0	0	7	2	1	0
8	정은원	한화	0.262	142	624	564	83	148	27	6	8	211	57	6	6
9	이성열	한화	0.256	129	476	414	60	106	21	1	21	192	85	1	4
10	김민하	한화	0.256	72	140	125	14	32	6	0	2	44	14	2	1
11	장진혁	한화	0.254	113	349	315	42	80	16	5	1	109	24	2	1
12	김태연	한화	0.250	9	6	4	0	1	1	0	0	2	0	0	0
12	지성준	한화	0.250	58	109	104	7	26	6	0	2	38	11	0	0
12	최윤석	한화	0.250	7	15	12	3	3	0	0	0	3	1	0	0
15	강경학	한화	0.239	52	135	113	21	27	4	0	0	31	12	3	1
16	김회성	한화	0.231	58	117	104	7	24	4	0	3	37	18	1	1
16	최진행	한화	0.231	45	129	117	10	27	6	0	6	51	19	0	1
18	백창수	한화	0.227	16	48	44	4	10	3	0	0	13	3	2	0
19	변우혁	한화	0.226	29	61	53	7	12	1	0	1	16	2	0	0
20	오선진	한화	0.224	122	453	392	37	88	16	0	3	113	36	10	3
21	김인환	한화	0.214	18	46	42	1	9	1	0	0	10	2	0	2
22	김종민	한화	0.200	10	21	20	2	4	0	0	1	7	1	1	0
23	노시환	한화	0.186	91	192	177	19	33	8	1	1	46	13	1	1
24	박한결	한화	0.182	9	11	11	0	2	0	0	0	2	0	0	0
25	양성우	한화	0.168	56	129	119	11	20	3	0	1	26	6	1	0
26	유장혁	한화	0.164	38	61	55	10	9	1	0	1	13	4	0	1
27	이창열	한화	0.154	11	16	13	3	2	0	0	0	2	1	1	0
28	장운호	한화	0.100	7	12	10	2	1	0	0	0	1	0	1	0
29	김경태	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
29	김종수	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
1	안치홍	KIA	0.315	105	408	362	45	114	18	1	5	149	49	0	5
2	터커	KIA	0.311	95	399	357	50	111	33	0	9	171	50	0	1
3	황윤호	KIA	0.301	57	130	123	9	37	5	2	1	49	9	1	1
4	최형우	KIA	0.300	136	555	456	65	137	31	1	17	221	86	0	7
5	한준수	KIA	0.300	7	20	20	2	6	2	0	0	8	2	0	0
6	김주찬	KIA	0.300	100	363	337	35	101	16	0	3	126	32	1	3
7	김선빈	KIA	0.292	121	447	394	55	115	22	0	3	146	40	5	4
8	유민상	KIA	0.291	61	202	175	23	51	15	0	5	81	26	0	0
9	이정훈	KIA	0.286	7	15	14	0	4	1	0	0	5	3	0	1
9	최정용	KIA	0.286	8	21	21	4	6	0	0	0	6	1	0	0
11	이창진	KIA	0.270	133	470	400	57	108	25	1	6	153	48	4	5
12	박찬호	KIA	0.260	133	541	504	60	131	15	4	2	160	49	5	2
13	유재신	KIA	0.255	71	59	51	17	13	2	1	0	17	6	1	1
14	류승현	KIA	0.253	57	163	150	14	38	8	1	0	48	14	0	0
15	백용환	KIA	0.234	28	51	47	3	11	2	0	2	19	6	0	0
16	이범호	KIA	0.231	19	31	26	1	6	1	0	1	10	5	0	2
17	고장혁	KIA	0.226	22	32	31	2	7	0	1	0	9	3	0	0
18	한승택	KIA	0.223	105	288	251	22	56	9	1	3	76	27	7	2
19	이우성	KIA	0.219	60	168	151	19	33	4	0	6	55	22	1	2
20	신범수	KIA	0.211	39	65	57	4	12	5	0	2	23	7	0	0
20	홍재호	KIA	0.211	10	20	19	2	4	0	0	0	4	0	0	0
22	황대인	KIA	0.200	12	28	25	0	5	2	0	0	7	0	0	0
23	최원준	KIA	0.198	90	255	232	33	46	11	3	1	66	18	2	1
24	이인행	KIA	0.188	9	20	16	1	3	1	0	0	4	2	1	0
25	나지완	KIA	0.186	56	153	129	12	24	5	0	6	47	17	0	2
26	박준태	KIA	0.171	38	47	41	13	7	3	0	0	10	4	0	2
27	김민식	KIA	0.167	53	116	96	6	16	2	0	0	18	14	0	2
28	문선재	KIA	0.163	29	61	49	7	8	0	0	3	17	6	0	2
29	오선우	KIA	0.151	27	57	53	5	8	1	1	1	14	4	0	0
30	해즐베이커	KIA	0.146	11	46	41	5	6	2	0	2	14	5	0	0
1	강백호	KT	0.336	116	505	438	72	147	29	1	13	217	65	0	4
2	로하스	KT	0.322	142	578	521	68	168	30	3	24	276	104	0	5
3	유한준	KT	0.317	139	562	501	61	159	19	1	14	222	86	0	5
4	송민섭	KT	0.302	105	64	53	24	16	0	1	0	18	4	1	1
5	조용호	KT	0.293	87	211	188	15	55	6	3	0	67	19	2	0
6	황재균	KT	0.283	124	507	448	78	127	16	3	20	209	67	0	5
7	김민혁	KT	0.281	127	521	466	68	131	10	1	0	143	32	5	5
8	심우준	KT	0.279	138	433	391	54	109	13	1	3	133	28	12	1
9	강민국	KT	0.273	58	94	88	12	24	0	1	0	26	7	0	0
10	김진곤	KT	0.267	19	34	30	4	8	2	0	0	10	6	2	0
11	장성우	KT	0.262	127	413	366	25	96	7	0	7	124	41	4	6
12	오태곤	KT	0.250	123	392	352	63	88	16	1	6	124	35	3	2
13	박경수	KT	0.247	137	490	421	43	104	24	0	10	158	65	4	6
14	박승욱	KT	0.233	101	245	223	24	52	3	4	3	72	15	6	0
15	윤석민	KT	0.231	63	178	169	4	39	4	0	2	49	17	0	2
16	배정대	KT	0.203	66	84	74	15	15	4	0	0	19	6	2	0
17	문상철	KT	0.200	33	68	60	8	12	1	0	2	19	7	0	2
18	이준수	KT	0.194	32	49	36	3	7	1	0	0	8	3	3	0
19	안치영	KT	0.167	5	7	6	1	1	0	0	0	1	0	0	0
20	김병희	KT	0.143	4	7	7	0	1	0	0	0	1	0	0	0
20	이대형	KT	0.143	18	19	14	2	2	1	0	0	3	4	0	1
22	안승한	KT	0.136	36	47	44	4	6	1	0	0	7	5	1	0
23	고명성	KT	0.125	30	18	16	4	2	0	0	0	2	0	0	0
23	이해창	KT	0.125	30	43	40	0	5	0	0	0	5	0	0	0
25	김영환	KT	0.071	13	15	14	1	1	0	0	0	1	0	0	0
26	김재윤	KT	0.000	3	1	1	0	0	0	0	0	0	0	0	0
26	박민석	KT	0.000	3	1	1	0	0	0	0	0	0	0	0	0
26	손동현	KT	-	2	0	0	0	0	0	0	0	0	0	0	0
26	엄상백	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
26	이대은	KT	-	4	0	0	0	0	0	0	0	0	0	0	0
1	채은성	LG	0.315	128	514	470	59	148	18	1	12	204	72	0	8
2	이천웅	LG	0.308	138	613	546	88	168	24	3	2	204	48	4	1
3	김현수	LG	0.304	140	595	526	75	160	37	0	11	230	82	0	9
