순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	박지훈	두산	0.333	34	14	12	6	4	1	0	0	5	2	0	0
2	박건우	두산	0.325	126	525	458	82	149	31	2	6	202	63	0	6
3	페르난데스	두산	0.315	141	617	540	73	170	24	0	15	239	81	0	6
4	조수행	두산	0.286	115	104	84	34	24	2	1	1	31	8	1	0
5	최용제	두산	0.279	79	119	104	7	29	3	0	0	32	15	1	1
6	허경민	두산	0.278	136	518	468	61	130	24	1	5	171	59	3	3
7	김재환	두산	0.274	137	566	475	86	130	23	2	27	238	102	0	5
8	양석환	두산	0.273	133	546	488	66	133	22	0	28	239	96	0	7
9	박계범	두산	0.267	118	385	322	44	86	12	1	5	115	46	7	3
10	정수빈	두산	0.259	104	351	313	50	81	19	4	3	117	37	4	2
11	김인태	두산	0.259	133	418	344	51	89	15	1	8	130	46	5	4
12	안재석	두산	0.255	96	224	200	28	51	8	2	2	69	14	0	4
13	전민재	두산	0.250	9	5	4	1	1	0	0	0	1	1	0	1
14	강승호	두산	0.239	113	340	301	47	72	16	2	7	113	37	8	3
15	안권수	두산	0.238	87	47	42	17	10	0	1	0	12	4	2	0
16	장승현	두산	0.232	92	211	177	18	41	10	0	2	57	27	6	1
17	박세혁	두산	0.219	96	270	237	25	52	12	0	0	64	30	3	3
18	권민석	두산	0.214	33	15	14	8	3	2	0	0	5	1	0	0
19	김재호	두산	0.209	89	251	211	23	44	8	0	1	55	24	6	3
20	신성현	두산	0.182	11	15	11	3	2	0	0	0	2	0	0	0
21	오재원	두산	0.167	45	79	72	6	12	3	0	0	15	5	0	1
22	국해성	두산	0.125	4	8	8	0	1	0	0	0	1	0	0	0
23	권휘	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
23	김강률	두산	-	8	0	0	0	0	0	0	0	0	0	0	0
23	김명신	두산	-	4	0	0	0	0	0	0	0	0	0	0	0
23	김민규	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
23	김민혁	두산	0.000	6	8	6	0	0	0	0	0	0	0	0	0
23	남호	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
23	문대원	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
23	박성재	두산	0.000	1	1	1	0	0	0	0	0	0	0	0	0
1	전준우	롯데	0.348	144	619	552	88	192	46	0	7	259	92	1	8
2	손아섭	롯데	0.319	139	610	542	88	173	29	2	3	215	58	3	1
3	손성빈	롯데	0.316	20	22	19	4	6	0	0	0	6	0	0	0
4	안치홍	롯데	0.306	119	490	421	58	129	30	2	10	193	82	5	9
5	정훈	롯데	0.292	135	561	486	70	142	27	1	14	213	79	1	3
6	김재유	롯데	0.287	87	192	174	27	50	8	0	1	61	18	4	0
7	이대호	롯데	0.286	114	465	420	39	120	11	0	19	188	81	0	6
