순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김수경	넥센	2.13	9	0	1	0	0	0.000	12 2/3	19	0	4	1	5	3	3	1.82
2	손승락	넥센	2.15	53	3	2	33	0	0.600	50 1/3	50	2	15	0	47	12	12	1.29
3	나이트	넥센	2.20	30	16	4	0	0	0.800	208 2/3	180	6	53	7	102	60	51	1.12
4	박성훈	넥센	2.45	53	5	4	0	7	0.556	47 2/3	33	1	24	6	34	13	13	1.20
5	박종윤	넥센	3.00	7	0	0	0	0	-	6	4	0	6	1	7	2	2	1.67
6	한현희	넥센	3.12	43	3	4	0	7	0.429	69 1/3	54	4	22	11	54	26	24	1.10
7	밴헤켄	넥센	3.28	28	11	8	0	0	0.579	170	166	16	60	3	132	68	62	1.33
8	김정훈	넥센	3.60	6	0	0	0	0	-	10	10	1	5	1	7	8	4	1.50
9	강윤구	넥센	4.08	27	4	7	0	0	0.364	125 2/3	89	14	74	7	127	58	57	1.30
10	문성현	넥센	4.23	13	1	1	0	3	0.500	38 1/3	38	0	11	0	31	21	18	1.28
11	임창민	넥센	4.50	3	0	0	0	0	-	4	3	0	3	0	2	2	2	1.50
12	이정훈	넥센	4.67	40	4	4	1	8	0.500	44 1/3	45	2	17	5	32	28	23	1.40
13	김영민	넥센	4.69	30	5	9	0	0	0.357	121	143	9	70	3	90	68	63	1.76
14	김상수	넥센	4.73	33	2	1	0	0	0.667	45 2/3	42	4	39	2	36	24	24	1.77
15	장효훈	넥센	5.02	21	0	6	1	1	0.000	61	63	3	42	4	42	35	34	1.72
16	오재영	넥센	5.19	26	1	3	1	4	0.250	26	26	6	13	1	18	15	15	1.50
17	이보근	넥센	5.27	27	3	1	0	0	0.750	41	42	3	18	4	17	26	24	1.46
18	김병현	넥센	5.66	19	3	8	0	3	0.273	62	65	6	34	14	43	44	39	1.60
19	이태양	넥센	6.00	4	0	1	0	1	0.000	3	1	0	4	2	3	2	2	1.67
20	심수창	넥센	7.30	21	0	5	0	0	0.000	40 2/3	58	3	21	2	24	36	33	1.94
1	이재우	두산	0.00	3	0	0	0	0	-	2 2/3	1	0	1	0	2	0	0	0.75
1	이현호	두산	0.00	2	0	0	0	0	-	2	2	0	1	0	1	0	0	1.50
3	변진수	두산	1.71	31	4	0	1	2	1.000	31 2/3	15	0	11	3	18	6	6	0.82
4	프록터	두산	1.79	57	4	4	35	0	0.500	55 1/3	43	0	21	1	46	15	11	1.16
5	홍상삼	두산	1.93	53	5	2	1	22	0.714	65 1/3	35	2	29	2	69	18	14	0.98
6	김창훈	두산	2.08	28	1	1	0	2	0.500	21 2/3	9	0	12	2	15	5	5	0.97
7	노경은	두산	2.53	42	12	6	0	7	0.667	146	106	6	69	8	133	46	41	1.20
8	김강률	두산	2.88	30	0	0	0	0	-	34 1/3	28	1	17	2	27	11	11	1.31
9	이용찬	두산	3.00	26	10	11	0	0	0.476	162	154	5	63	6	113	58	54	1.34
10	김상현	두산	3.18	15	0	0	0	0	-	17	14	1	8	0	15	6	6	1.29
11	니퍼트	두산	3.20	29	11	10	0	0	0.524	194	156	15	68	8	126	70	69	1.15
12	안규영	두산	3.95	10	0	0	0	1	-	13 2/3	15	0	6	0	6	6	6	1.54
13	김승회	두산	4.04	24	6	7	0	0	0.462	120 1/3	109	9	38	4	62	62	54	1.22
14	정재훈	두산	4.50	4	0	1	0	0	0.000	4	3	1	1	0	1	3	2	1.00
15	김선우	두산	4.52	28	6	9	0	0	0.400	163 1/3	182	13	41	8	63	91	82	1.37
16	임태훈	두산	4.65	22	4	4	0	3	0.500	50 1/3	53	5	36	1	33	30	26	1.77
17	정대현	두산	5.20	23	1	2	0	0	0.333	36 1/3	38	4	23	3	23	23	21	1.68
18	이혜천	두산	7.45	48	1	3	0	7	0.250	38 2/3	42	2	21	5	25	33	32	1.63
19	서동환	두산	8.59	10	0	0	1	0	-	14 2/3	17	0	12	1	17	14	14	1.98
20	고창성	두산	8.62	21	3	2	0	3	0.600	15 2/3	22	2	7	3	5	15	15	1.85
21	이원재	두산	12.00	4	0	0	0	0	-	3	4	0	3	0	2	4	4	2.33
22	윤명준	두산	20.25	3	0	0	0	0	-	1 1/3	5	0	3	0	0	3	3	6.00
1	허준혁	롯데	0.00	5	0	0	0	0	-	7 2/3	4	0	2	0	2	0	0	0.78
2	정대현	롯데	0.64	24	2	0	1	5	1.000	28 1/3	12	0	7	1	26	2	2	0.67
3	유먼	롯데	2.55	29	13	7	0	1	0.650	179 2/3	156	10	56	1	142	58	51	1.18
4	이명우	롯데	2.56	74	2	1	0	10	0.667	52 2/3	51	1	17	2	32	16	15	1.29
5	김사율	롯데	2.98	50	2	3	34	1	0.400	45 1/3	45	4	11	2	43	16	15	1.24
6	이용훈	롯데	3.01	25	8	5	1	1	0.615	101 2/3	102	4	25	3	57	44	34	1.25
7	김성배	롯데	3.21	69	3	4	2	14	0.429	53 1/3	46	2	20	4	33	20	19	1.24
8	송승준	롯데	3.31	28	7	11	0	0	0.389	163	158	12	57	8	117	73	60	1.32
9	진명호	롯데	3.45	23	2	1	0	1	0.667	60	48	8	41	3	54	23	23	1.48
10	최대성	롯데	3.59	71	8	8	1	17	0.500	67 2/3	65	5	24	5	50	31	27	1.32
11	이승호	롯데	3.70	41	2	3	0	1	0.400	48 2/3	40	1	35	1	27	23	20	1.54
12	김수완	롯데	3.76	24	2	0	0	0	1.000	40 2/3	37	3	13	1	24	20	17	1.23
13	강영식	롯데	3.89	55	2	0	0	10	1.000	41 2/3	41	2	19	0	49	19	18	1.44
14	고원준	롯데	4.25	19	3	7	0	0	0.300	95 1/3	109	7	43	11	45	52	45	1.59
15	사도스키	롯데	4.32	29	8	8	0	1	0.500	150	154	9	69	6	98	75	72	1.49
16	이정민	롯데	5.18	14	1	3	0	0	0.250	33	44	2	12	1	14	21	19	1.70
17	이상화	롯데	5.40	1	0	1	0	0	0.000	3 1/3	6	0	2	0	1	2	2	2.40
18	박동욱	롯데	5.79	4	0	0	0	0	-	4 2/3	5	1	2	0	3	3	3	1.50
19	이재곤	롯데	9.39	8	0	0	0	0	-	7 2/3	12	1	7	1	4	8	8	2.48
20	김성호	롯데	10.80	3	0	0	0	1	-	1 2/3	2	1	2	1	1	2	2	2.40
21	이경우	롯데	14.73	1	0	0	0	0	-	3 2/3	4	1	4	2	3	6	6	2.18
