순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	강정호	넥센	0.314	124	519	436	77	137	32	0	25	244	82	1	5
2	박병호	넥센	0.290	133	560	469	76	136	34	0	31	263	105	0	7
3	김민성	넥센	0.283	71	254	219	24	62	9	0	4	83	22	8	4
4	이택근	넥센	0.275	94	391	345	54	95	20	1	8	141	55	6	6
5	서건창	넥센	0.266	127	501	433	70	115	21	10	1	159	40	13	3
6	차화준	넥센	0.250	8	4	4	1	1	0	0	0	1	0	0	0
7	장기영	넥센	0.246	116	475	414	64	102	9	5	8	145	35	14	4
8	유한준	넥센	0.240	74	274	246	22	59	11	1	3	81	25	6	1
9	유재신	넥센	0.235	58	96	85	14	20	2	2	0	26	7	4	1
10	오윤	넥센	0.231	94	208	173	16	40	3	1	3	54	20	3	0
11	문우람	넥센	0.231	25	71	65	4	15	4	0	0	19	3	0	1
11	신현철	넥센	0.231	11	26	26	2	6	2	0	0	8	3	0	0
13	김민우	넥센	0.228	69	230	197	20	45	6	2	5	70	25	6	2
14	최경철	넥센	0.223	81	144	130	9	29	3	1	0	34	7	7	0
15	이성열	넥센	0.219	104	298	265	24	58	12	0	7	91	35	1	1
16	정수성	넥센	0.217	87	244	203	37	44	7	3	2	63	9	6	1
17	강귀태	넥센	0.211	12	21	19	2	4	0	0	0	4	1	1	0
18	강병식	넥센	0.200	26	36	30	4	6	2	0	0	8	2	0	0
19	허도환	넥센	0.195	94	237	210	11	41	11	0	1	55	14	5	0
20	박정준	넥센	0.185	18	28	27	3	5	1	1	0	8	0	0	0
21	박헌도	넥센	0.176	23	42	34	3	6	0	0	0	6	1	0	1
22	송지만	넥센	0.175	14	46	40	2	7	0	0	0	7	4	0	1
23	지석훈	넥센	0.173	61	121	104	11	18	4	1	1	27	11	3	0
24	조중근	넥센	0.137	45	112	95	3	13	0	0	1	16	5	4	2
25	지재옥	넥센	0.120	29	66	50	3	6	1	0	1	10	3	4	0
26	김남형	넥센	0.000	6	5	5	0	0	0	0	0	0	0	0	0
26	김병현	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
26	김상수	넥센	-	3	0	0	0	0	0	0	0	0	0	0	0
26	김수경	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
26	김영민	넥센	-	2	0	0	0	0	0	0	0	0	0	0	
1	류지혁	두산	1.000	2	1	1	0	1	0	0	0	1	0	0	0
2	김동한	두산	0.375	10	8	8	3	3	0	0	0	3	0	0	0
