순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	노환수	히어로즈	0.00	1	0	0	0	0	-	1/3	0	0	0	0	0	0	0	0.00
2	황두성	히어로즈	3.51	40	8	3	9	0	0.727	92 1/3	76	10	35	2	79	37	36	1.20
3	전승윤	히어로즈	3.86	8	0	0	0	0	-	9 1/3	12	0	3	0	2	4	4	1.61
4	조용준	히어로즈	4.00	11	0	1	1	0	0.000	9	11	1	5	2	6	4	4	1.78
5	오재영	히어로즈	4.08	52	1	2	0	5	0.333	39 2/3	39	3	17	1	25	18	18	1.41
6	이현승	히어로즈	4.18	30	13	10	0	0	0.565	170	161	25	66	5	120	84	79	1.34
7	이보근	히어로즈	4.26	52	7	7	7	4	0.500	88 2/3	74	9	44	6	58	50	42	1.33
8	배힘찬	히어로즈	4.35	21	1	1	0	2	0.500	31	24	5	9	2	12	17	15	1.06
9	조용훈	히어로즈	4.44	25	1	0	0	1	1.000	24 1/3	24	2	11	4	24	14	12	1.44
10	송신영	히어로즈	5.23	58	3	3	4	6	0.500	75 2/3	84	13	30	11	68	50	44	1.51
11	강윤구	히어로즈	5.51	45	3	2	1	2	0.600	80	64	12	70	0	79	52	49	1.68
12	장원삼	히어로즈	5.54	19	4	8	0	0	0.333	91	108	17	31	6	60	57	56	1.53
13	김영민	히어로즈	5.94	18	1	3	0	0	0.250	47	54	4	28	3	37	36	31	1.74
14	전준호	히어로즈	6.30	23	2	1	1	0	0.667	40	48	8	20	2	24	29	28	1.70
15	신철인	히어로즈	6.42	46	2	4	6	6	0.333	47 2/3	46	5	13	3	50	36	34	1.24
16	김수경	히어로즈	6.67	25	6	11	0	0	0.353	117 1/3	142	29	53	5	66	93	87	1.66
17	이대환	히어로즈	6.75	2	0	0	0	0	-	1 1/3	2	0	2	0	1	1	1	3.00
18	마일영	히어로즈	6.93	27	5	8	0	1	0.385	97 1/3	127	17	48	3	51	76	75	1.80
19	이동학	히어로즈	6.99	18	1	3	0	0	0.250	28 1/3	37	2	20	3	20	23	22	2.01
20	김성현	히어로즈	6.99	27	2	4	0	0	0.333	65 2/3	72	10	43	2	48	53	51	1.75
21	이상열	히어로즈	7.36	26	0	1	0	5	0.000	11	12	4	3	0	6	10	9	1.36
22	이정호	히어로즈	13.50	3	0	0	0	0	-	2 2/3	3	0	5	0	3	4	4	3.00
23	장효훈	히어로즈	14.73	2	0	0	0	0	-	3 2/3	9	0	6	1	1	10	6	4.09
24	임창민	히어로즈	36.00	2	0	0	0	0	-	1	2	0	3	0	0	4	4	5.00
1	고창성	두산	1.95	64	5	2	1	16	0.714	74	59	1	14	11	48	21	16	0.99
2	진야곱	두산	2.03	7	0	1	0	1	0.000	13 1/3	12	0	9	0	8	3	3	1.58
3	지승민	두산	2.88	43	0	0	1	8	-	34 1/3	38	1	16	2	22	11	11	1.57
4	임태훈	두산	3.06	58	11	5	4	13	0.688	88 1/3	67	3	24	3	85	30	30	1.03
5	성영훈	두산	3.38	9	2	0	0	0	1.000	10 2/3	10	0	4	0	7	6	4	1.31
6	니코스키	두산	3.78	19	4	8	0	0	0.333	69	63	3	33	9	47	33	29	1.39
7	이재우	두산	3.88	54	5	2	0	12	0.714	97 1/3	82	14	49	3	100	47	42	1.35
8	유희관	두산	4.05	16	0	0	0	0	-	13 1/3	15	1	7	0	10	7	6	1.65
9	이용찬	두산	4.20	51	0	2	26	0	0.000	40 2/3	33	4	19	4	34	22	19	1.28
10	금민철	두산	4.43	36	7	2	0	0	0.778	83 1/3	74	7	52	9	55	44	41	1.51
11	정재훈	두산	4.44	32	5	5	0	4	0.500	93 1/3	99	6	29	7	80	48	46	1.37
12	오현택	두산	4.45	17	0	0	0	0	-	30 1/3	33	4	13	1	22	15	15	1.52
13	노경은	두산	4.50	9	0	2	0	0	0.000	24	18	4	19	2	11	14	12	1.54
14	김상현	두산	4.72	40	7	6	0	3	0.538	108 2/3	120	9	32	5	81	57	57	1.40
15	김선우	두산	5.11	29	11	10	0	0	0.524	148	176	18	48	6	89	93	84	1.51
16	홍상삼	두산	5.23	30	9	6	0	3	0.600	117	114	21	71	4	96	75	68	1.58
17	세데뇨	두산	5.70	28	4	7	0	1	0.364	71	105	5	48	2	41	50	45	2.15
18	박정배	두산	5.86	19	0	0	1	0	-	27 2/3	35	3	9	1	16	18	18	1.59
19	원용묵	두산	8.10	1	0	0	0	0	-	3 1/3	6	1	2	0	1	3	3	2.40
20	박민석	두산	8.25	5	0	0	0	0	-	12	15	4	7	2	9	11	11	1.83
21	김명제	두산	9.19	16	1	2	0	0	0.333	32 1/3	43	8	14	5	12	36	33	1.76
22	김성배	두산	9.50	10	0	2	0	0	0.000	18	29	3	7	1	7	21	19	2.00
23	조승수	두산	14.73	3	0	0	0	0	-	3 2/3	4	1	3	1	1	6	6	1.91
1	이정동	롯데	2.45	4	0	0	0	1	-	3 2/3	7	0	2	0	2	1	1	2.45
1	임경완	롯데	2.45	43	4	1	1	7	0.800	62 1/3	55	1	18	3	37	23	17	1.17
3	이정훈	롯데	3.03	57	1	3	8	9	0.250	74 1/3	77	5	28	8	50	26	25	1.41
4	이정민	롯데	3.74	31	1	2	1	5	0.333	43 1/3	52	3	13	1	26	19	18	1.50
5	애킨스	롯데	3.83	50	3	5	26	0	0.375	49 1/3	49	4	22	3	29	21	21	1.44
6	이상화	롯데	3.86	3	0	1	0	0	0.000	16 1/3	22	1	3	0	11	8	7	1.53
7	조정훈	롯데	4.05	27	14	9	0	0	0.609	182 1/3	189	23	53	7	175	97	82	1.33
8	장원준	롯데	4.15	28	13	8	0	0	0.619	162 2/3	175	16	82	6	108	83	75	1.58
9	배장호	롯데	4.15	32	2	1	2	2	0.667	56 1/3	62	2	23	4	19	26	26	1.51
10	송승준	롯데	4.72	29	13	8	0	0	0.619	167 2/3	175	25	68	8	104	92	88	1.45
11	강영식	롯데	4.84	54	4	3	2	8	0.571	48 1/3	51	6	28	1	31	28	26	1.63
12	손민한	롯데	5.19	14	6	5	0	0	0.545	69 1/3	87	3	28	4	20	41	40	1.66
13	나승현	롯데	5.28	22	0	4	0	0	0.000	30 2/3	38	2	11	3	23	22	18	1.60
14	이용훈	롯데	6.30	17	5	7	0	0	0.417	80	91	13	46	7	35	60	56	1.71
15	김유신	롯데	7.27	2	0	1	0	0	0.000	8 2/3	13	4	5	0	4	7	7	2.08
16	하준호	롯데	7.30	20	0	1	0	3	0.000	12 1/3	7	1	11	1	7	10	10	1.46
17	김일엽	롯데	7.36	18	0	5	0	0	0.000	51 1/3	66	14	27	6	27	45	42	1.81
18	김사율	롯데	9.45	8	0	0	0	1	-	13 1/3	22	4	1	1	5	15	14	1.73
19	오병일	롯데	9.69	9	0	1	0	0	0.000	13	23	5	5	1	4	16	14	2.15
20	김이슬	롯데	12.60	14	0	0	0	1	-	10	19	4	6	2	4	15	14	2.50
21	허준혁	롯데	13.50	1	0	1	0	0	0.000	5 1/3	8	3	1	1	1	9	8	1.69
