
순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김도현	넥센	0.500	3	10	8	0	4	0	0	0	4	1	0	0
2	조중근	넥센	0.327	36	117	98	14	32	5	2	3	50	16	6	0
3	유한준	넥센	0.289	121	511	447	64	129	23	2	3	165	54	4	4
4	강정호	넥센	0.282	123	504	444	53	125	22	2	9	178	63	3	5
5	송지만	넥센	0.266	106	350	301	43	80	8	1	9	117	43	5	3
6	김일경	넥센	0.255	41	48	47	11	12	0	0	0	12	0	0	0
7	박병호	넥센	0.254	66	230	201	31	51	11	2	13	105	31	0	1
8	이숭용	넥센	0.253	88	172	146	7	37	7	0	0	44	12	6	1
9	고종욱	넥센	0.248	54	111	105	12	26	5	4	1	42	9	0	1
10	김민우	넥센	0.247	126	535	466	66	115	22	0	6	155	31	17	2
11	오윤	넥센	0.246	57	149	130	12	32	7	1	2	47	18	2	0
12	장기영	넥센	0.242	84	297	265	35	64	8	1	3	83	15	14	0
13	알드리지	넥센	0.237	117	480	414	55	98	20	1	20	180	73	0	5
14	김민성	넥센	0.236	124	373	314	37	74	10	1	4	98	23	22	2
15	강귀태	넥센	0.235	33	89	81	4	19	4	1	1	28	10	2	1
16	오재일	넥센	0.230	46	118	100	13	23	5	0	1	31	11	1	1
17	허도환	넥센	0.223	79	191	166	13	37	6	1	0	45	15	9	3
18	지석훈	넥센	0.220	52	125	109	9	24	6	1	2	38	8	2	1
19	박정준	넥센	0.207	50	107	92	6	19	7	0	0	26	5	0	0
20	허준	넥센	0.191	55	102	89	5	17	2	0	1	22	11	4	0
21	이승주	넥센	0.182	3	12	11	0	2	0	0	0	2	0	0	0
22	장영석	넥센	0.179	35	89	78	7	14	2	1	0	18	7	1	1
23	강병식	넥센	0.174	77	189	167	16	29	8	1	2	45	17	4	1
24	이해창	넥센	0.100	14	11	10	0	1	0	0	0	1	1	0	0
25	유선정	넥센	0.077	37	50	39	1	3	0	1	0	5	1	1	0
26	김대우	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
26	김수경	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
26	마정길	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
26	박헌도	넥센	0.000	7	11	10	0	0	0	0	0	0	0	0	0
26	신현철	넥센	0.000	13	12	9	1	0	0	0	0	0	0	0	0
1	임재철	두산	0.321	36	105	84	20	27	8	0	2	41	10	3	1
2	이종욱	두산	0.303	121	499	436	64	132	11	5	5	168	44	5	4
3	김현수	두산	0.301	130	561	475	71	143	25	2	13	211	91	0	9
4	양의지	두산	0.301	119	438	376	43	113	14	3	4	145	46	11	4
5	윤석민	두산	0.287	80	188	167	18	48	8	0	4	68	19	2	0
6	김동주	두산	0.286	120	483	406	57	116	24	1	17	193	75	0	3
7	정수빈	두산	0.285	128	476	414	66	118	17	8	1	154	38	8	3
8	손시헌	두산	0.282	92	351	298	39	84	10	1	4	108	28	7	0
9	오재원	두산	0.277	129	529	466	73	129	18	4	6	173	46	12	3
10	최준석	두산	0.271	124	485	421	49	114	26	0	15	185	75	2	5
11	이성열	두산	0.253	83	246	221	23	56	7	1	7	86	28	0	0
12	이원석	두산	0.216	110	311	264	36	57	11	0	8	92	35	12	3
13	고영민	두산	0.210	93	208	176	31	37	5	1	3	53	16	5	2
14	김재환	두산	0.185	30	56	54	4	10	3	0	2	19	8	0	0
15	김재호	두산	0.183	57	122	109	6	20	5	1	0	27	9	2	2
16	유재웅	두산	0.154	12	16	13	3	2	1	0	0	3	0	0	0
17	용덕한	두산	0.149	60	52	47	3	7	2	0	0	9	2	3	0
18	최승환	두산	0.121	17	37	33	1	4	0	0	1	7	5	1	0
19	정진호	두산	0.114	47	37	35	7	4	1	0	0	5	3	0	0
20	김동길	두산	0.000	6	2	1	0	0	0	0	0	0	0	0	0
20	김상현	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
20	김성배	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
