순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	조상우	넥센	2.47	48	6	2	0	11	0.750	69 1/3	53	2	29	3	73	21	19	1.18
2	한현희	넥센	3.20	66	4	2	2	31	0.667	78 2/3	75	6	31	4	83	30	28	1.35
3	밴헤켄	넥센	3.51	31	20	6	0	0	0.769	187	193	9	53	3	178	81	73	1.32
4	손승락	넥센	4.33	62	3	5	32	0	0.375	62 1/3	69	6	11	2	53	30	30	1.28
5	소사	넥센	4.61	20	10	2	0	0	0.833	125	140	18	45	3	98	66	64	1.48
6	마정길	넥센	4.78	56	3	3	0	7	0.500	64	57	9	30	12	55	37	34	1.36
7	배힘찬	넥센	5.40	6	0	0	0	0	-	6 2/3	11	1	1	0	4	4	4	1.80
8	김대우	넥센	5.50	30	2	2	1	0	0.500	73 2/3	88	9	45	8	66	48	45	1.81
9	나이트	넥센	5.52	6	1	2	0	0	0.333	29 1/3	36	5	22	1	19	22	18	1.98
10	문성현	넥센	5.91	20	9	4	0	1	0.692	85 1/3	96	12	48	5	51	59	56	1.69
11	김동준	넥센	6.00	5	0	0	0	0	-	6	6	1	8	0	2	4	4	2.33
12	금민철	넥센	6.05	11	3	5	0	0	0.375	41 2/3	51	4	30	7	24	35	28	1.94
13	오재영	넥센	6.45	21	5	6	0	0	0.455	74	99	14	33	3	31	59	53	1.78
14	송신영	넥센	6.59	41	2	1	0	2	0.667	42 1/3	57	7	16	4	28	33	31	1.72
15	하영민	넥센	7.22	14	3	5	0	0	0.375	62 1/3	84	9	28	0	43	52	50	1.80
16	강윤구	넥센	7.71	24	1	1	0	1	0.500	42	60	17	32	1	36	43	36	2.19
17	김영민	넥센	8.00	34	5	2	0	2	0.714	45	62	3	29	5	33	43	40	2.02
18	박성훈	넥센	8.04	15	1	0	0	0	1.000	15 2/3	23	5	7	0	12	14	14	1.91
19	이상민	넥센	8.10	6	0	0	0	0	-	3 1/3	4	0	4	0	4	4	3	2.40
20	장시환	넥센	12.15	6	0	0	0	0	-	6 2/3	9	0	3	0	2	9	9	1.80
21	이정훈	넥센	12.27	7	0	0	0	0	-	7 1/3	15	2	5	0	2	10	10	2.73
22	윤영삼	넥센	27.00	1	0	0	0	0	-	4	11	3	6	0	4	12	12	4.25
1	이정호	두산	0.00	1	0	0	0	0	-	1	0	0	0	0	0	0	0	0.00
2	김명성	두산	2.35	8	0	0	0	0	-	7 2/3	4	1	2	0	3	2	2	0.78
3	장민익	두산	3.38	8	0	0	0	1	-	5 1/3	7	0	2	0	1	2	2	1.69
4	오현택	두산	3.65	58	4	3	0	4	0.571	66 2/3	81	6	18	5	56	28	27	1.49
5	니퍼트	두산	3.81	30	14	7	0	1	0.667	179 1/3	186	17	48	6	158	83	76	1.30
6	이용찬	두산	4.24	48	5	5	17	0	0.500	51	56	3	16	3	47	28	24	1.41
7	유희관	두산	4.42	30	12	9	0	0	0.571	177 1/3	202	21	51	8	112	98	87	1.43
8	함덕주	두산	4.44	31	1	0	0	2	1.000	26 1/3	24	2	12	1	23	13	13	1.37
9	마야	두산	4.86	11	2	4	0	0	0.333	63	67	6	24	4	54	36	34	1.44
10	이재우	두산	5.02	11	1	2	0	1	0.333	37 2/3	41	5	22	3	30	21	21	1.67
11	이현승	두산	5.07	65	3	3	0	15	0.500	55	68	2	23	3	39	34	31	1.65
12	변진수	두산	5.08	31	0	0	0	3	-	33 2/3	35	3	10	4	29	21	19	1.34
13	윤명준	두산	5.27	61	7	3	0	16	0.700	71 2/3	78	10	23	1	55	44	42	1.41
14	정재훈	두산	5.37	54	1	5	2	15	0.167	53 2/3	50	6	19	6	56	33	32	1.29
15	볼스테드	두산	6.21	17	5	7	0	0	0.417	87	116	8	37	7	32	70	60	1.76
16	최병욱	두산	6.61	12	0	0	0	0	-	16 1/3	24	4	7	0	9	12	12	1.90
17	정대현	두산	7.90	12	1	1	0	0	0.500	27 1/3	29	2	25	1	21	27	24	1.98
18	김강률	두산	8.10	14	0	1	0	0	0.000	16 2/3	25	5	7	0	13	16	15	1.92
19	홍상삼	두산	8.57	12	0	3	0	1	0.000	21	26	4	20	2	17	21	20	2.19
20	노경은	두산	9.03	29	3	15	0	0	0.167	109 2/3	147	14	69	1	74	117	110	1.97
21	임태훈	두산	9.82	6	0	0	0	1	-	3 2/3	7	0	6	1	4	4	4	3.55
22	유창준	두산	11.25	4	0	0	0	1	-	4	9	0	4	0	1	5	5	3.25
23	허준혁	두산	14.21	8	0	0	0	0	-	6 1/3	17	1	4	2	3	10	10	3.32
24	강동연	두산	27.00	1	0	0	0	0	-	1	5	1	0	0	3	3	3	5.00
25	김수완	두산	33.75	2	0	0	0	0	-	1 1/3	7	0	1	0	0	5	5	6.00
1	구승민	롯데	0.00	1	0	0	0	0	-	2/3	0	0	0	0	1	0	0	0.00
1	심규범	롯데	0.00	1	0	0	0	0	-	1	0	0	0	0	1	0	0	0.00
3	이정민	롯데	2.43	25	1	1	0	8	0.500	33 1/3	42	1	15	0	25	14	9	1.71
4	최대성	롯데	2.58	41	2	2	0	1	0.500	45 1/3	41	1	25	3	43	17	13	1.46
5	김승회	롯데	3.05	54	1	2	20	4	0.333	56	47	4	18	3	40	19	19	1.16
6	정대현	롯데	4.07	60	4	2	2	13	0.667	42	40	2	13	6	27	19	19	1.26
7	옥스프링	롯데	4.20	32	10	8	0	0	0.556	184 1/3	184	20	63	5	130	93	86	1.34
8	장원준	롯데	4.59	27	10	9	0	0	0.526	155	160	15	67	3	107	87	79	1.46
9	홍성민	롯데	4.75	14	2	3	0	0	0.400	36	42	7	12	0	11	23	19	1.50
10	강영식	롯데	4.79	52	2	5	0	14	0.286	47	46	4	24	2	42	25	25	1.49
11	배장호	롯데	4.82	16	2	2	0	0	0.500	28	27	1	15	5	9	16	15	1.50
12	김사율	롯데	5.79	33	2	5	0	2	0.286	79 1/3	95	13	30	3	71	55	51	1.58
13	김유영	롯데	5.87	5	0	0	0	0	-	7 2/3	8	0	7	0	2	5	5	1.96
14	유먼	롯데	5.93	28	12	10	0	0	0.545	151 2/3	196	20	63	3	84	109	100	1.71
15	김성배	롯데	5.98	46	1	0	4	11	1.000	40 2/3	54	7	22	2	32	28	27	1.87
15	송승준	롯데	5.98	24	8	11	0	0	0.421	122	166	16	43	10	89	91	81	1.71
17	이명우	롯데	7.02	64	0	6	0	11	0.000	42 1/3	64	1	23	1	31	37	33	2.06
18	문동욱	롯데	9.00	1	0	0	0	0	-	2	3	0	1	1	0	2	2	2.00
18	허준혁	롯데	9.00	2	0	0	0	0	-	2	3	0	1	1	1	3	2	2.00
20	심수창	롯데	9.15	11	0	0	2	0	-	19 2/3	24	7	8	0	14	20	20	1.63
21	이상화	롯데	9.33	10	1	3	0	0	0.250	27	42	4	15	3	16	28	28	2.11
22	이인복	롯데	15.43	3	0	0	0	0	-	4 2/3	8	2	4	1	2	9	8	2.57
23	강승현	롯데	25.41	3	0	0	0	0	-	5 2/3	18	2	2	0	3	19	16	3.53
1	서동환	삼성	0.00	2	0	0	0	0	-	1	1	0	0	1	1	0	0	1.00
1	이우선	삼성	0.00	1	0	0	0	0	-	1/3	0	0	1	0	0	0	0	3.00
1	임현준	삼성	-	1	0	0	0	0	-	0	2	0	1	0	0	0	0	-
1	조현근	삼성	0.00	6	0	0	0	0	-	5 1/3	2	0	1	0	3	0	0	0.56
5	김현우	삼성	2.32	29	1	0	0	1	1.000	31	25	4	8	1	29	8	8	1.06
6	이수민	삼성	2.45	5	1	0	0	1	1.000	7 1/3	7	0	10	1	7	2	2	2.32
7	권혁	삼성	2.86	38	3	2	0	1	0.600	34 2/3	27	4	11	0	38	13	11	1.10
8	밴덴헐크	삼성	3.18	25	13	4	0	0	0.765	152 2/3	125	15	45	5	180	54	54	1.11
9	안지만	삼성	3.75	55	6	3	1	27	0.667	62 1/3	51	5	30	4	67	27	26	1.30
10	장원삼	삼성	4.11	24	11	5	0	0	0.688	129 1/3	149	16	37	5	63	70	59	1.44
11	윤성환	삼성	4.39	28	12	7	0	0	0.632	170 1/3	196	18	37	8	133	87	83	1.37
12	박근홍	삼성	4.45	42	1	0	0	5	1.000	30 1/3	25	4	28	3	26	16	15	1.75
13	마틴	삼성	4.78	23	9	6	0	0	0.600	128	148	10	31	7	84	69	68	1.40
14	백정현	삼성	5.24	27	0	3	1	1	0.000	46 1/3	51	5	17	3	53	28	27	1.47
15	김건한	삼성	5.45	34	0	1	1	0	0.000	36 1/3	42	2	9	8	23	27	22	1.40
16	배영수	삼성	5.45	25	8	6	0	0	0.571	133 2/3	171	14	39	5	111	87	81	1.57
17	차우찬	삼성	5.60	69	3	4	0	21	0.429	82	86	9	42	2	79	57	51	1.56
18	임창용	삼성	5.84	49	5	4	31	0	0.556	44 2/3	50	4	21	4	52	33	29	1.59
19	심창민	삼성	6.81	52	5	2	0	8	0.714	38 1/3	42	7	26	4	38	33	29	1.77
20	김기태	삼성	7.27	6	0	0	1	0	-	8 2/3	13	2	1	0	8	7	7	1.62
21	권오준	삼성	18.00	1	0	0	0	0	-	1	3	0	0	0	0	2	2	3.00
22	노진용	삼성	27.00	1	0	0	0	0	-	1/3	1	1	0	0	1	1	1	3.00
1	김광수	한화	-	1	0	0	0	0	-	0	3	1	0	0	0	3	3	-
1	윤기호	한화	-	1	0	0	0	0	-	0	3	0	0	0	0	2	2	-
3	유창식	한화	4.14	21	4	4	0	0	0.500	91 1/3	100	2	72	3	53	54	42	1.88
4	이동걸	한화	4.50	8	0	1	0	0	0.000	20	21	4	7	3	16	15	10	1.40
