순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	유한준	넥센	0.362	139	598	520	103	188	42	1	23	301	116	1	8
2	박병호	넥센	0.343	140	622	528	129	181	35	1	53	377	146	0	4
3	허정협	넥센	0.333	4	6	6	1	2	0	0	0	2	0	0	0
3	홍성갑	넥센	0.333	7	10	9	0	3	0	0	0	3	2	0	0
5	이택근	넥센	0.326	105	401	347	61	113	16	1	10	161	44	3	4
6	고종욱	넥센	0.310	119	443	407	81	126	25	4	10	189	51	4	1
7	김민성	넥센	0.303	118	489	445	60	135	24	0	16	207	71	2	3
8	서건창	넥센	0.298	85	368	312	52	93	24	4	3	134	37	11	2
9	윤석민	넥센	0.294	108	418	361	54	106	24	1	14	174	71	5	7
10	김하성	넥센	0.290	140	582	511	89	148	35	5	19	250	73	4	6
11	스나이더	넥센	0.281	113	487	431	88	121	26	1	26	227	71	3	5
12	강지광	넥센	0.278	13	21	18	3	5	0	0	0	5	2	0	0
13	장시윤	넥센	0.276	17	31	29	2	8	0	0	0	8	2	2	0
14	박동원	넥센	0.266	127	443	379	47	101	12	1	14	157	61	10	8
15	김재현	넥센	0.262	59	71	65	7	17	3	0	1	23	6	2	1
16	유재신	넥센	0.259	62	32	27	21	7	2	0	0	9	3	2	0
17	송성문	넥센	0.250	7	12	12	0	3	0	0	0	3	1	0	0
18	박헌도	넥센	0.248	108	267	218	31	54	13	0	8	91	42	3	2
19	유선정	넥센	0.240	17	27	25	1	6	0	0	0	6	2	0	0
20	문우람	넥센	0.235	63	138	119	22	28	10	0	2	44	22	1	3
21	김지수	넥센	0.235	104	151	132	23	31	7	0	0	38	13	7	1
22	서동욱	넥센	0.233	55	118	103	14	24	5	0	3	38	15	1	0
23	임병욱	넥센	0.186	40	52	43	13	8	1	1	1	14	3	0	0
24	장영석	넥센	0.125	6	8	8	0	1	0	0	0	1	0	0	0
25	김민준	넥센	0.000	2	2	1	1	0	0	0	0	0	0	0	0
25	김택형	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
25	마정길	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
25	문성현	넥센	-	2	0	0	0	0	0	0	0	0	0	0	0
25	손승락	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
25	한현희	넥센	-	2	0	0	0	0	0	0	0	0	0	0	0
1	박건우	두산	0.342	70	175	158	31	54	12	0	5	81	26	2	0
2	김응민	두산	0.333	4	3	3	1	1	0	0	1	4	2	0	0
3	고영민	두산	0.328	41	77	67	13	22	1	0	3	32	11	0	1
4	김현수	두산	0.326	141	630	512	103	167	26	0	28	277	121	0	9
5	양의지	두산	0.326	132	513	442	70	144	27	0	20	231	93	2	6
6	허경민	두산	0.317	117	453	404	64	128	20	2	1	155	41	8	3
7	김재호	두산	0.307	133	488	410	63	126	24	3	3	165	50	14	7
8	민병헌	두산	0.303	129	561	491	80	149	20	2	12	209	75	6	6
9	정수빈	두산	0.295	128	570	491	79	145	27	7	2	192	59	19	6
10	오재일	두산	0.289	66	213	180	33	52	11	1	14	107	36	1	2
11	최주환	두산	0.282	100	270	238	34	67	16	2	5	102	32	3	1
12	오재원	두산	0.280	120	474	411	60	115	20	2	11	172	59	7	4
13	유민상	두산	0.263	15	45	38	5	10	1	0	1	14	6	0	1
14	홍성흔	두산	0.262	93	352	301	39	79	12	0	7	112	46	4	0
15	로메로	두산	0.253	76	305	265	30	67	16	0	12	119	50	0	7
16	김재환	두산	0.235	48	180	153	24	36	8	0	7	65	22	1	2
17	정진호	두산	0.234	77	172	154	37	36	5	3	4	59	18	3	0
18	국해성	두산	0.200	11	26	20	6	4	1	0	1	8	5	1	2
18	류지혁	두산	0.200	14	5	5	3	1	0	0	0	1	0	0	0
20	장민석	두산	0.189	53	63	53	15	10	2	0	0	12	4	1	1
21	김진형	두산	0.167	14	21	18	3	3	2	0	1	8	2	0	0
22	최재훈	두산	0.152	71	114	99	6	15	3	0	0	18	7	3	1
23	양종민	두산	0.125	32	18	16	6	2	0	0	1	5	2	0	0
24	루츠	두산	0.111	8	30	27	2	3	0	0	1	6	3	0	1
25	노경은	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
25	니퍼트	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
25	양현	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
25	이원재	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
25	이현승	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
25	진야곱	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
1	손아섭	롯데	0.317	116	517	445	86	141	28	1	13	210	54	0	3
2	아두치	롯데	0.314	132	594	526	105	165	34	5	28	293	106	1	4
3	강민호	롯데	0.311	123	456	380	63	118	18	1	35	243	86	0	2
4	최준석	롯데	0.306	144	618	507	78	155	18	1	31	268	109	1	1
5	김문호	롯데	0.306	93	325	288	35	88	13	0	4	113	31	6	2
6	정훈	롯데	0.300	135	562	486	85	146	27	2	9	204	62	7	3
7	황재균	롯데	0.290	144	596	534	95	155	41	2	26	278	97	4	6
8	오승택	롯데	0.275	122	353	327	57	90	18	1	8	134	43	4	1
9	오윤석	롯데	0.273	29	36	33	7	9	1	0	1	13	3	1	0
10	김주현	롯데	0.260	47	79	73	7	19	4	0	2	29	12	1	0
11	박종윤	롯데	0.255	98	326	314	29	80	11	3	4	109	28	1	1
12	문규현	롯데	0.245	105	298	265	24	65	12	1	2	85	25	15	3
13	김민하	롯데	0.241	54	141	116	18	28	6	0	1	37	8	3	0
14	안중열	롯데	0.240	80	137	125	16	30	10	0	1	43	14	4	1
15	이우민	롯데	0.227	75	174	141	18	32	4	0	4	48	18	17	0
16	손용석	롯데	0.217	38	74	69	4	15	2	0	0	17	2	4	0
17	오현근	롯데	0.214	20	36	28	3	6	2	0	0	8	3	2	0
18	김대우	롯데	0.174	39	100	92	9	16	1	1	3	28	9	2	0
19	김준태	롯데	0.154	27	31	26	0	4	0	0	0	4	0	1	0
19	임재철	롯데	0.154	38	63	52	6	8	2	0	1	13	3	3	0
21	김대륙	롯데	0.148	71	63	54	6	8	0	0	0	8	1	2	0
22	강동수	롯데	0.125	22	8	8	2	1	0	0	0	1	0	0	0
23	김재유	롯데	0.111	18	10	9	3	1	0	0	0	1	1	0	0
24	박세웅	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
24	박준서	롯데	0.000	3	5	5	0	0	0	0	0	0	0	0	0
24	박진형	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
24	배장호	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
24	백민기	롯데	0.000	8	9	7	1	0	0	0	0	0	0	0	0
24	심수창	롯데	-	2	0	0	0	0	0	0	0	0	0	0	0
24	이성민	롯데	-	3	0	0	0	0	0	0	0	0	0	0	0
1	이정식	삼성	0.400	5	5	5	0	2	0	0	0	2	0	0	0
2	배영섭	삼성	0.375	4	18	16	2	6	0	0	0	6	2	0	0
3	구자욱	삼성	0.349	116	465	410	97	143	33	5	11	219	57	0	4
4	채태인	삼성	0.348	104	373	333	35	116	19	0	8	159	49	0	4
5	이승엽	삼성	0.332	122	522	470	87	156	28	1	26	264	90	0	6
6	진갑용	삼성	0.324	39	73	68	8	22	2	0	3	33	10	0	1
7	박석민	삼성	0.321	135	559	448	90	144	25	0	26	247	116	1	8
8	최형우	삼성	0.318	144	637	547	94	174	33	1	33	308	123	0	8
9	이지영	삼성	0.305	124	400	361	36	110	10	1	1	125	55	16	5
10	박한이	삼성	0.300	94	429	367	62	110	17	4	11	168	52	7	1
11	박해민	삼성	0.293	144	608	525	96	154	22	7	0	190	47	23	2
12	나바로	삼성	0.287	140	643	534	126	153	19	1	48	318	137	1	9
13	김상수	삼성	0.278	132	518	449	67	125	30	4	8	187	63	13	7
14	백상원	삼성	0.247	52	94	77	10	19	5	0	0	24	7	2	1
15	이흥련	삼성	0.238	71	108	105	16	25	7	0	1	35	17	1	0
16	이영욱	삼성	0.227	38	26	22	8	5	2	0	0	7	2	0	0
17	박찬도	삼성	0.213	116	106	89	32	19	2	1	0	23	9	5	0
18	우동균	삼성	0.208	37	82	72	12	15	4	0	0	19	6	1	0
19	김재현	삼성	0.171	73	48	41	7	7	0	0	0	7	5	2	0
20	김정혁	삼성	0.167	17	20	18	3	3	0	0	0	3	1	1	0
20	최선호	삼성	0.167	33	44	42	8	7	1	0	0	8	1	2	0
22	강봉규	삼성	0.000	5	8	6	0	0	0	0	0	0	0	0	0
22	김태완	삼성	0.000	4	6	5	0	0	0	0	0	0	0	0	0
22	박계범	삼성	-	3	0	0	0	0	0	0	0	0	0	0	0
22	심창민	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
22	윤영수	삼성	0.000	4	2	2	0	0	0	0	0	0	0	0	0
22	이상훈	삼성	0.000	4	8	7	0	0	0	0	0	0	0	1	0
22	임창용	삼성	-	2	0	0	0	0	0	0	0	0	0	0	0
22	정인욱	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
22	최민구	삼성	-	6	1	0	1	0	0	0	0	0	1	0	1
1	이창열	한화	0.500	5	2	2	0	1	1	0	0	2	1	0	0
2	이용규	한화	0.341	124	585	493	94	168	15	7	4	209	42	11	4
3	김경언	한화	0.337	107	437	377	58	127	21	1	16	198	78	5	3
4	박노민	한화	0.333	23	26	24	1	8	0	0	0	8	4	0	0
5	정근우	한화	0.316	126	552	468	99	148	30	2	12	218	66	13	2
6	김태균	한화	0.316	133	524	408	61	129	28	0	21	220	104	1	5
7	정현석	한화	0.310	43	133	116	20	36	6	0	1	45	12	2	0
8	하주석	한화	0.300	4	11	10	3	3	0	0	0	3	1	0	0
9	최진행	한화	0.291	109	410	333	55	97	17	0	18	168	64	5	3
10	이종환	한화	0.290	44	106	100	14	29	4	0	0	33	12	0	0
11	이시찬	한화	0.281	34	72	64	7	18	1	0	0	19	6	1	2
12	폭스	한화	0.278	38	121	108	16	30	4	0	7	55	25	0	2
13	모건	한화	0.273	10	42	33	2	9	2	0	0	11	5	0	1
14	강경학	한화	0.257	120	376	311	50	80	7	4	2	101	27	17	3
15	장운호	한화	0.254	42	141	114	17	29	4	0	2	39	8	11	0
16	이성열	한화	0.250	101	268	232	35	58	10	2	9	99	36	5	2
16	지성준	한화	0.250	9	12	12	1	3	1	0	0	4	0	0	0
18	송광민	한화	0.243	12	41	37	2	9	2	0	0	11	1	1	0
19	김태완	한화	0.239	22	50	46	5	11	2	0	0	13	3	0	0
20	조인성	한화	0.232	106	310	276	33	64	11	0	11	108	44	11	1
21	한상훈	한화	0.230	35	75	61	7	14	4	0	0	18	8	5	0
22	신성현	한화	0.225	64	117	102	17	23	3	0	4	38	17	2	0
23	권용관	한화	0.220	116	341	296	32	65	8	1	5	90	22	17	1
24	주현상	한화	0.210	103	246	214	18	45	7	0	0	52	12	6	2
25	김회성	한화	0.209	83	268	225	36	47	10	2	16	109	35	3	2
26	송주호	한화	0.200	121	156	140	18	28	6	0	1	37	9	8	0
27	허도환	한화	0.176	61	106	91	8	16	7	0	1	26	6	3	0
28	황선일	한화	0.174	13	25	23	1	4	2	0	0	6	2	0	0
29	고동진	한화	0.169	27	70	59	5	10	4	0	0	14	7	5	0
30	정범모	한화	0.135	51	114	96	3	13	2	0	0	15	10	7	1
1	김주찬	KIA	0.327	98	377	333	66	109	23	2	18	190	62	1	8
2	필	KIA	0.325	143	591	536	81	174	35	1	22	277	101	0	9
3	황대인	KIA	0.273	22	44	44	3	12	2	0	2	20	7	0	0
4	이범호	KIA	0.270	138	514	437	60	118	25	0	28	227	79	0	4
5	김원섭	KIA	0.267	110	341	277	45	74	13	3	5	108	33	6	2
6	신종길	KIA	0.262	99	348	313	56	82	13	4	5	118	28	4	0
7	김민우	KIA	0.260	90	315	269	28	70	16	1	6	106	34	21	3
8	최희섭	KIA	0.256	42	149	125	18	32	3	0	6	53	20	0	1
9	나지완	KIA	0.253	116	368	304	34	77	16	0	7	114	31	0	2
10	김다원	KIA	0.245	108	274	245	31	60	9	0	5	84	30	0	2
11	백용환	KIA	0.234	65	177	154	22	36	6	0	10	72	30	0	3
12	김주형	KIA	0.229	45	88	83	2	19	3	0	2	28	3	0	0
13	최용규	KIA	0.225	69	200	182	23	41	4	3	2	57	18	1	2
14	이성우	KIA	0.222	79	134	117	8	26	8	0	1	37	16	5	3
15	김호령	KIA	0.218	103	283	257	31	56	10	2	1	73	21	6	0
16	이홍구	KIA	0.216	112	246	222	25	48	10	1	12	96	39	5	0
17	오준혁	KIA	0.213	32	86	80	11	17	2	0	2	25	10	1	2
18	강한울	KIA	0.205	90	292	264	30	54	8	3	0	68	12	12	0
19	박기남	KIA	0.203	51	93	69	8	14	3	0	0	17	3	3	0
20	이인행	KIA	0.200	20	33	30	0	6	0	0	0	6	0	1	0
21	박찬호	KIA	0.182	69	150	137	13	25	5	1	0	32	6	4	0
22	차일목	KIA	0.174	11	25	23	0	4	0	0	0	4	2	0	0
23	윤완주	KIA	0.171	28	38	35	4	6	1	0	1	10	2	1	1
23	이은총	KIA	0.171	11	38	35	3	6	1	0	0	7	3	1	0
25	박준태	KIA	0.167	51	88	66	15	11	2	1	0	15	4	3	0
25	최병연	KIA	0.167	19	7	6	2	1	0	0	0	1	0	0	0
27	고영우	KIA	0.154	82	57	52	17	8	2	0	1	13	4	1	0
28	이호신	KIA	0.140	54	62	50	9	7	1	0	0	8	3	3	1
29	노수광	KIA	0.083	10	14	12	2	1	1	0	0	2	1	0	0
30	김광수	KIA	-	2	0	0	0	0	0	0	0	0	0	0	0
1	김선민	KT	0.429	23	38	35	2	15	2	0	0	17	3	0	1
2	마르테	KT	0.348	115	487	425	85	148	32	1	20	242	89	0	8
3	댄블랙	KT	0.333	54	225	198	25	66	10	1	12	114	32	0	0
4	장성호	KT	0.309	49	114	94	11	29	4	0	1	36	16	0	1
5	이대형	KT	0.302	140	616	546	86	165	23	3	0	194	37	10	1
6	박경수	KT	0.284	137	537	440	75	125	30	1	22	223	73	6	4
7	장성우	KT	0.284	133	491	433	55	123	20	1	13	184	77	3	9
8	김상현	KT	0.280	134	539	475	71	133	20	0	27	234	88	0	6
8	박기혁	KT	0.280	126	350	300	27	84	13	1	1	102	30	16	1
10	김민혁	KT	0.276	82	179	156	21	43	2	3	0	51	10	7	0
11	윤요섭	KT	0.264	74	159	148	17	39	4	0	9	70	28	2	2
12	박용근	KT	0.263	27	86	76	7	20	6	0	0	26	4	3	0
13	오정복	KT	0.259	66	278	239	34	62	11	1	5	90	29	2	1
14	하준호	KT	0.258	80	279	248	33	64	10	0	6	92	26	2	1
15	김사연	KT	0.254	72	248	228	31	58	7	1	7	88	27	3	0
16	송민섭	KT	0.250	28	51	44	3	11	3	1	0	16	1	5	0
16	윤도경	KT	0.250	4	4	4	0	1	0	0	0	1	1	0	0
18	모상기	KT	0.231	8	15	13	2	3	0	0	0	3	0	0	0
18	이지찬	KT	0.231	34	42	39	4	9	2	0	0	11	4	1	0
20	김영환	KT	0.229	37	49	48	4	11	0	0	1	14	7	0	0
21	조중근	KT	0.222	25	39	36	4	8	0	0	1	11	2	0	0
22	김종민	KT	0.219	26	35	32	2	7	0	0	0	7	1	0	0
23	김진곤	KT	0.212	67	87	85	11	18	1	0	0	19	6	1	0
24	김태훈	KT	0.209	22	44	43	3	9	1	0	1	13	2	0	1
25	신명철	KT	0.209	89	168	134	12	28	2	2	2	40	18	6	1
26	김동명	KT	0.196	21	66	51	8	10	3	0	0	13	3	1	0
27	심우준	KT	0.169	106	146	142	16	24	7	0	1	34	14	2	0
28	문상철	KT	0.163	51	88	80	10	13	3	0	2	22	6	1	0
29	이창진	KT	0.158	13	20	19	1	3	1	0	0	4	0	0	0
30	배병옥	KT	0.092	66	68	65	8	6	1	0	1	10	2	1	0
1	양원혁	LG	0.500	3	2	2	2	1	0	0	0	1	1	0	0
2	서상우	LG	0.340	58	171	159	29	54	8	0	6	80	22	0	0
3	안익훈	LG	0.339	50	74	62	9	21	2	1	0	25	3	3	0
4	강병의	LG	0.333	8	3	3	0	1	0	0	0	1	0	0	0
5	한나한	LG	0.327	32	126	107	17	35	9	0	4	56	22	1	3
6	박용택	LG	0.326	128	533	487	66	159	28	2	18	245	83	1	7
7	백창수	LG	0.323	25	36	31	4	10	4	0	0	14	0	2	0
8	히메네스	LG	0.312	70	299	279	37	87	17	2	11	141	46	0	4
9	정성훈	LG	0.284	117	440	363	47	103	16	1	9	148	45	6	4
10	임훈	LG	0.278	88	296	252	44	70	12	1	1	87	24	7	2
11	오지환	LG	0.278	138	566	497	76	138	41	4	11	220	56	3	3
12	나성용	LG	0.274	40	79	73	7	20	2	0	3	31	9	0	0
13	유강남	LG	0.272	126	313	279	26	76	11	1	8	113	37	7	1
14	황목치승	LG	0.268	24	74	71	13	19	3	1	0	24	8	0	1
15	이민재	LG	0.267	28	34	30	6	8	1	0	0	9	4	1	1
16	양석환	LG	0.260	125	384	358	36	93	22	1	8	141	48	5	3
17	이진영	LG	0.256	103	350	301	32	77	5	1	9	111	39	2	2
18	김용의	LG	0.251	71	199	171	30	43	5	1	0	50	15	3	0
19	채은성	LG	0.249	90	198	173	25	43	11	2	4	70	20	3	3
20	손주인	LG	0.246	98	279	244	27	60	9	0	0	69	14	12	1
21	이병규	LG	0.243	70	277	230	42	56	9	1	12	103	35	1	0
22	문선재	LG	0.226	103	245	212	27	48	13	1	5	78	27	6	1
23	이병규	LG	0.219	54	102	96	3	21	7	0	1	31	9	0	1
24	장준원	LG	0.208	20	26	24	2	5	0	0	0	5	1	0	1
25	최경철	LG	0.208	109	215	183	23	38	7	1	3	56	19	9	1
26	박지규	LG	0.205	102	189	171	22	35	8	1	0	45	12	4	1
27	박성준	LG	0.200	11	12	10	3	2	0	0	0	2	0	0	0
28	김영관	LG	0.143	20	21	21	2	3	0	0	1	6	2	0	0
29	윤진호	LG	0.083	30	13	12	3	1	0	0	0	1	1	1	0
30	최승준	LG	0.077	8	31	26	0	2	0	0	0	2	1	0	1
1	테임즈	NC	0.381	142	595	472	130	180	42	5	47	373	140	0	7
2	박정준	NC	0.381	19	24	21	2	8	2	0	0	10	2	0	0
3	조평호	NC	0.364	22	22	22	4	8	2	0	1	13	3	0	0
4	나성범	NC	0.326	144	622	564	112	184	34	5	28	312	135	3	8
5	박민우	NC	0.304	141	617	520	111	158	31	6	3	210	47	3	7
6	김종호	NC	0.295	133	486	424	90	125	16	7	4	167	36	10	3
7	이호준	NC	0.294	131	518	449	48	132	25	0	24	229	110	3	2
8	모창민	NC	0.290	103	239	214	23	62	14	0	6	94	35	4	3
9	박광열	NC	0.286	33	22	21	2	6	1	0	0	7	3	0	1
10	조영훈	NC	0.282	103	146	124	20	35	8	0	8	67	35	1	2
11	이종욱	NC	0.268	125	504	440	63	118	25	2	5	162	52	4	3
12	지석훈	NC	0.267	137	466	415	53	111	15	0	11	159	46	9	3
13	김성욱	NC	0.258	125	204	182	32	47	8	1	3	66	26	0	1
14	김태군	NC	0.254	144	474	421	45	107	24	0	6	149	52	11	7
15	최재원	NC	0.247	114	102	85	31	21	8	0	2	35	13	1	0
16	손시헌	NC	0.245	140	508	440	56	108	24	2	13	175	58	13	5
17	용덕한	NC	0.243	91	157	140	12	34	6	0	1	43	13	5	0
18	김준완	NC	0.227	30	54	44	12	10	0	0	0	10	2	0	0
19	강구성	NC	0.200	4	5	5	0	1	1	0	0	2	0	0	0
20	윤병호	NC	0.111	9	9	9	0	1	0	0	0	1	0	0	0
21	노진혁	NC	0.079	65	42	38	4	3	2	0	0	5	2	1	1
22	강민국	NC	0.000	1	2	2	0	0	0	0	0	0	0	0	0
22	강장산	NC	-	2	0	0	0	0	0	0	0	0	0	0	0
22	고창성	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
22	김태진	NC	0.000	1	3	3	0	0	0	0	0	0	0	0	0
22	노성호	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
22	마낙길	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
22	민성기	NC	-	3	0	0	0	0	0	0	0	0	0	0	0
22	손민한	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
22	이민호	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
1	이진석	SK	0.500	6	2	2	1	1	0	0	0	1	0	0	0
2	김기현	SK	0.429	9	9	7	0	3	0	0	0	3	0	0	0
3	이현석	SK	0.333	3	3	3	1	1	0	0	1	4	2	0	0
3	홍명찬	SK	0.333	5	3	3	0	1	0	0	0	1	0	0	0
