
순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
8	권윤민	KIA	0.263	11	20	19	0	5	0	1	0	7	0	0	0
9	김상훈	KIA	0.263	109	362	320	28	84	17	0	3	110	30	13	2
10	홍세완	KIA	0.261	59	230	199	22	52	7	0	7	80	27	5	2
11	이재주	KIA	0.259	90	282	243	19	63	13	0	5	91	36	0	5
12	송산	KIA	0.245	76	174	159	13	39	3	0	4	54	16	3	1
13	김원섭	KIA	0.243	114	360	313	40	76	11	4	3	104	28	6	1
14	김종국	KIA	0.240	93	342	288	47	69	13	0	6	100	28	6	2
15	심재학	KIA	0.235	25	58	51	9	12	4	0	0	16	4	0	0
16	김주형	KIA	0.231	36	120	108	14	25	7	0	6	50	16	2	1
17	조경환	KIA	0.225	64	152	129	8	29	8	0	5	52	18	3	0
18	손지환	KIA	0.217	102	307	267	26	58	9	1	6	87	33	7	6
19	한규식	KIA	0.192	26	58	52	6	10	2	0	1	15	4	2	0
20	김경진	KIA	0.175	28	63	57	8	10	2	0	1	15	6	1	1
21	이종범	KIA	0.174	84	282	253	23	44	6	0	1	53	18	10	4
22	김연훈	KIA	0.148	52	67	61	9	9	0	2	0	13	3	0	2
23	최훈락	KIA	0.133	22	16	15	3	2	0	0	0	2	0	0	0
24	차일목	KIA	0.108	41	50	37	3	4	1	0	0	5	3	2	1
25	이호신	KIA	0.100	21	10	10	1	1	0	0	0	1	0	0	0
26	김건한	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
26	양현종	KIA	-	3	0	0	0	0	0	0	0	0	0	0	0
26	이강서	KIA	0.000	15	19	16	2	0	0	0	0	0	0	0	0
26	이상화	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
26	차정민	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
1	이대형	LG	0.308	125	509	451	68	139	13	1	1	157	31	13	2
2	최동수	LG	0.306	125	493	431	49	132	23	0	12	191	58	3	6
3	김용우	LG	0.300	41	61	50	3	15	1	1	0	18	3	0	0
4	이종열	LG	0.285	121	459	389	46	111	13	2	4	140	53	19	4
5	발데스	LG	0.283	116	512	435	50	123	15	0	13	177	72	0	5
6	조인성	LG	0.282	124	464	419	44	118	24	0	13	181	73	6	5
7	정의윤	LG	0.280	88	208	193	22	54	8	1	3	73	20	2	2
8	박용택	LG	0.278	126	532	479	69	133	24	4	14	207	66	4	5
9	오태근	LG	0.255	68	63	55	9	14	2	0	0	16	1	2	0
10	최승환	LG	0.250	22	23	20	1	5	1	0	0	6	0	2	0
11	이성열	LG	0.248	75	158	141	20	35	6	2	1	48	14	2	1
12	권용관	LG	0.241	121	398	349	41	84	12	3	4	114	36	16	3
13	박경수	LG	0.238	115	295	248	32	59	8	3	3	82	19	8	1
14	김상현	LG	0.235	121	434	378	44	89	27	0	7	137	41	10	3
15	안치용	LG	0.222	12	19	18	2	4	1	0	0	5	1	0	0
16	손인호	LG	0.216	39	102	88	11	19	3	1	1	27	11	2	3
17	황선일	LG	0.181	44	84	72	8	13	3	1	0	18	6	1	1
18	박용근	LG	0.152	67	38	33	9	5	1	0	0	6	0	0	0
19	안재만	LG	0.100	10	10	10	2	1	1	0	0	2	0	0	0
20	마해영	LG	0.071	11	34	28	2	2	0	0	1	5	3	0	2
21	경헌호	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
21	김민기	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
21	김우석	LG	-	2	0	0	0	0	0	0	0	0	0	0	0
21	김재현	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
21	김회권	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
21	류택현	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
21	민경수	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
21	박영복	LG	0.000	1	1	1	0	0	0	0	0	0	0	0	0
21	송현우	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
21	신윤호	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
1	이진영	SK	0.350	80	248	220	40	77	10	3	7	114	42	3	1
2	이재원	SK	0.333	66	119	108	16	36	8	0	3	53	21	0	1
3	정근우	SK	0.323	111	391	341	62	110	24	2	9	165	44	9	0
4	이호준	SK	0.313	101	391	351	56	110	22	1	14	176	71	0	6
5	박재홍	SK	0.280	115	400	347	53	97	19	1	17	169	54	1	7
6	조동화	SK	0.272	121	345	290	48	79	8	3	0	93	18	13	4
7	박재상	SK	0.269	123	368	312	53	84	16	1	10	132	37	8	0
8	최정	SK	0.267	122	462	408	49	109	19	1	16	178	66	9	1
9	박경완	SK	0.247	119	437	352	60	87	21	1	15	155	60	11	9
10	나주환	SK	0.243	117	331	284	30	69	13	2	2	92	27	15	6
11	김강민	SK	0.243	124	374	334	51	81	10	3	4	109	18	5	1
12	정경배	SK	0.225	116	381	333	30	75	16	1	4	105	50	12	2
13	박정권	SK	0.221	100	229	208	26	46	12	2	4	74	25	4	0
14	정상호	SK	0.217	66	90	83	7	18	4	0	2	28	12	0	1
15	김재현	SK	0.196	84	250	204	26	40	11	0	5	66	19	1	1
16	김태균	SK	0.174	23	25	23	0	4	0	0	0	4	3	0	0
17	채종국	SK	0.163	23	47	43	3	7	1	0	0	8	2	1	0
18	김재구	SK	0.136	24	23	22	0	3	1	0	0	4	0	0	0
19	박연수	SK	0.100	8	11	10	0	1	0	0	0	1	1	0	0
20	가득염	SK	-	4	0	0	0	0	0	0	0	0	0	0	0
20	강혁	SK	0.000	10	11	7	1	0	0	0	0	0	0	0	0
20	김경태	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
20	김광현	SK	-	1	1	0	0	0	0	0	0	0	1	0	0
20	김동건	SK	0.000	10	10	10	1	0	0	0	0	0	1	0	0
20	김성현	SK	-	3	0	0	0	0	0	0	0	0	0	0	0
20	김용섭	SK	0.000	1	1	1	0	0	0	0	0	0	0	0	0
20	김원형	SK	-	3	0	0	0	0	0	0	0	0	0	0	0
20	김재현	SK	-	3	0	0	2	0	0	0	0	0	0	0	0
20	김형철	SK	0.000	2	3	3	0	0	0	0	0	0	0	0	0
20	레이번	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
