순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	홍성갑	넥센	0.500	2	2	2	0	1	0	0	0	1	1	0	0
2	서건창	넥센	0.370	128	616	543	135	201	41	17	7	297	67	4	2
3	강정호	넥센	0.356	117	501	418	103	149	36	2	40	309	117	0	2
4	유한준	넥센	0.316	122	469	405	71	128	31	0	20	219	91	8	7
5	이택근	넥센	0.306	122	527	441	87	135	32	1	21	232	91	12	10
6	로티노	넥센	0.306	79	247	216	30	66	18	0	2	90	22	0	1
7	박병호	넥센	0.303	128	571	459	126	139	16	2	52	315	124	0	4
8	김민성	넥센	0.292	116	486	438	60	128	29	2	12	197	77	5	3
9	문우람	넥센	0.284	122	368	324	46	92	24	4	6	142	43	7	2
10	안태영	넥센	0.270	41	80	63	12	17	6	0	1	26	9	0	0
11	윤석민	넥센	0.267	99	307	281	30	75	12	0	10	117	43	4	2
12	이성열	넥센	0.258	96	291	256	46	66	10	0	14	118	39	1	1
13	박동원	넥센	0.253	76	198	174	32	44	7	2	6	73	26	5	1
14	박헌도	넥센	0.245	47	113	94	12	23	2	0	4	37	14	3	3
15	허도환	넥센	0.220	93	220	182	18	40	8	0	2	54	12	9	1
16	김하성	넥센	0.188	60	59	48	17	9	2	1	2	19	7	2	1
17	김지수	넥센	0.174	28	29	23	2	4	0	0	0	4	3	2	0
18	서동욱	넥센	0.147	39	41	34	2	5	1	0	0	6	0	3	0
19	임태준	넥센	0.083	17	14	12	1	1	0	0	0	1	0	0	0
20	강지광	넥센	0.000	1	1	1	0	0	0	0	0	0	0	0	0
20	고종욱	넥센	0.000	8	14	12	2	0	0	0	0	0	0	0	0
20	배힘찬	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
20	손승락	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
20	오윤	넥센	0.000	6	7	6	1	0	0	0	0	0	0	0	0
20	유재신	넥센	0.000	23	2	2	8	0	0	0	0	0	0	0	0
1	민병헌	두산	0.345	124	527	470	85	162	31	3	12	235	79	8	6
2	김현수	두산	0.322	125	528	463	75	149	26	0	17	226	90	0	5
3	오재원	두산	0.318	110	420	359	60	114	21	6	5	162	40	9	0
4	홍성흔	두산	0.315	124	521	447	63	141	19	1	20	222	82	5	1
5	칸투	두산	0.309	111	419	376	56	116	25	1	18	197	72	0	2
6	정수빈	두산	0.306	128	507	431	79	132	18	7	6	182	49	22	2
7	김재환	두산	0.306	52	96	85	12	26	6	0	3	41	13	0	0
8	양의지	두산	0.294	97	338	296	40	87	23	1	10	142	46	5	4
9	고영민	두산	0.287	52	108	94	18	27	2	0	1	32	7	1	2
10	최주환	두산	0.280	82	211	189	38	53	14	0	4	79	31	4	2
11	김재호	두산	0.252	122	421	341	50	86	14	1	3	111	54	13	11
12	이원석	두산	0.251	79	255	231	29	58	8	2	5	85	25	2	2
13	이성곤	두산	0.250	4	8	8	1	2	1	0	0	3	0	0	0
14	허경민	두산	0.247	105	233	198	33	49	8	1	0	59	10	6	2
15	오재일	두산	0.242	75	155	132	10	32	7	0	3	48	18	0	2
16	최재훈	두산	0.241	48	125	112	9	27	3	1	1	35	10	3	2
17	김진형	두산	0.237	28	42	38	5	9	1	0	0	10	5	1	0
18	김응민	두산	0.200	11	12	10	0	2	0	0	0	2	3	0	0
18	오장훈	두산	0.200	1	5	5	0	1	0	0	0	1	0	0	0
18	장민석	두산	0.200	45	75	70	16	14	4	1	0	20	8	1	0
21	박건우	두산	0.180	47	66	61	7	11	4	1	0	17	3	1	0
22	최영진	두산	0.143	4	7	7	1	1	0	0	0	1	1	0	0
23	니퍼트	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
23	양종민	두산	0.000	5	4	4	0	0	0	0	0	0	0	0	0
23	이용찬	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
23	이현승	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
23	최병욱	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
1	이창진	롯데	0.500	4	2	2	1	1	1	0	0	2	0	0	0
2	손아섭	롯데	0.362	122	570	483	105	175	25	3	18	260	80	0	2
3	김사훈	롯데	0.333	4	3	3	0	1	0	0	0	1	1	0	0
4	황재균	롯데	0.321	128	550	486	66	156	33	3	12	231	76	4	4
5	히메네스	롯데	0.315	80	303	260	42	82	15	0	14	139	61	0	1
6	박종윤	롯데	0.309	123	476	440	59	136	31	4	7	196	73	4	6
7	용덕한	롯데	0.305	59	92	82	13	25	5	0	1	33	11	3	3
8	정훈	롯데	0.294	124	558	477	89	140	27	7	3	190	58	6	2
9	전준우	롯데	0.292	113	470	415	69	121	23	2	14	190	66	9	3
10	고도현	롯데	0.286	4	7	7	0	2	0	0	0	2	1	0	0
10	최준석	롯데	0.286	121	460	371	54	106	13	0	23	188	90	0	6
12	문규현	롯데	0.281	77	275	235	33	66	16	0	2	88	27	12	2
13	장성우	롯데	0.274	43	99	84	10	23	4	0	1	30	9	0	2
14	김민하	롯데	0.266	55	98	94	23	25	8	0	2	39	7	1	0
15	손용석	롯데	0.250	3	4	4	1	1	0	0	0	1	0	0	0
16	오승택	롯데	0.244	57	50	45	10	11	3	0	1	17	5	0	0
17	김대우	롯데	0.240	18	26	25	0	6	0	0	0	6	2	0	0
18	하준호	롯데	0.233	31	88	73	18	17	5	0	1	25	11	1	0
19	박준서	롯데	0.232	74	118	99	9	23	9	1	0	34	13	1	3
20	신본기	롯데	0.230	63	130	113	20	26	6	1	4	46	13	6	2
21	강민호	롯데	0.229	98	360	310	37	71	14	2	16	137	40	0	4
22	이승화	롯데	0.225	44	103	80	14	18	0	0	0	18	10	6	1
23	임종혁	롯데	0.222	21	25	18	3	4	0	0	0	4	1	1	0
24	김문호	롯데	0.214	71	222	192	28	41	11	3	2	64	27	6	0
25	황동채	롯데	0.200	12	5	5	0	1	0	0	0	1	0	0	0
26	김주현	롯데	0.167	9	12	12	2	2	1	0	0	3	1	0	0
27	박기혁	롯데	0.157	22	63	51	8	8	2	0	0	10	2	2	0
28	강영식	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
28	김승회	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
28	백민기	롯데	0.000	9	1	1	1	0	0	0	0	0	0	0	0
1	박찬도	삼성	0.500	28	8	8	8	4	0	0	0	4	3	0	0
2	진갑용	삼성	0.412	11	17	17	2	7	0	0	0	7	4	0	0
3	최형우	삼성	0.356	113	493	430	92	153	33	0	31	279	100	0	6
4	김태완	삼성	0.347	65	108	95	14	33	7	0	2	46	15	1	0
5	박한이	삼성	0.331	125	567	472	83	156	22	2	9	209	80	24	5
6	채태인	삼성	0.317	124	541	492	69	156	38	1	14	238	99	0	6
7	박석민	삼성	0.315	110	425	356	77	112	21	0	27	214	72	0	3
8	이승엽	삼성	0.308	127	548	506	83	156	30	0	32	282	101	0	2
9	나바로	삼성	0.308	125	602	500	118	154	27	1	31	276	98	0	5
10	박해민	삼성	0.297	119	373	310	65	92	11	4	1	114	31	19	1
11	김상수	삼성	0.288	128	493	427	74	123	20	8	5	174	63	10	8
12	이지영	삼성	0.278	99	299	266	37	74	10	3	3	99	32	13	4
13	조동찬	삼성	0.270	31	87	74	8	20	4	0	1	27	6	1	1
14	김헌곤	삼성	0.260	76	143	123	17	32	5	3	3	52	20	1	0
15	우동균	삼성	0.231	30	43	39	2	9	1	0	0	10	7	0	0
16	이흥련	삼성	0.227	88	155	132	21	30	4	1	1	39	17	4	0
17	이영욱	삼성	0.208	40	64	53	16	11	3	0	0	14	6	2	0
18	백상원	삼성	0.182	31	26	22	7	4	0	0	0	4	2	0	1
19	정형식	삼성	0.170	52	121	106	9	18	2	0	1	23	6	1	1
20	김재현	삼성	0.143	8	8	7	0	1	0	0	0	1	1	0	0
21	강명구	삼성	0.000	21	4	4	8	0	0	0	0	0	0	0	0
21	권혁	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
21	김건한	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
21	김기태	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
21	김정혁	삼성	0.000	2	5	5	2	0	0	0	0	0	0	0	0
21	김희석	삼성	-	2	0	0	0	0	0	0	0	0	0	0	0
21	문선엽	삼성	0.000	3	2	2	0	0	0	0	0	0	0	0	0
21	박근홍	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
21	백정현	삼성	0.000	1	1	1	0	0	0	0	0	0	0	0	0
21	밴덴헐크	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
1	김태균	한화	0.365	118	508	422	66	154	30	0	18	238	84	0	5
2	피에	한화	0.326	119	498	445	61	145	33	2	17	233	92	0	12
3	송광민	한화	0.316	103	421	389	52	123	22	2	11	182	58	4	2
4	김경언	한화	0.313	89	355	300	43	94	16	3	8	140	52	7	4
5	임익준	한화	0.300	6	10	10	2	3	0	0	0	3	0	0	0
6	정근우	한화	0.295	125	549	464	91	137	28	5	6	193	44	7	3
7	이용규	한화	0.288	104	418	358	62	103	12	4	0	123	20	2	1
8	이학준	한화	0.286	45	119	105	14	30	4	0	0	34	9	3	1
8	한상훈	한화	0.286	77	203	175	23	50	8	1	1	63	21	4	0
10	장운호	한화	0.266	39	70	64	7	17	1	0	1	21	7	4	0
11	이양기	한화	0.264	45	139	125	13	33	5	0	0	38	6	1	1
12	최진행	한화	0.261	99	328	299	32	78	16	0	12	130	45	0	3
13	김태완	한화	0.258	89	214	186	26	48	8	0	7	77	39	0	1
14	정범모	한화	0.253	85	212	186	18	47	10	0	6	75	23	5	3
15	고동진	한화	0.241	73	213	187	21	45	5	0	1	53	14	3	3
16	김회성	한화	0.236	59	162	140	21	33	8	1	6	61	18	3	1
17	이희근	한화	0.231	6	14	13	2	3	0	1	0	5	2	0	0
18	조인성	한화	0.226	75	185	164	16	37	7	0	7	65	34	2	3
19	정현석	한화	0.225	53	118	102	15	23	3	0	3	35	6	2	0
20	강경학	한화	0.221	41	103	86	11	19	2	3	1	30	7	2	0
21	이창열	한화	0.190	22	25	21	5	4	2	1	0	8	3	0	0
22	엄태용	한화	0.176	17	17	17	2	3	1	0	0	4	2	0	0
23	추승우	한화	0.167	9	10	6	3	1	0	0	0	1	0	0	0
24	김민수	한화	0.149	35	78	74	5	11	1	0	0	12	5	1	0
25	송주호	한화	0.136	17	26	22	5	3	0	0	0	3	2	0	0
26	조정원	한화	0.125	20	58	56	2	7	1	1	0	10	6	1	1
27	전현태	한화	0.100	10	10	10	2	1	0	0	0	1	0	0	0
28	노수광	한화	0.000	1	1	1	0	0	0	0	0	0	0	0	0
28	박노민	한화	0.000	2	2	2	0	0	0	0	0	0	0	0	0
28	박정진	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
1	윤완주	KIA	1.000	5	3	2	0	2	0	0	0	2	0	0	0
2	김주찬	KIA	0.346	100	442	399	72	138	32	4	9	205	46	6	2
3	안치홍	KIA	0.339	126	479	434	65	147	31	2	18	236	88	2	4
4	이대형	KIA	0.323	126	505	461	75	149	15	9	1	185	40	5	2
5	나지완	KIA	0.312	118	470	398	64	124	22	0	19	203	79	0	6
6	필	KIA	0.309	92	389	362	64	112	27	0	19	196	66	0	2
7	신종길	KIA	0.292	103	399	360	60	105	24	6	9	168	51	5	3
8	김선빈	KIA	0.290	33	98	93	7	27	4	0	0	31	9	2	0
9	이종환	KIA	0.287	92	138	122	14	35	9	0	2	50	23	2	1
10	박기남	KIA	0.287	90	202	171	21	49	9	0	3	67	21	5	2
11	김다원	KIA	0.270	86	210	189	21	51	13	1	5	81	17	3	1
12	이범호	KIA	0.269	105	406	350	47	94	23	0	19	174	82	0	4
13	강한울	KIA	0.264	93	224	208	32	55	5	4	0	68	14	6	1
14	박준태	KIA	0.262	32	55	42	6	11	0	0	0	11	2	0	0
15	김민우	KIA	0.251	87	210	167	34	42	10	0	3	61	15	6	0
16	김주형	KIA	0.245	64	176	151	16	37	4	0	7	62	26	4	2
