순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	홍성호	두산	0.357	12	31	28	6	10	3	0	0	13	3	0	0
2	양의지	두산	0.327	64	253	211	27	69	13	0	7	103	35	0	3
3	김재호	두산	0.286	32	76	63	5	18	2	0	0	20	4	2	0
4	양석환	두산	0.282	63	261	234	32	66	9	0	10	105	37	0	7
5	허경민	두산	0.274	62	242	212	22	58	11	0	2	75	19	0	4
6	정수빈	두산	0.271	66	274	236	29	64	10	2	0	78	15	7	1
7	김인태	두산	0.263	6	22	19	1	5	1	0	0	6	1	1	0
8	강승호	두산	0.260	51	169	154	19	40	6	1	3	57	18	1	1
9	김재환	두산	0.257	65	243	206	23	53	12	0	6	83	26	0	1
10	양찬열	두산	0.250	33	77	68	12	17	1	2	0	22	5	0	1
11	박계범	두산	0.247	34	108	97	12	24	6	0	2	36	13	1	2
12	이유찬	두산	0.246	61	187	167	17	41	6	2	1	54	16	2	1
13	김대한	두산	0.242	21	73	66	10	16	3	1	1	24	7	0	0
14	송승환	두산	0.235	29	73	68	10	16	3	1	0	21	4	1	0
14	전민재	두산	0.235	17	18	17	3	4	2	0	0	6	1	1	0
16	서예일	두산	0.222	5	10	9	2	2	0	0	0	2	1	0	1
17	로하스	두산	0.200	53	185	165	19	33	5	1	10	70	27	0	1
18	장승현	두산	0.185	34	73	65	8	12	0	0	3	21	7	1	0
19	안재석	두산	0.180	20	54	50	7	9	2	0	1	14	4	0	1
20	조수행	두산	0.165	56	94	79	11	13	0	0	1	16	5	2	0
21	김민혁	두산	0.143	16	26	21	1	3	1	0	0	4	2	0	1
21	안승한	두산	0.143	8	8	7	1	1	0	0	0	1	0	0	0
23	신성현	두산	0.083	12	15	12	1	1	0	0	0	1	1	0	0
24	권민석	두산	0.000	1	2	2	0	0	0	0	0	0	0	0	0
1	윤동희	롯데	0.310	44	155	145	13	45	3	1	2	56	16	0	3
2	안치홍	롯데	0.287	63	264	230	26	66	9	1	2	83	32	4	2
3	국해성	롯데	0.286	5	9	7	0	2	0	0	0	2	1	0	0
4	안권수	롯데	0.281	39	150	135	20	38	3	1	2	49	16	1	2
5	박승욱	롯데	0.281	54	140	121	15	34	8	1	0	44	13	4	0
6	정보근	롯데	0.280	26	31	25	4	7	2	0	0	9	4	2	0
7	전준우	롯데	0.279	62	252	222	33	62	7	2	6	91	30	0	4
8	노진혁	롯데	0.273	51	185	161	24	44	14	0	3	67	25	2	3
9	윤수녕	롯데	0.250	2	4	4	0	1	0	0	0	1	1	0	0
10	고승민	롯데	0.247	62	229	190	30	47	10	2	2	67	20	4	3
11	렉스	롯데	0.247	47	202	174	18	43	4	2	2	57	24	0	2
12	김민석	롯데	0.245	59	209	184	31	45	11	0	2	62	21	6	2
13	김민수	롯데	0.242	17	41	33	4	8	1	1	0	11	2	1	0
14	유강남	롯데	0.228	63	213	184	21	42	8	0	2	56	22	1	3
15	황성빈	롯데	0.228	35	117	101	14	23	2	1	0	27	4	7	0
16	한동희	롯데	0.228	53	212	189	17	43	8	0	2	57	22	1	5
17	정훈	롯데	0.214	28	49	42	7	9	4	0	0	13	5	2	0
18	이학주	롯데	0.200	47	49	45	9	9	0	0	1	12	5	0	0
19	신윤후	롯데	0.083	16	13	12	2	1	0	0	0	1	1	0	0
20	김원중	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
20	서동욱	롯데	0.000	1	2	2	0	0	0	0	0	0	0	0	0
20	손성빈	롯데	0.000	6	10	10	0	0	0	0	0	0	0	0	0
20	장두성	롯데	0.000	4	2	1	1	0	0	0	0	0	0	0	0
20	지시완	롯데	0.000	5	9	7	0	0	0	0	0	0	0	2	0
1	조민성	삼성	0.364	6	11	11	0	4	1	0	0	5	4	0	0
2	김동진	삼성	0.355	9	34	31	2	11	0	0	0	11	1	2	0
3	강민호	삼성	0.311	59	245	219	30	68	10	0	9	105	38	0	2
4	안주형	삼성	0.296	26	32	27	6	8	1	0	0	9	2	1	1
5	구자욱	삼성	0.295	49	214	183	28	54	18	1	3	83	27	1	3
6	김지찬	삼성	0.295	58	241	200	43	59	3	1	1	67	10	4	0
7	김현준	삼성	0.285	33	138	123	16	35	2	0	2	43	9	4	1
8	피렐라	삼성	0.279	67	300	280	32	78	13	0	8	115	41	0	1
9	김동엽	삼성	0.267	35	116	101	13	27	3	0	4	42	14	0	2
10	김태군	삼성	0.264	45	136	121	7	32	4	1	1	41	18	2	1
11	류승민	삼성	0.258	13	34	31	5	8	1	0	0	9	4	1	0
12	송준석	삼성	0.250	7	8	8	0	2	0	0	0	2	1	0	0
12	이해승	삼성	0.250	9	4	4	0	1	1	0	0	2	0	0	0
14	김재성	삼성	0.238	17	52	42	3	10	3	0	0	13	3	0	0
15	이태훈	삼성	0.231	11	14	13	1	3	1	0	0	4	0	0	0
16	윤정빈	삼성	0.227	17	26	22	3	5	0	0	1	8	2	0	0
17	이재현	삼성	0.227	68	260	229	28	52	8	1	6	80	22	9	1
18	공민규	삼성	0.194	22	33	31	0	6	1	1	0	9	2	0	0
19	강한울	삼성	0.189	29	106	95	14	18	2	0	0	20	1	1	0
20	김영웅	삼성	0.183	29	66	60	6	11	3	0	1	17	6	3	0
21	오재일	삼성	0.177	57	215	186	18	33	8	0	7	62	32	0	2
22	김호재	삼성	0.176	32	53	51	1	9	2	0	0	11	5	1	0
22	이병헌	삼성	0.176	9	17	17	1	3	0	0	0	3	1	0	0
24	김성윤	삼성	0.170	40	52	47	6	8	0	1	0	10	5	1	2
25	이성규	삼성	0.150	52	110	100	8	15	5	0	0	20	9	2	0
26	김재상	삼성	0.118	15	19	17	0	2	0	0	0	2	0	0	0
27	김상민	삼성	0.083	7	13	12	3	1	0	0	0	1	0	0	0
28	김대우	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
28	김민수	삼성	0.000	2	1	1	0	0	0	0	0	0	0	0	0
28	김태훈	삼성	0.000	3	5	5	0	0	0	0	0	0	0	0	0
1	예진원	키움	0.364	6	12	11	0	4	1	0	0	5	3	1	0
2	김혜성	키움	0.317	71	313	281	50	89	16	3	4	123	28	0	3
3	이정후	키움	0.303	69	316	271	41	82	19	2	6	123	39	0	4
4	러셀	키움	0.286	59	239	220	20	63	11	1	4	88	42	0	1
