순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김민규	두산	0.00	1	0	0	0	0	-	2	2	0	1	0	0	0	0	1.50
1	박신지	두산	-	2	0	0	0	0	-	0	1	0	2	0	0	2	2	-
1	최대성	두산	-	1	0	0	0	0	-	0	0	0	2	0	0	3	2	-
4	린드블럼	두산	2.50	30	20	3	0	0	0.870	194 2/3	165	13	29	6	189	57	54	1.00
5	윤명준	두산	2.63	69	6	2	1	14	0.750	68 1/3	63	3	20	3	40	23	20	1.21
6	최원준	두산	2.65	34	1	2	1	4	0.333	54 1/3	52	1	16	4	38	17	16	1.25
7	이형범	두산	2.66	67	6	3	19	10	0.667	61	57	4	19	9	31	25	18	1.25
8	이현승	두산	3.00	9	0	1	0	2	0.000	6	4	0	0	0	4	2	2	0.67
9	김승회	두산	3.07	55	3	3	3	7	0.500	58 2/3	57	1	16	2	46	24	20	1.24
10	유희관	두산	3.25	28	11	8	0	0	0.579	166 1/3	171	8	42	3	64	67	60	1.28
11	함덕주	두산	3.46	61	2	5	16	7	0.286	54 2/3	39	6	34	1	48	24	21	1.34
12	후랭코프	두산	3.61	22	9	8	0	0	0.529	117 1/3	110	5	30	13	111	48	47	1.19
13	이영하	두산	3.64	29	17	4	0	0	0.810	163 1/3	148	5	61	10	90	70	66	1.28
14	이용찬	두산	4.07	26	7	10	0	0	0.412	148 1/3	168	15	45	6	102	75	67	1.44
15	박치국	두산	4.50	61	2	2	3	14	0.500	52	64	5	14	5	35	26	26	1.50
16	배영수	두산	4.57	37	1	2	0	0	0.333	45 1/3	50	4	11	3	10	25	23	1.35
17	홍상삼	두산	4.76	3	0	0	0	0	-	5 2/3	5	1	4	1	5	3	3	1.59
18	권혁	두산	4.91	57	2	2	1	11	0.500	36 2/3	36	3	7	2	21	23	20	1.17
19	이현호	두산	5.13	16	1	0	0	0	1.000	40 1/3	51	2	19	1	22	25	23	1.74
20	강동연	두산	5.40	5	0	0	0	0	-	5	8	2	0	0	3	3	3	1.60
21	장원준	두산	9.00	6	0	0	0	0	-	2	5	0	3	1	1	2	2	4.00
22	박정준	두산	32.40	2	0	0	0	0	-	1 2/3	3	0	5	0	0	6	6	4.80
1	김현수	롯데	1.42	6	0	1	0	0	0.000	6 1/3	3	0	1	0	4	2	1	0.63
2	조무근	롯데	1.86	8	0	0	0	0	-	9 2/3	6	0	5	3	5	2	2	1.14
3	진명호	롯데	3.41	60	3	2	0	9	0.600	63 1/3	56	4	35	1	51	24	24	1.44
4	차재용	롯데	3.72	9	0	0	0	0	-	9 2/3	9	0	8	0	7	6	4	1.76
5	레일리	롯데	3.88	30	5	14	0	0	0.263	181	191	10	65	8	140	88	78	1.41
6	손승락	롯데	3.93	53	4	3	9	2	0.571	52 2/3	55	3	19	3	44	27	23	1.41
7	박진형	롯데	4.02	41	2	1	5	5	0.667	40 1/3	40	6	11	0	40	19	18	1.26
8	박세웅	롯데	4.20	12	3	6	0	0	0.333	60	66	3	23	0	44	33	28	1.48
9	박시영	롯데	4.23	43	1	1	0	4	0.500	61 2/3	51	5	27	4	60	30	29	1.26
10	홍성민	롯데	4.26	12	0	0	0	1	-	12 2/3	17	0	0	1	7	6	6	1.34
11	다익손	롯데	4.34	29	6	10	0	0	0.375	149 1/3	164	15	40	6	117	81	72	1.37
12	송승준	롯데	4.40	11	0	1	0	0	0.000	14 1/3	16	2	6	0	13	7	7	1.53
13	김건국	롯데	4.46	37	3	3	0	3	0.500	66 2/3	73	5	27	6	43	34	33	1.50
14	톰슨	롯데	4.74	11	2	3	0	0	0.400	62 2/3	54	4	23	5	60	35	33	1.23
15	고효준	롯데	4.76	75	2	7	0	15	0.222	62 1/3	58	6	36	3	72	34	33	1.51
16	장시환	롯데	4.95	27	6	13	0	0	0.316	125 1/3	147	12	58	2	109	78	69	1.64
17	오현택	롯데	4.97	15	1	0	0	0	1.000	12 2/3	15	6	2	1	8	9	7	1.34
18	정성종	롯데	5.44	32	1	1	0	0	0.500	49 2/3	64	6	24	4	24	33	30	1.77
19	서준원	롯데	5.47	33	4	11	0	0	0.267	97	117	10	38	11	60	61	59	1.60
20	김원중	롯데	5.63	28	5	10	0	1	0.333	102 1/3	127	13	47	6	93	75	64	1.70
21	박근홍	롯데	6.11	24	1	0	0	1	1.000	17 2/3	16	5	17	1	11	13	12	1.87
22	구승민	롯데	6.25	41	1	4	2	6	0.200	36	45	5	21	3	43	29	25	1.83
23	최영환	롯데	6.41	15	0	0	0	0	-	19 2/3	21	1	9	1	20	15	14	1.53
24	박진	롯데	9.00	2	0	0	0	0	-	1	2	0	1	0	1	1	1	3.00
25	윤길현	롯데	10.80	6	1	1	0	0	0.500	5	17	2	4	2	5	14	6	4.20
26	이인복	롯데	11.68	11	0	0	0	0	-	12 1/3	29	2	8	0	7	18	16	3.00
27	정태승	롯데	27.00	1	0	0	0	0	-	1	2	0	1	0	2	3	3	3.00
27	최하늘	롯데	27.00	2	0	1	0	0	0.000	2	4	2	2	1	1	6	6	3.00
29	이승헌	롯데	31.50	1	0	1	0	0	0.000	2	7	0	3	1	0	7	7	5.00
30	윤성빈	롯데	81.00	1	0	1	0	0	0.000	1/3	0	0	3	0	0	3	3	9.00
1	이승현	삼성	1.95	34	2	1	0	8	0.667	37	28	2	11	1	31	11	8	1.05
2	우규민	삼성	2.75	54	2	7	15	7	0.222	59	58	7	10	6	40	20	18	1.15
3	임현준	삼성	3.40	71	1	0	0	8	1.000	42 1/3	34	2	12	3	35	19	16	1.09
4	장필준	삼성	3.62	61	3	3	11	15	0.500	69 2/3	64	7	33	3	53	29	28	1.39
5	라이블리	삼성	3.95	9	4	4	0	0	0.500	57	51	4	13	5	58	26	25	1.12
6	최지광	삼성	4.10	63	3	8	2	10	0.273	68	64	4	40	5	60	33	31	1.53
7	백정현	삼성	4.24	28	8	10	0	0	0.444	157	158	17	56	6	82	85	74	1.36
8	김시현	삼성	4.41	14	0	0	0	0	-	16 1/3	16	3	8	1	10	9	8	1.47
9	김윤수	삼성	4.63	5	1	1	0	0	0.500	11 2/3	10	2	10	0	9	6	6	1.71
