순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	장인규	두산	0.00	1	0	0	0	0	-	1 2/3	0	0	1	0	0	0	0	0.60
1	정재훈	두산	0.00	1	0	0	0	0	-	1	1	0	0	1	0	0	0	1.00
3	정재훈	두산	1.33	53	2	3	38	0	0.400	54	33	3	28	4	65	9	8	1.13
4	이혜천	두산	2.79	32	8	6	0	1	0.571	142	119	4	56	12	104	52	44	1.23
5	리오스	두산	2.90	34	12	16	0	0	0.429	233	204	14	49	15	145	86	75	1.09
6	김상현	두산	2.93	13	0	1	0	2	0.000	15 1/3	13	1	6	0	11	6	5	1.24
7	랜들	두산	2.95	30	16	8	0	0	0.667	192 1/3	170	14	58	10	142	66	63	1.19
8	이원희	두산	3.38	4	0	0	0	0	-	5 1/3	6	1	1	1	6	2	2	1.31
9	박명환	두산	3.46	28	7	7	1	4	0.500	122 1/3	90	6	48	2	132	52	47	1.13
10	김덕윤	두산	3.67	48	6	0	0	3	1.000	56 1/3	48	7	20	1	30	24	23	1.21
11	김승회	두산	3.95	61	6	5	0	10	0.545	79 2/3	82	4	36	2	68	41	35	1.48
12	김명제	두산	4.46	41	3	11	0	6	0.214	111	104	10	49	8	67	62	55	1.38
13	김성배	두산	4.58	21	0	0	0	1	-	19 2/3	20	2	11	1	10	10	10	1.58
14	금민철	두산	4.66	38	3	2	0	2	0.600	58	51	2	42	8	42	33	30	1.60
15	서동환	두산	5.32	20	1	1	0	0	0.500	23 2/3	22	3	13	1	9	16	14	1.48
16	이대현	두산	6.75	4	0	0	0	0	-	5 1/3	4	1	3	1	3	4	4	1.31
17	원용묵	두산	8.59	17	0	0	0	0	-	7 1/3	10	0	8	1	7	8	7	2.45
18	박정배	두산	9.64	7	0	0	0	0	-	4 2/3	5	1	6	1	1	5	5	2.36
1	이명우	롯데	0.00	10	0	0	0	0	-	3 1/3	6	0	1	0	1	0	0	2.10
2	손민한	롯데	2.78	25	10	8	1	0	0.556	161 2/3	147	4	39	9	96	54	50	1.15
3	박지철	롯데	2.98	18	1	2	0	0	0.333	48 1/3	43	0	30	2	23	20	16	1.51
4	조정훈	롯데	3.00	7	0	0	0	0	-	6	9	0	3	0	7	2	2	2.00
5	이상목	롯데	3.25	23	12	8	0	0	0.600	138 2/3	132	17	23	5	50	63	50	1.12
6	이정민	롯데	3.46	29	0	1	0	4	0.000	39	43	8	10	2	21	16	15	1.36
7	나승현	롯데	3.48	51	0	3	16	0	0.000	54 1/3	55	2	30	4	33	21	21	1.56
7	이왕기	롯데	3.48	46	0	2	3	2	0.000	54 1/3	46	5	29	10	50	24	21	1.38
9	장원준	롯데	3.61	29	7	12	0	0	0.368	179 2/3	152	14	75	9	130	85	72	1.26
10	염종석	롯데	3.72	25	6	9	0	0	0.400	128 1/3	146	7	31	5	62	62	53	1.38
11	주형광	롯데	4.14	52	3	6	1	7	0.333	67 1/3	82	6	16	2	26	38	31	1.46
12	이정훈	롯데	4.15	33	1	3	0	4	0.250	43 1/3	46	1	15	3	22	20	20	1.41
13	노승욱	롯데	4.58	24	2	0	0	1	1.000	17 2/3	21	2	4	1	10	9	9	1.42
14	노장진	롯데	4.66	42	3	4	6	5	0.429	48 1/3	44	5	36	3	32	25	25	1.66
15	가득염	롯데	5.06	63	3	3	0	11	0.500	26 2/3	23	2	14	0	20	15	15	1.39
16	최대성	롯데	6.60	23	1	3	1	0	0.250	30	43	2	17	3	27	23	22	2.00
17	김유신	롯데	6.75	1	0	0	0	0	-	1 1/3	1	0	2	0	1	1	1	2.25
17	배장호	롯데	6.75	3	0	0	0	0	-	4	3	0	1	0	1	3	3	1.00
19	김수화	롯데	7.55	19	1	9	0	0	0.100	56	71	8	31	1	21	50	47	1.82
20	김정환	롯데	7.84	4	0	0	0	0	-	10 1/3	15	0	3	1	4	10	9	1.74
1	백준영	삼성	0.00	1	0	0	0	0	-	1	0	0	0	0	1	0	0	0.00
2	오승환	삼성	1.59	63	4	3	47	0	0.571	79 1/3	43	1	12	1	109	15	14	0.69
3	권오준	삼성	1.69	67	9	1	2	32	0.900	80	61	6	32	3	83	16	15	1.16
4	브라운	삼성	2.68	27	11	9	0	0	0.550	154 1/3	118	14	44	13	92	50	46	1.05
