순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	정회찬	넥센	0.00	1	0	0	0	0	-	2	0	0	1	1	0	0	0	0.50
2	손승락	넥센	1.89	49	4	2	17	2	0.667	52 1/3	41	2	13	1	41	12	11	1.03
3	강윤구	넥센	2.14	6	3	1	0	0	0.750	21	15	0	11	0	11	5	5	1.24
4	마정길	넥센	3.35	45	1	4	0	8	0.200	48 1/3	37	3	24	7	46	20	18	1.26
5	김수경	넥센	3.39	18	1	2	0	0	0.333	69	65	6	22	2	37	27	26	1.26
6	이보근	넥센	3.49	56	5	3	1	5	0.625	87 2/3	92	5	42	1	52	37	34	1.53
7	오재영	넥센	3.53	64	2	2	1	20	0.500	43 1/3	38	4	18	1	29	19	17	1.29
8	이정훈	넥센	3.78	44	3	3	1	7	0.500	52 1/3	50	1	19	6	31	24	22	1.32
9	윤지웅	넥센	4.08	53	2	0	0	9	1.000	28 2/3	34	4	14	0	19	15	13	1.67
10	문성현	넥센	4.34	30	5	12	0	0	0.294	130 2/3	129	13	78	4	108	63	63	1.58
11	나이트	넥센	4.70	30	7	15	0	0	0.318	172 1/3	169	12	98	12	115	98	90	1.55
12	이태양	넥센	4.76	5	0	0	0	0	-	5 2/3	4	0	3	3	3	3	3	1.24
13	김성태	넥센	4.82	18	3	7	0	0	0.300	89 2/3	89	8	38	3	71	51	48	1.42
14	심수창	넥센	5.01	28	2	13	0	0	0.133	109 2/3	138	12	42	6	52	67	61	1.64
15	금민철	넥센	5.29	8	2	5	0	0	0.286	32 1/3	31	3	31	4	16	28	19	1.92
16	배힘찬	넥센	5.87	11	0	0	0	0	-	15 1/3	20	0	8	3	14	10	10	1.83
17	김영민	넥센	5.96	8	2	2	0	0	0.500	22 2/3	27	1	15	5	10	17	15	1.85
18	김대우	넥센	6.00	24	0	2	0	0	0.000	27	26	0	19	4	28	20	18	1.67
19	박준수	넥센	6.41	34	2	2	1	8	0.500	19 2/3	22	0	10	2	9	15	14	1.63
20	김상수	넥센	6.49	24	1	4	0	0	0.200	59 2/3	68	3	36	9	74	44	43	1.74
21	장효훈	넥센	7.11	4	0	0	0	0	-	6 1/3	8	0	4	0	6	5	5	1.89
22	박성훈	넥센	9.53	5	0	1	0	0	0.000	5 2/3	7	0	6	1	0	7	6	2.29
23	장영석	넥센	13.50	2	0	0	0	0	-	2	2	0	4	0	0	4	3	3.00
1	이현호	두산	-	1	0	0	0	0	-	0	1	0	1	0	0	2	2	-
2	니퍼트	두산	2.55	29	15	6	0	0	0.714	187	150	8	64	10	150	61	53	1.14
3	정재훈	두산	2.87	45	2	6	8	9	0.250	62 2/3	47	5	22	3	65	23	20	1.10
