순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	문성현	넥센	0.00	1	0	0	0	0	-	1	1	0	1	0	1	0	0	2.00
1	박정준	넥센	0.00	2	0	0	0	0	-	2	0	0	1	2	2	1	0	0.50
1	이상민	넥센	0.00	4	0	0	0	0	-	4 2/3	3	0	1	0	2	0	0	0.86
4	양현	넥센	3.58	33	1	1	0	5	0.500	32 2/3	31	4	13	1	20	13	13	1.35
5	조상우	넥센	3.79	18	1	2	9	0	0.333	19	16	1	6	2	23	11	8	1.16
6	로저스	넥센	3.80	13	5	4	0	0	0.556	83	89	7	16	5	65	40	35	1.27
7	브리검	넥센	3.84	31	11	7	0	1	0.611	199	188	19	50	19	175	89	85	1.20
8	최원태	넥센	3.95	23	13	7	0	0	0.650	134 1/3	144	8	35	11	101	62	59	1.33
9	이보근	넥센	4.28	64	7	6	0	24	0.538	61	66	6	14	4	54	36	29	1.31
10	한현희	넥센	4.79	30	11	7	0	0	0.611	169	208	22	49	20	105	98	90	1.52
11	윤영삼	넥센	4.85	22	1	0	2	0	1.000	29 2/3	31	2	8	1	32	18	16	1.31
12	김상수	넥센	5.17	58	2	3	18	14	0.400	55 2/3	53	9	23	1	68	32	32	1.37
13	해커	넥센	5.20	14	5	3	0	0	0.625	79 2/3	86	16	30	5	56	49	46	1.46
14	이승호	넥센	5.60	32	1	3	0	4	0.250	45	44	8	22	5	38	28	28	1.47
15	김동준	넥센	6.04	33	2	2	2	1	0.500	47 2/3	61	10	18	4	36	33	32	1.66
16	김성민	넥센	6.19	46	2	1	0	5	0.667	48	61	6	21	3	45	38	33	1.71
17	오주원	넥센	6.19	61	3	6	1	15	0.333	52 1/3	61	8	13	1	36	37	36	1.41
18	신재영	넥센	6.75	26	8	9	0	1	0.471	101 1/3	133	31	23	8	53	80	76	1.54
19	안우진	넥센	7.19	20	2	4	0	1	0.333	41 1/3	46	6	28	3	46	35	33	1.79
20	조덕길	넥센	7.43	25	0	0	0	0	-	26 2/3	35	6	13	0	25	24	22	1.80
