순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	손승락	넥센	2.30	57	3	2	46	0	0.600	62 2/3	50	1	20	1	52	17	16	1.12
2	오재영	넥센	2.40	10	4	0	0	1	1.000	41 1/3	28	1	18	1	31	13	11	1.11
3	이정훈	넥센	3.00	56	5	2	1	11	0.714	69	69	5	24	2	29	25	23	1.35
4	한현희	넥센	3.21	69	5	0	1	27	1.000	67 1/3	64	7	25	8	56	27	24	1.32
5	송신영	넥센	3.21	61	4	3	1	15	0.571	61 2/3	52	1	33	8	43	22	22	1.38
6	밴헤켄	넥센	3.73	29	12	10	0	0	0.545	161 2/3	178	11	58	10	137	78	67	1.46
7	마정길	넥센	4.09	29	4	1	1	1	0.800	33	32	1	18	3	31	20	15	1.52
8	이보근	넥센	4.31	28	1	3	0	1	0.250	39 2/3	43	2	11	3	18	19	19	1.36
9	강윤구	넥센	4.36	41	6	6	0	7	0.500	130	112	6	75	8	131	69	63	1.44
10	나이트	넥센	4.43	30	12	10	0	0	0.545	172 2/3	192	10	79	14	129	96	85	1.57
11	문성현	넥센	4.50	17	5	4	0	0	0.556	64	73	8	22	3	55	35	32	1.48
11	조상우	넥센	4.50	5	0	0	0	0	-	8	11	0	5	0	7	4	4	2.00
13	박성훈	넥센	5.06	50	2	3	0	8	0.400	26 2/3	31	6	11	4	18	16	15	1.58
14	김상수	넥센	5.08	16	0	1	0	0	0.000	28 1/3	27	1	13	2	20	16	16	1.41
15	김영민	넥센	5.15	29	5	5	0	0	0.500	101 1/3	119	7	48	3	55	62	58	1.65
16	김병현	넥센	5.26	15	5	4	0	0	0.556	75 1/3	71	7	36	13	43	46	44	1.42
17	박종윤	넥센	6.75	4	0	0	0	0	-	4	5	0	2	1	2	3	3	1.75
18	장시환	넥센	14.29	2	0	0	0	0	-	5 2/3	7	1	7	0	7	9	9	2.47
1	강동연	두산	0.00	1	0	0	0	0	-	2	1	0	0	0	1	1	0	0.50
2	홍상삼	두산	2.50	55	5	4	5	9	0.556	72	51	8	45	2	77	22	20	1.33
3	오현택	두산	2.70	67	5	3	5	7	0.625	73 1/3	65	6	19	8	65	23	22	1.15
3	이용찬	두산	2.70	5	0	0	0	0	-	3 1/3	7	0	3	0	4	1	1	3.00
5	김강률	두산	3.20	17	0	0	0	0	-	19 2/3	18	1	17	0	17	8	7	1.78
6	김창훈	두산	3.38	3	0	0	0	0	-	2 2/3	4	1	3	1	3	1	1	2.63
7	정재훈	두산	3.44	55	4	1	14	7	0.800	52 1/3	46	3	17	3	38	26	20	1.20
8	유희관	두산	3.53	41	10	7	1	3	0.588	145 1/3	141	7	52	7	96	60	57	1.33
9	니퍼트	두산	3.58	19	12	4	0	0	0.750	118	108	7	34	4	104	52	47	1.20
10	노경은	두산	3.84	30	10	10	0	0	0.500	180 1/3	171	16	75	6	153	88	77	1.36
11	유창준	두산	4.00	5	0	1	0	0	0.000	9	9	1	3	0	5	4	4	1.33
11	윤명준	두산	4.00	34	4	1	4	7	0.800	45	50	0	15	4	35	20	20	1.44
13	김명성	두산	4.09	8	0	0	0	0	-	11	7	0	7	0	9	5	5	1.27
14	서동환	두산	4.32	8	0	1	0	0	0.000	16 2/3	15	0	14	1	4	8	8	1.74
15	변진수	두산	4.70	38	2	1	0	6	0.667	38 1/3	37	2	19	8	20	21	20	1.46
16	이재우	두산	4.73	30	5	2	0	0	0.714	66 2/3	59	5	48	4	44	36	35	1.61
17	김선우	두산	5.52	17	5	6	0	0	0.455	60 1/3	77	6	18	7	20	41	37	1.57
18	김상현	두산	5.91	35	4	4	0	3	0.500	67	78	5	23	5	36	46	44	1.51
19	핸킨스	두산	6.23	12	3	3	0	0	0.500	60 2/3	79	5	21	3	30	42	42	1.65
20	올슨	두산	6.52	10	1	1	0	0	0.500	38 2/3	41	2	27	5	35	30	28	1.76
21	원용묵	두산	9.00	1	0	0	0	0	-	1	1	0	2	0	0	1	1	3.00
22	이정호	두산	9.55	13	0	3	1	0	0.000	33	46	4	20	3	25	35	35	2.00
23	임태훈	두산	11.32	9	1	1	0	0	0.500	10 1/3	18	1	11	0	13	13	13	2.81
24	이혜천	두산	11.57	13	0	1	0	0	0.000	9 1/3	16	0	7	5	7	12	12	2.46
25	안규영	두산	14.29	3	0	0	0	0	-	5 2/3	11	3	6	0	3	9	9	3.00
26	정대현	두산	18.41	5	0	0	0	0	-	7 1/3	21	1	6	0	2	15	15	3.68
27	함덕주	두산	33.75	3	0	0	0	0	-	1 1/3	6	0	2	0	2	5	5	6.00
1	김성배	롯데	3.05	58	2	4	31	4	0.333	59	45	1	21	3	58	20	20	1.12
2	이명우	롯데	3.07	74	2	4	1	20	0.333	55 2/3	41	2	25	1	32	19	19	1.19
3	홍성민	롯데	3.14	25	4	2	1	2	0.667	48 2/3	54	3	18	3	22	20	17	1.48
4	옥스프링	롯데	3.29	30	13	7	0	0	0.650	183 1/3	164	10	69	11	144	79	67	1.27
5	정대현	롯데	3.33	58	5	4	1	16	0.556	51 1/3	56	3	21	8	34	21	19	1.50
6	유먼	롯데	3.54	31	13	4	0	0	0.765	193 1/3	186	19	78	5	141	81	76	1.37
7	송승준	롯데	3.76	29	12	6	0	0	0.667	167 2/3	171	11	64	4	133	74	70	1.40
8	강영식	롯데	3.86	55	1	3	1	9	0.250	39 2/3	32	1	19	2	40	17	17	1.29
9	김사율	롯데	4.00	35	3	7	1	3	0.300	74 1/3	74	11	34	2	47	35	33	1.45
10	김수완	롯데	4.09	15	1	0	0	0	1.000	50 2/3	57	4	25	2	22	28	23	1.62
11	허준혁	롯데	4.58	11	0	1	0	0	0.000	17 2/3	14	1	10	2	13	9	9	1.36
12	이상화	롯데	4.97	12	2	1	0	1	0.667	25 1/3	32	4	9	0	18	17	14	1.62
13	김승회	롯데	5.30	53	4	7	2	8	0.364	73	92	6	29	3	54	49	43	1.66
14	이지모	롯데	5.40	6	0	0	0	0	-	6 2/3	4	0	5	3	5	4	4	1.35
15	고원준	롯데	5.61	13	1	4	0	0	0.200	51 1/3	64	4	22	3	26	37	32	1.68
16	최대성	롯데	5.79	13	0	0	0	1	-	9 1/3	13	1	6	0	9	8	6	2.04
17	이재곤	롯데	6.90	10	3	3	0	0	0.500	30	33	3	20	9	17	23	23	1.77
18	정태승	롯데	7.71	3	0	0	0	0	-	2 1/3	2	0	3	0	0	2	2	2.14
19	진명호	롯데	7.88	4	0	0	0	0	-	8	11	0	10	1	3	7	7	2.63
20	강승현	롯데	9.00	2	0	1	0	0	0.000	2	3	0	1	0	2	3	2	2.00
1	오승환	삼성	1.74	48	4	1	28	0	0.800	51 2/3	33	4	10	2	54	13	10	0.83
2	신용운	삼성	2.03	44	2	0	0	2	1.000	40	26	5	16	0	36	9	9	1.05
3	심창민	삼성	2.68	50	1	0	2	14	1.000	50 1/3	35	3	19	4	57	15	15	1.07
4	안지만	삼성	3.11	54	6	2	0	22	0.750	63 2/3	46	3	23	3	60	23	22	1.08
5	차우찬	삼성	3.26	43	10	7	0	3	0.588	121 1/3	100	6	67	6	111	48	44	1.38
6	윤성환	삼성	3.27	27	13	8	0	0	0.619	170 2/3	167	16	37	4	122	69	62	1.20
