순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이경민	두산	0.00	2	0	0	0	0	-	2 2/3	2	0	0	0	2	0	0	0.75
1	이원희	두산	0.00	3	0	0	0	0	-	2 2/3	2	0	0	0	2	0	0	0.75
3	박명환	두산	2.50	26	12	3	0	0	0.800	158 2/3	130	4	52	7	162	50	44	1.15
4	이재영	두산	2.59	60	9	7	3	14	0.563	94	71	7	39	4	79	30	27	1.17
5	레스	두산	2.60	29	17	8	0	0	0.680	200 2/3	189	12	57	15	116	68	58	1.23
6	정성훈	두산	3.12	79	3	3	2	15	0.500	83 2/3	64	4	20	8	42	34	29	1.00
7	정재훈	두산	3.14	43	3	1	0	3	0.750	77 1/3	74	4	33	5	66	30	27	1.38
8	구자운	두산	3.59	54	4	5	32	1	0.444	47 2/3	45	7	13	0	39	19	19	1.22
9	권명철	두산	3.65	5	0	0	0	1	-	12 1/3	9	0	6	2	6	5	5	1.22
10	이재우	두산	4.43	33	6	3	0	0	0.667	89 1/3	85	8	32	4	56	44	44	1.31
11	키퍼	두산	4.69	19	7	9	0	0	0.438	103 2/3	115	12	38	7	50	62	54	1.48
12	이경필	두산	4.70	21	5	12	0	0	0.294	99 2/3	113	4	44	11	49	59	52	1.58
13	전병두	두산	5.51	35	0	4	0	1	0.000	81 2/3	86	11	54	5	50	56	50	1.71
14	이혜천	두산	5.88	79	2	2	1	12	0.500	52	52	5	31	3	35	35	34	1.60
15	노경은	두산	6.89	20	2	2	0	0	0.500	49 2/3	65	11	31	2	35	41	38	1.93
16	김무학	두산	9.00	1	0	0	0	0	-	2	3	0	1	1	0	2	2	2.00
16	김태구	두산	9.00	2	0	0	0	0	-	3	8	0	1	0	0	3	3	3.00
18	손혁	두산	10.13	2	0	2	0	0	0.000	8	11	2	2	1	3	9	9	1.63
19	김성배	두산	16.88	2	0	1	0	0	0.000	5 1/3	11	3	2	0	6	10	10	2.44
20	김수훈	두산	27.00	1	0	0	0	0	-	1	4	1	0	0	0	3	3	
1	손용수	롯데	0.00	1	0	0	0	0	-	2	0	0	2	1	0	0	0	1.00
2	이명우	롯데	1.38	18	1	2	0	2	0.333	26	21	0	5	1	9	4	4	1.00
3	허준혁	롯데	1.93	5	0	0	0	0	-	4 2/3	4	0	2	0	1	1	1	1.29
4	손민한	롯데	2.73	42	9	2	8	0	0.818	108 2/3	90	8	29	2	88	36	33	1.10
5	최대성	롯데	2.84	6	0	0	0	0	-	6 1/3	8	1	3	0	2	2	2	1.74
6	임경완	롯데	3.16	67	4	6	5	22	0.400	105 1/3	102	4	41	12	72	39	37	1.36
7	주형광	롯데	3.41	11	4	4	0	0	0.500	63 1/3	53	8	21	2	45	26	24	1.17
8	박지철	롯데	3.87	27	9	7	0	0	0.563	139 2/3	131	9	60	6	94	62	60	1.37
9	이용훈	롯데	4.01	15	1	3	0	0	0.250	33 2/3	28	1	10	4	36	17	15	1.13
10	노장진	롯데	4.11	34	1	0	17	1	1.000	46	51	7	28	2	55	22	21	1.72
11	강상수	롯데	4.11	29	0	1	0	4	0.000	35	41	5	20	1	17	16	16	1.74
12	이정훈	롯데	4.19	30	1	4	0	0	0.200	58	68	7	23	5	33	29	27	1.57
13	염종석	롯데	4.59	21	3	6	0	0	0.333	102	113	10	30	5	55	58	52	1.40
14	가득염	롯데	4.91	65	3	3	0	12	0.500	40 1/3	40	2	21	2	25	23	22	1.51
15	이상목	롯데	5.03	19	3	9	0	0	0.250	87 2/3	112	16	16	7	51	58	49	1.46
16	김장현	롯데	5.43	25	4	11	0	0	0.267	117 2/3	123	17	36	5	61	78	71	1.35
17	이정민	롯데	5.51	48	2	2	0	3	0.500	78 1/3	94	4	50	4	60	52	48	1.84
18	장원준	롯데	5.63	33	3	8	0	1	0.273	84 2/3	84	8	57	5	36	55	53	1.67
19	노승욱	롯데	5.83	29	0	1	0	2	0.000	29 1/3	34	5	7	6	11	20	19	1.40
20	양성제	롯데	6.75	2	0	1	0	0	0.000	5 1/3	12	0	1	1	5	6	4	2.44
21	이상훈	롯데	9.00	2	0	0	0	0	-	3	7	1	0	0	2	3	3	2.33
22	김사율	롯데	27.00	1	0	0	0	0	-	1	3	0	1	0	2	3	3	
1	김문수	삼성	0.00	1	0	0	0	0	-	2/3	0	0	1	2	0	0	0	1.50
2	임창용	삼성	2.01	61	2	4	36	0	0.333	67	51	4	22	4	67	19	15	1.09
3	박석진	삼성	2.30	48	4	4	1	6	0.500	62 2/3	47	4	8	8	33	21	16	0.88
4	오상민	삼성	2.32	34	2	0	0	5	1.000	31	24	2	10	1	24	10	8	1.10
5	배영수	삼성	2.61	35	17	2	0	0	0.895	189 2/3	163	6	74	11	144	65	55	1.25
